model_name,iteration,accuracy,precision,recall,f1,steps,batch_size
lenet5_batchNorm1,13,0.5046583850931677,0.5911686685705931,0.4752077171560752,0.4736728933206733,1,16
lenet5_batchNorm1,7,0.5077639751552795,0.602674843896337,0.480582723026619,0.4842689103652534,1,16
lenet5_batchNorm1,4,0.4945652173913043,0.5824497463714321,0.4703233039365174,0.4682218999107238,1,16
lenet5_batchNorm1,6,0.5046583850931677,0.5844711175920987,0.4776930266847565,0.4738144406065555,1,16
lenet5_batchNorm1,11,0.5031055900621118,0.606080462014331,0.4756212436694181,0.4758856532309763,1,16
lenet5_batchNorm1,3,0.5085403726708074,0.6114104645392677,0.4826357661957251,0.4821322730535751,1,16
lenet5_batchNorm1,12,0.499223602484472,0.6063153356936666,0.4761838795374046,0.4785108694713716,1,16
lenet5_batchNorm1,9,0.5015527950310559,0.5974605346029417,0.4743238314584875,0.4726815552700598,1,16
lenet5_batchNorm1,8,0.5046583850931677,0.6115763457274864,0.4764379825515685,0.4822104074494553,1,16
lenet5_batchNorm1,18,0.5100931677018633,0.6190027177409068,0.4894270520251765,0.4898029975793387,1,16
lenet5_batchNorm1,10,0.5015527950310559,0.5800210208206389,0.4710471907686178,0.4702830003819481,1,16
lenet5_batchNorm1,5,0.4922360248447205,0.5829927690074101,0.4647523378530453,0.469397914733747,1,16
lenet5_batchNorm1,2,0.5046583850931677,0.5994685972890293,0.4778614329654664,0.4774738782267703,1,16
lenet5_batchNorm1,20,0.4968944099378882,0.562264105805713,0.4668226848252422,0.460393317287684,1,16
lenet5_batchNorm1,1,0.5139751552795031,0.599762799093662,0.4836386145335207,0.4827585518220798,1,16
lenet5_batchNorm1,16,0.5023291925465838,0.5833195303877805,0.472453911501376,0.4707117474786242,1,16
lenet5_batchNorm1,17,0.5108695652173914,0.6198836591352357,0.4901216018016313,0.492748103197528,1,16
lenet5_batchNorm1,14,0.5209627329192547,0.6127860704519287,0.492001600202279,0.4883289133032162,1,16
lenet5_batchNorm1,19,0.5023291925465838,0.6085535972825669,0.4745134046557745,0.4804115829381709,1,16
lenet5_batchNorm1,15,0.5217391304347826,0.5982097773953922,0.4945526566193341,0.4907959032819493,1,16
lenet5_batchNorm1,22,0.5163043478260869,0.598224422455618,0.4850664531564311,0.4879952931956031,1,16
lenet5_batchNorm1,27,0.5038819875776398,0.5946024639792691,0.4793051659059257,0.4808419799730849,1,16
lenet5_batchNorm1,31,0.5170807453416149,0.6067762884687697,0.4896475210664723,0.484251660732865,1,16
lenet5_batchNorm1,40,0.4984472049689441,0.6102217152792845,0.4677128958111763,0.4714558769595262,1,16
lenet5_batchNorm1,29,0.5007763975155279,0.590767000450682,0.4704934862492421,0.4729968577575247,1,16
lenet5_batchNorm1,21,0.5069875776397516,0.6040140381493002,0.4770821175778661,0.4780431710598156,1,16
lenet5_batchNorm1,23,0.4937888198757764,0.5927284067586316,0.468030456727273,0.4730840785062774,1,16
lenet5_batchNorm1,26,0.5,0.5894818273785478,0.4698178153826548,0.4701654271950667,1,16
lenet5_batchNorm1,33,0.4968944099378882,0.592239791893628,0.4740102798299738,0.474842222317023,1,16
