iteration,accuracy,f1,precision,recall,iter_num,max_iter,dset_size,,,,,,,
1,55.74534161490683,0.4975128834515603,0.5883561757851503,0.5574534161490683,11,330,0.5,,,,,,,
4,55.90062111801242,0.49915903562223946,0.5892294771844899,0.5590062111801242,11,330,0.5,,,,,,,
2,55.90062111801242,0.49915903562223946,0.5892294771844899,0.5590062111801242,11,330,0.5,,,,,,,
8,55.90062111801242,0.49915903562223946,0.5892294771844899,0.5590062111801242,11,330,0.5,,,,,,,
6,55.90062111801242,0.49915903562223946,0.5892294771844899,0.5590062111801242,11,330,0.5,,,,,,,
7,55.90062111801242,0.49915903562223946,0.5892294771844899,0.5590062111801242,11,330,0.5,,,,,,,
9,55.90062111801242,0.49915903562223946,0.5892294771844899,0.5590062111801242,11,330,0.5,,,,,,,
5,55.90062111801242,0.49915903562223946,0.5892294771844899,0.5590062111801242,11,330,0.5,,,,,,,
3,55.90062111801242,0.49915903562223946,0.5892294771844899,0.5590062111801242,11,330,0.5,,,,,,,
10,55.90062111801242,0.49915903562223946,0.5892294771844899,0.5590062111801242,11,330,0.5,,,,,,,
2,63.35403726708074,0.6137303930865524,0.6618336249073951,0.6335403726708074,22,330,0.5,,,,,,,
1,62.88819875776398,0.6057476900939338,0.6672958253680411,0.6288819875776398,22,330,0.5,,,,,,,
8,63.50931677018633,0.6159998992153952,0.6633254329436413,0.6350931677018633,22,330,0.5,,,,,,,
4,63.35403726708074,0.6137303930865524,0.6618336249073951,0.6335403726708074,22,330,0.5,,,,,,,
7,63.35403726708074,0.6137303930865524,0.6618336249073951,0.6335403726708074,22,330,0.5,,,,,,,
6,63.35403726708074,0.6137303930865524,0.6618336249073951,0.6335403726708074,22,330,0.5,,,,,,,
5,63.35403726708074,0.6137303930865524,0.6618336249073951,0.6335403726708074,22,330,0.5,,,,,,,
9,63.35403726708074,0.6137303930865524,0.6618336249073951,0.6335403726708074,22,330,0.5,,,,,,,
3,63.35403726708074,0.6137303930865524,0.6618336249073951,0.6335403726708074,22,330,0.5,,,,,,,
10,63.35403726708074,0.6137303930865524,0.6618336249073951,0.6335403726708074,22,330,0.5,,,,,,,
2,69.40993788819875,0.686011328,0.7111041207993282,0.6940993788819876,33,330,0.5,,,,,,,
1,70.96273291925466,0.6978233854552862,0.7119497756900957,0.7096273291925466,33,330,0.5,,,,,,,
8,69.72049689440993,0.6878493952457126,0.7081000162427669,0.6972049689440993,33,330,0.5,,,,,,,
7,69.40993788819875,0.686011328,0.7111041207993282,0.6940993788819876,33,330,0.5,,,,,,,
4,69.40993788819875,0.686011328,0.7111041207993282,0.6940993788819876,33,330,0.5,,,,,,,
6,69.40993788819875,0.686011328,0.7111041207993282,0.6940993788819876,33,330,0.5,,,,,,,
5,69.40993788819875,0.686011328,0.7111041207993282,0.6940993788819876,33,330,0.5,,,,,,,
9,69.40993788819875,0.686011328,0.7111041207993282,0.6940993788819876,33,330,0.5,,,,,,,
3,69.40993788819875,0.686011328,0.7111041207993282,0.6940993788819876,33,330,0.5,,,,,,,
10,69.40993788819875,0.686011328,0.7111041207993282,0.6940993788819876,33,330,0.5,,,,,,,
2,69.40993788819875,0.680926506,0.7253964800995513,0.6940993788819876,44,330,0.5,,,,,,,
8,69.40993788819875,0.6801885329628837,0.7172838740884556,0.6940993788819876,44,330,0.5,,,,,,,
1,70.03105590062113,0.6823884608233243,0.7268505034391942,0.7003105590062112,44,330,0.5,,,,,,,
7,69.40993788819875,0.680926506,0.7253964800995513,0.6940993788819876,44,330,0.5,,,,,,,
6,69.40993788819875,0.680926506,0.7253964800995513,0.6940993788819876,44,330,0.5,,,,,,,
4,69.40993788819875,0.680926506,0.7253964800995513,0.6940993788819876,44,330,0.5,,,,,,,
9,69.40993788819875,0.680926506,0.7253964800995513,0.6940993788819876,44,330,0.5,,,,,,,
5,69.40993788819875,0.680926506,0.7253964800995513,0.6940993788819876,44,330,0.5,,,,,,,
3,69.40993788819875,0.680926506,0.7253964800995513,0.6940993788819876,44,330,0.5,,,,,,,
10,69.40993788819875,0.680926506,0.7253964800995513,0.6940993788819876,44,330,0.5,,,,,,,
2,72.51552795031056,0.7162460326321656,0.7720912931025273,0.7251552795031055,55,330,0.5,,,,,,,
1,73.13664596273291,0.7205597068670009,0.7692233543383644,0.7313664596273292,55,330,0.5,,,,,,,
8,72.36024844720497,0.7163686824870333,0.7608106522175682,0.7236024844720497,55,330,0.5,,,,,,,
7,72.51552795031056,0.7162460326321656,0.7720912931025273,0.7251552795031055,55,330,0.5,,,,,,,
6,72.51552795031056,0.7162460326321656,0.7720912931025273,0.7251552795031055,55,330,0.5,,,,,,,
4,72.51552795031056,0.7162460326321656,0.7720912931025273,0.7251552795031055,55,330,0.5,,,,,,,
