model_name,iteration,accuracy,precision,recall,f1
ensembled,15,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,19,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,13,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,6,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,17,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,4,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,9,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,7,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,2,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,1,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,12,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,16,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,8,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,11,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,20,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,5,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,3,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,18,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,10,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,14,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,24,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,22,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,37,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,38,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,32,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,27,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,39,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,30,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,34,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,33,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,21,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,28,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,40,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,25,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,26,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,29,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,36,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,31,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,35,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,23,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,60,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,41,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,56,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,52,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,59,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,50,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,47,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,53,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,57,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,44,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,55,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,54,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,48,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,46,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,49,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,42,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,58,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,45,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,51,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
ensembled,43,0.18322981366459629,0.13296778626222688,0.17030109788968512,0.10543678251915385
