model_name,iteration,accuracy,precision,recall,f1,dset_size
lenet5_batchNorm3,9,0.6362068965517241,0.66210605327543,0.576094333993559,0.5660553617453872,0.1
lenet5_batchNorm3,5,0.6396551724137931,0.6665465583179062,0.5806756489476139,0.5729406188227236,0.1
lenet5_batchNorm3,2,0.6327586206896552,0.6761322357764261,0.5805641519456429,0.5707283211546617,0.1
lenet5_batchNorm3,14,0.6370689655172413,0.667539388864544,0.5816790995230847,0.5722395430923234,0.1
lenet5_batchNorm3,15,0.6336206896551724,0.6581784939392454,0.5741031337689348,0.5657479597038509,0.1
lenet5_batchNorm3,19,0.6344827586206897,0.6619972129598535,0.5754233415958734,0.5695871101771633,0.1
lenet5_batchNorm3,16,0.6241379310344828,0.6625486405096613,0.5665824345388784,0.5572542448437651,0.1
lenet5_batchNorm3,11,0.6336206896551724,0.6668387032434705,0.5733018577190729,0.5657111512821829,0.1
lenet5_batchNorm3,10,0.6327586206896552,0.6650213878915785,0.5756080786394311,0.5670513082044124,0.1
lenet5_batchNorm3,7,0.6267241379310344,0.6622036961531189,0.5747068303015219,0.5646261940408441,0.1
lenet5_batchNorm3,18,0.6327586206896552,0.6653980435640212,0.5770954243041359,0.5676926091957466,0.1
lenet5_batchNorm3,6,0.6413793103448275,0.669945834865864,0.582497353858332,0.574352702356658,0.1
lenet5_batchNorm3,3,0.6336206896551724,0.6625578665120746,0.5773463567902006,0.5667200069985158,0.1
lenet5_batchNorm3,1,0.6448275862068965,0.6698579716828832,0.5871806872268428,0.5773475637026986,0.1
lenet5_batchNorm3,12,0.6293103448275862,0.6641042664957448,0.5703956454272752,0.5632643947504539,0.1
lenet5_batchNorm3,4,0.6327586206896552,0.667436231941057,0.5784538763226432,0.5710114138346669,0.1
lenet5_batchNorm3,8,0.6396551724137931,0.6689003693017174,0.579393086384212,0.5737476898914567,0.1
lenet5_batchNorm3,17,0.6336206896551724,0.6606312277876467,0.5782279372776128,0.5682530898217537,0.1
lenet5_batchNorm3,13,0.6353448275862069,0.6765626091543092,0.5830410737386196,0.5751419086719124,0.1
lenet5_batchNorm3,20,0.6293103448275862,0.6596156728759807,0.5722520049906218,0.563554405426756,0.1
lenet5_batchNorm3,36,0.6327586206896552,0.6661417460978811,0.5760555337432466,0.5686707764545322,0.1
lenet5_batchNorm3,37,0.6293103448275862,0.6616645872348761,0.5712264901301091,0.5637269744814588,0.1
lenet5_batchNorm3,35,0.6310344827586207,0.664464490098862,0.575128725462526,0.5660918391849067,0.1
lenet5_batchNorm3,32,0.6258620689655172,0.6614309160041468,0.5708672566734443,0.5646846189099272,0.1
lenet5_batchNorm3,33,0.6336206896551724,0.6675525481924006,0.5795248543187987,0.572258032702417,0.1
lenet5_batchNorm3,40,0.6336206896551724,0.666049016032099,0.5771767645433502,0.5679249379199457,0.1
lenet5_batchNorm3,22,0.6336206896551724,0.663034722135395,0.5740509230975022,0.5658256268421156,0.1
lenet5_batchNorm3,27,0.6206896551724138,0.6501058885963343,0.5637739513117402,0.5538770759079656,0.1
lenet5_batchNorm3,28,0.6310344827586207,0.65802788789979,0.5715535141257562,0.5640631916177063,0.1
lenet5_batchNorm3,21,0.6310344827586207,0.6641824569096112,0.575236775135321,0.5688579232645505,0.1
lenet5_batchNorm3,25,0.6422413793103449,0.6761924221996989,0.5857157861212723,0.5769339429440075,0.1
lenet5_batchNorm3,31,0.6327586206896552,0.6643542648088847,0.5751858515653251,0.5654778086166524,0.1
lenet5_batchNorm3,34,0.6370689655172413,0.6724799517474802,0.5814341133093405,0.5753567027099316,0.1
lenet5_batchNorm3,29,0.6405172413793103,0.670430741709169,0.5797033948466472,0.5721251524956864,0.1
lenet5_batchNorm3,38,0.6327586206896552,0.6606162189051282,0.5746091665012212,0.5663179559633336,0.1
lenet5_batchNorm3,24,0.6267241379310344,0.6612634747971298,0.5719081838690749,0.5659903182310153,0.1
lenet5_batchNorm3,39,0.628448275862069,0.6581832767411205,0.5770271378046121,0.566941121209906,0.1
lenet5_batchNorm3,30,0.6293103448275862,0.6568632839761325,0.5731427702119747,0.5640808816548559,0.1
lenet5_batchNorm3,26,0.6301724137931034,0.6645665610207929,0.572602028614749,0.5663354884476249,0.1
lenet5_batchNorm3,23,0.6267241379310344,0.6662099571620248,0.5730938207639358,0.5633165290036988,0.1
lenet5_batchNorm3,59,0.6327586206896552,0.6669643781152843,0.5768666865109026,0.5680453390978166,0.1
lenet5_batchNorm3,45,0.6370689655172413,0.6695728614123672,0.5795480490259358,0.5715184367630839,0.1
lenet5_batchNorm3,53,0.6370689655172413,0.6778102135596122,0.5831121010325837,0.5748432807815511,0.1
lenet5_batchNorm3,42,0.6353448275862069,0.664722352845726,0.5760705319889208,0.5667350378085604,0.1
lenet5_batchNorm3,44,0.6362068965517241,0.6703525393730058,0.5790362896301045,0.5691342377842508,0.1
lenet5_batchNorm3,48,0.6267241379310344,0.6571766651039089,0.5707387150399155,0.5618710424835448,0.1
lenet5_batchNorm3,60,0.6379310344827587,0.6709828846757424,0.5818165701928227,0.5739561563387539,0.1
lenet5_batchNorm3,54,0.6310344827586207,0.6591244374498892,0.5751716528456049,0.5649960253969983,0.1
lenet5_batchNorm3,47,0.6370689655172413,0.66735797338725,0.5794003855507273,0.572409388560207,0.1
lenet5_batchNorm3,52,0.6362068965517241,0.6697367681181633,0.578427531355994,0.5706661661304542,0.1
lenet5_batchNorm3,46,0.6336206896551724,0.664997047318131,0.5804039378988186,0.5712322421751372,0.1
lenet5_batchNorm3,55,0.6370689655172413,0.6626094292360728,0.5811461297762037,0.5720370119684346,0.1
lenet5_batchNorm3,56,0.6232758620689656,0.6580443959045226,0.5682873511355424,0.5588720907189102,0.1
lenet5_batchNorm3,50,0.6327586206896552,0.6714667867071409,0.5799404002242979,0.5717112381989863,0.1
lenet5_batchNorm3,43,0.6275862068965518,0.6594737427437413,0.5724842957465858,0.5641275812545463,0.1
lenet5_batchNorm3,51,0.6362068965517241,0.660506272086294,0.5819572238179359,0.5719339138337217,0.1
lenet5_batchNorm3,58,0.628448275862069,0.6654942615522734,0.5731219888756027,0.5652687866304051,0.1
lenet5_batchNorm3,57,0.6344827586206897,0.6704531549511266,0.5785407607541592,0.5710632654617271,0.1
lenet5_batchNorm3,49,0.6301724137931034,0.6675094330767324,0.5792810696098256,0.5692750720809896,0.1
lenet5_batchNorm3,41,0.6327586206896552,0.6634129053206828,0.5763498316137632,0.5673788886810968,0.1
lenet5_batchNorm3,67,0.6387931034482759,0.6631044882106677,0.57841852265989,0.5713377861293764,0.1
lenet5_batchNorm3,77,0.6362068965517241,0.6737437403061829,0.5809919396201485,0.5770927851138322,0.1
lenet5_batchNorm3,72,0.6310344827586207,0.6591283234128777,0.5714581735472997,0.5643822482412576,0.1
lenet5_batchNorm3,69,0.6396551724137931,0.6619042050731254,0.5800049381227932,0.574130347390653,0.1
lenet5_batchNorm3,62,0.6275862068965518,0.6647171047038568,0.5725971723210486,0.563555594364308,0.1
lenet5_batchNorm3,68,0.6344827586206897,0.6611585905942216,0.5726122044172823,0.5650109170493423,0.1
lenet5_batchNorm3,79,0.6327586206896552,0.6697210545735034,0.5798141643074953,0.5694840062707435,0.1
lenet5_batchNorm3,71,0.628448275862069,0.6645405322277574,0.5743003870697143,0.5647499582709858,0.1
lenet5_batchNorm3,63,0.6310344827586207,0.6658541883053334,0.5788303022607992,0.5694113989752612,0.1
lenet5_batchNorm3,70,0.6362068965517241,0.6721894487169227,0.5793948273895946,0.5726268908647785,0.1
lenet5_batchNorm3,65,0.6327586206896552,0.6587267572413338,0.5782821047800623,0.5678009197051102,0.1
lenet5_batchNorm3,78,0.6301724137931034,0.6644713197702521,0.5786232222105341,0.5660115898957193,0.1
lenet5_batchNorm3,73,0.6293103448275862,0.661019946184378,0.5771534657640032,0.5685356500381052,0.1
lenet5_batchNorm3,66,0.6353448275862069,0.6601112879310314,0.5785433085408636,0.5690838323932245,0.1
lenet5_batchNorm3,64,0.628448275862069,0.6609865055945329,0.5720718298248555,0.5629937918511864,0.1
lenet5_batchNorm3,61,0.6413793103448275,0.6652491138499531,0.5821305226026984,0.5746291636615158,0.1
lenet5_batchNorm3,76,0.6413793103448275,0.6700201433106994,0.5851076691517887,0.577199248593881,0.1
lenet5_batchNorm3,80,0.6439655172413793,0.664179479832651,0.5827958799274817,0.5760172162180873,0.1
lenet5_batchNorm3,74,0.6344827586206897,0.675117115683401,0.581282005115418,0.5727906975569395,0.1
lenet5_batchNorm3,75,0.6379310344827587,0.6630747677835024,0.5830610907642315,0.5723113851478676,0.1
lenet5_batchNorm3,90,0.6310344827586207,0.6618647773275119,0.5773279318839191,0.5656089667393178,0.1
lenet5_batchNorm3,87,0.631896551724138,0.6691324488153575,0.5821017843609726,0.5712344033247373,0.1
lenet5_batchNorm3,93,0.6336206896551724,0.6622850913035739,0.5746416321915324,0.5669664021513225,0.1
lenet5_batchNorm3,97,0.6336206896551724,0.6719258697145554,0.5793112574827833,0.57387652852353,0.1
lenet5_batchNorm3,99,0.6379310344827587,0.6651173486430306,0.5751983897792301,0.567189026597785,0.1
lenet5_batchNorm3,86,0.6301724137931034,0.6670202121053938,0.575405369842645,0.5675016960850686,0.1
lenet5_batchNorm3,88,0.6362068965517241,0.6655918601164534,0.5771057958004472,0.5712297969733001,0.1
lenet5_batchNorm3,98,0.6310344827586207,0.6580326428254575,0.5715373365531307,0.5630670339172681,0.1
lenet5_batchNorm3,94,0.625,0.6625902375493624,0.5727571217524238,0.5626026444762545,0.1
lenet5_batchNorm3,85,0.6327586206896552,0.6666951706087605,0.5753264542675101,0.5669960744686532,0.1
lenet5_batchNorm3,95,0.6336206896551724,0.661594053747883,0.581019710117979,0.5695796406360157,0.1
lenet5_batchNorm3,84,0.6422413793103449,0.6823315082274295,0.5867661762878393,0.5808233429417077,0.1
lenet5_batchNorm3,91,0.6387931034482759,0.6704722069939649,0.5837761613666534,0.5767665712140004,0.1
lenet5_batchNorm3,83,0.6310344827586207,0.6624865025445157,0.5760263728621491,0.5664822021981477,0.1
lenet5_batchNorm3,89,0.6301724137931034,0.6659043618607248,0.5758268926224257,0.5683063346338906,0.1
lenet5_batchNorm3,100,0.6301724137931034,0.6636102277825632,0.5787423539583807,0.5698031806348465,0.1
lenet5_batchNorm3,81,0.6327586206896552,0.663409269073352,0.5729835202478678,0.5657931716801455,0.1
lenet5_batchNorm3,82,0.6336206896551724,0.6627610271936076,0.5771356424678543,0.5683673658497491,0.1
lenet5_batchNorm3,96,0.6353448275862069,0.6618016475998995,0.5760291552014595,0.5676255625392493,0.1
lenet5_batchNorm3,92,0.6336206896551724,0.662621346830394,0.5740524438031306,0.5624508219099441,0.1
lenet5_batchNorm3,6,0.612027158098933,0.6427310930305025,0.556330920251987,0.5440811976300084,0.2
lenet5_batchNorm3,7,0.6372453928225025,0.6854861521956251,0.5860588304737441,0.5785755791556514,0.2
lenet5_batchNorm3,9,0.6304558680892337,0.6705625996612204,0.5802262643182524,0.5716259936732995,0.2
lenet5_batchNorm3,1,0.6217264791464597,0.663777386510173,0.5703658389703363,0.5622905385896835,0.2
lenet5_batchNorm3,3,0.6275460717749758,0.6526275898323343,0.5691944367608461,0.560363223418965,0.2
lenet5_batchNorm3,11,0.6314258001939864,0.6647490722888554,0.5788775866185109,0.5718859823894139,0.2
lenet5_batchNorm3,8,0.6420950533462657,0.6647031038224102,0.580878112306791,0.5746746374524722,0.2
lenet5_batchNorm3,20,0.6256062075654704,0.6474566219360913,0.5682019683464978,0.5547604527278815,0.2
