Accuracy,precision,recall,f1,iteration,dset_size
98.19,0.9820857959552841,0.9819,0.9819043803617573,8.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,10.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,7.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,6.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,2.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,3.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,5.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,9.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,4.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,1.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,20.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,14.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,6.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,10.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,2.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,18.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,16.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,4.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,8.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,12.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,30.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,15.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,27.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,3.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,18.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,21.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,12.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,6.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,24.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,9.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,12.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,32.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,8.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,28.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,40.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,24.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,16.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,36.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,20.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,4.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,35.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,40.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,10.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,25.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,20.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,5.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,45.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,15.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,30.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,50.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,48.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,30.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,60.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,6.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,24.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,36.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,54.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,18.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,12.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,42.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,14.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,28.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,56.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,49.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,70.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,63.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,42.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,7.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,21.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,35.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,32.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,80.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,72.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,16.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,24.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,64.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,8.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,48.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,56.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,40.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,72.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,63.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,90.0,0.1
98.19,0.9820857959552841,0.9819,0.9819043803617573,36.0,0.1
