model_name,iteration,accuracy,precision,recall,f1,steps,batch_size
lenet5_batchNorm1,13,0.718944099378882,0.7293951486459574,0.6888618645240545,0.6710185689025147,8,256
lenet5_batchNorm1,2,0.718944099378882,0.735234666951298,0.6883924037141507,0.6707914458992481,8,256
lenet5_batchNorm1,5,0.7142857142857143,0.7237370492713953,0.6834008088181223,0.6653855099929087,8,256
lenet5_batchNorm1,11,0.7212732919254659,0.7363088425535016,0.6912778280382542,0.6728557373576332,8,256
lenet5_batchNorm1,20,0.7204968944099379,0.7330310216281181,0.6906397789474813,0.6726513444653014,8,256
lenet5_batchNorm1,10,0.718944099378882,0.7335502862058939,0.6888696041383289,0.6717485024129888,8,256
lenet5_batchNorm1,12,0.7158385093167702,0.7259277365808132,0.6853033904777754,0.668248798652735,8,256
lenet5_batchNorm1,6,0.717391304347826,0.7282632475089101,0.6860590206629661,0.6679051049863968,8,256
lenet5_batchNorm1,16,0.7150621118012422,0.7343954813268552,0.6868051020911603,0.6676571221360084,8,256
lenet5_batchNorm1,4,0.718167701863354,0.7331724827675199,0.6871875844370423,0.6691008161903729,8,256
lenet5_batchNorm1,18,0.71972049689441,0.7330990633233193,0.6908404292078762,0.6724593926056393,8,256
lenet5_batchNorm1,15,0.717391304347826,0.7300980990883665,0.6852393848662163,0.6678938795699777,8,256
lenet5_batchNorm1,9,0.71972049689441,0.7333634910432136,0.6875957229543854,0.6701426363111567,8,256
lenet5_batchNorm1,17,0.717391304347826,0.7330876879938809,0.686941574668982,0.6692545883229457,8,256
lenet5_batchNorm1,19,0.718167701863354,0.7357659358401583,0.6886618485913572,0.6694564850768969,8,256
lenet5_batchNorm1,3,0.71972049689441,0.735373265663235,0.6894398200859033,0.6719572144980838,8,256
lenet5_batchNorm1,8,0.7166149068322981,0.7342645817977982,0.6873149852897227,0.6685231145251035,8,256
lenet5_batchNorm1,1,0.71972049689441,0.731425994134836,0.6892278643978477,0.6705618902803674,8,256
lenet5_batchNorm1,14,0.7204968944099379,0.7352790296261015,0.6892966959627825,0.6715588284740444,8,256
lenet5_batchNorm1,7,0.7204968944099379,0.7314562980912781,0.6901691332738992,0.6721412052758143,8,256
lenet5_batchNorm1,30,0.71972049689441,0.733631056009474,0.6899565606600679,0.6725088745860515,8,256
lenet5_batchNorm1,28,0.7228260869565217,0.7407010528769534,0.6925067767141806,0.675197410977997,8,256
lenet5_batchNorm1,39,0.718944099378882,0.7306151108757388,0.6875603887916928,0.6695509297256534,8,256
lenet5_batchNorm1,32,0.71972049689441,0.7344284912390938,0.691732158250883,0.6732311061041167,8,256
lenet5_batchNorm1,37,0.7204968944099379,0.7361178285017108,0.6891114681671084,0.671861617996214,8,256
lenet5_batchNorm1,24,0.71972049689441,0.7276649928720791,0.6877673256838833,0.6703374158083223,8,256
lenet5_batchNorm1,33,0.7135093167701864,0.7236267491541497,0.6850739569362009,0.6661087874322802,8,256
lenet5_batchNorm1,38,0.7150621118012422,0.7224493977462264,0.6840400427725736,0.664946181236621,8,256
lenet5_batchNorm1,40,0.71972049689441,0.7362757574210759,0.6895366629830986,0.6715114994583921,8,256
lenet5_batchNorm1,25,0.7236024844720497,0.7392025417387236,0.6933367188459183,0.6763233824329851,8,256
lenet5_batchNorm1,36,0.71972049689441,0.7331147211617386,0.6889822305539776,0.6706936376437129,8,256
lenet5_batchNorm1,21,0.717391304347826,0.7305628498583977,0.6866462839802261,0.6689314316344447,8,256
lenet5_batchNorm1,23,0.71972049689441,0.7354505545881479,0.6886563300393977,0.6707615009171306,8,256
lenet5_batchNorm1,31,0.718944099378882,0.7367030626632368,0.6894896633727311,0.6711528110559384,8,256
lenet5_batchNorm1,34,0.7212732919254659,0.7344779075691859,0.6911937396821154,0.6737022611407387,8,256
lenet5_batchNorm1,26,0.7204968944099379,0.732367102150513,0.6899689911472728,0.6718242800782805,8,256
lenet5_batchNorm1,22,0.718167701863354,0.7279075646995092,0.6870024168893812,0.6684732774164811,8,256
lenet5_batchNorm1,27,0.718167701863354,0.7337801004842517,0.688301515541118,0.6701636624841829,8,256
lenet5_batchNorm1,35,0.71972049689441,0.7330958843376129,0.6902973430660678,0.6722014541288586,8,256
lenet5_batchNorm1,29,0.7236024844720497,0.742472196098054,0.6918251737742793,0.6746933247925815,8,256
lenet5_batchNorm1,44,0.71972049689441,0.7308496763545165,0.6881857801361124,0.6701333024407605,8,256
lenet5_batchNorm1,48,0.718944099378882,0.7314130654934791,0.6880971130253947,0.6702816710697849,8,256
lenet5_batchNorm1,46,0.7236024844720497,0.7380476192450552,0.6920826186481143,0.673707923078565,8,256
lenet5_batchNorm1,42,0.7204968944099379,0.7361500942320899,0.6908932126536389,0.672677165386373,8,256
lenet5_batchNorm1,43,0.7204968944099379,0.7383276109825461,0.6919943902410646,0.6745264641307457,8,256
lenet5_batchNorm1,57,0.718167701863354,0.7342352830161627,0.6888799072751701,0.6704822539005426,8,256
lenet5_batchNorm1,51,0.7212732919254659,0.7396102640568106,0.6925067767141806,0.6743006392935055,8,256
lenet5_batchNorm1,47,0.7166149068322981,0.7315222531695962,0.6854414647031177,0.6675174243128641,8,256
lenet5_batchNorm1,59,0.717391304347826,0.7280388449253238,0.6866134530920873,0.6680772232954666,8,256
lenet5_batchNorm1,58,0.71972049689441,0.7308123560246318,0.6904697560726724,0.6721059081461538,8,256
lenet5_batchNorm1,52,0.7166149068322981,0.7277497563603996,0.6888277152250402,0.6697262156617898,8,256
lenet5_batchNorm1,56,0.718167701863354,0.7322632132368535,0.6871043096843551,0.6700386695802308,8,256
lenet5_batchNorm1,55,0.718944099378882,0.7305882520578328,0.6897138087042466,0.6718455847062458,8,256
lenet5_batchNorm1,60,0.718944099378882,0.7331150028967455,0.6877723444797483,0.6712522574771393,8,256
lenet5_batchNorm1,50,0.717391304347826,0.7300501244797802,0.6869236581117952,0.6686871588329353,8,256
lenet5_batchNorm1,54,0.7166149068322981,0.7331027902646194,0.6855287176326631,0.6676572722694808,8,256
lenet5_batchNorm1,45,0.7212732919254659,0.735798997688921,0.6913794711029668,0.6731749037500318,8,256
