model_name,iteration,class_label,accuracy,step,batch_size
lenet5_batchNorm1,20,7,0.5377358490566038,3,128
lenet5_batchNorm1,20,0,0.8863636363636364,3,128
lenet5_batchNorm1,20,1,0.720125786163522,3,128
lenet5_batchNorm1,20,5,0.9017857142857143,3,128
lenet5_batchNorm1,20,3,0.9291338582677166,3,128
lenet5_batchNorm1,20,4,0.9,3,128
lenet5_batchNorm1,20,2,0.8414634146341463,3,128
lenet5_batchNorm1,1,0,0.8977272727272727,3,128
lenet5_batchNorm1,20,8,0.5897435897435898,3,128
lenet5_batchNorm1,1,1,0.7169811320754716,3,128
lenet5_batchNorm1,20,6,0.29347826086956524,3,128
lenet5_batchNorm1,1,5,0.9107142857142857,3,128
lenet5_batchNorm1,20,9,0.26506024096385544,3,128
lenet5_batchNorm1,1,2,0.8414634146341463,3,128
lenet5_batchNorm1,1,9,0.25301204819277107,3,128
lenet5_batchNorm1,1,4,0.9083333333333333,3,128
lenet5_batchNorm1,1,7,0.5471698113207547,3,128
lenet5_batchNorm1,1,3,0.9291338582677166,3,128
lenet5_batchNorm1,1,8,0.6025641025641025,3,128
lenet5_batchNorm1,1,6,0.2826086956521739,3,128
lenet5_batchNorm1,19,7,0.5566037735849056,3,128
lenet5_batchNorm1,19,2,0.8353658536585366,3,128
lenet5_batchNorm1,19,1,0.7264150943396226,3,128
lenet5_batchNorm1,19,3,0.937007874015748,3,128
lenet5_batchNorm1,19,0,0.8863636363636364,3,128
lenet5_batchNorm1,19,6,0.2826086956521739,3,128
lenet5_batchNorm1,19,8,0.6025641025641025,3,128
lenet5_batchNorm1,19,4,0.9083333333333333,3,128
lenet5_batchNorm1,19,5,0.9107142857142857,3,128
lenet5_batchNorm1,19,9,0.25301204819277107,3,128
lenet5_batchNorm1,7,2,0.8414634146341463,3,128
lenet5_batchNorm1,7,3,0.9291338582677166,3,128
lenet5_batchNorm1,7,4,0.9083333333333333,3,128
lenet5_batchNorm1,7,5,0.9017857142857143,3,128
lenet5_batchNorm1,7,1,0.710691823899371,3,128
lenet5_batchNorm1,7,0,0.8863636363636364,3,128
lenet5_batchNorm1,7,7,0.5566037735849056,3,128
lenet5_batchNorm1,7,8,0.6025641025641025,3,128
lenet5_batchNorm1,7,6,0.2826086956521739,3,128
lenet5_batchNorm1,7,9,0.25301204819277107,3,128
lenet5_batchNorm1,11,1,0.7075471698113207,3,128
lenet5_batchNorm1,11,2,0.8353658536585366,3,128
lenet5_batchNorm1,11,8,0.6153846153846154,3,128
lenet5_batchNorm1,11,4,0.9,3,128
lenet5_batchNorm1,11,7,0.5471698113207547,3,128
lenet5_batchNorm1,11,5,0.9107142857142857,3,128
lenet5_batchNorm1,11,9,0.25301204819277107,3,128
lenet5_batchNorm1,11,3,0.937007874015748,3,128
lenet5_batchNorm1,11,0,0.8977272727272727,3,128
lenet5_batchNorm1,11,6,0.2717391304347826,3,128
lenet5_batchNorm1,18,6,0.29347826086956524,3,128
lenet5_batchNorm1,18,1,0.7264150943396226,3,128
lenet5_batchNorm1,18,2,0.8475609756097561,3,128
lenet5_batchNorm1,18,5,0.8928571428571429,3,128
lenet5_batchNorm1,18,3,0.937007874015748,3,128
lenet5_batchNorm1,18,8,0.6025641025641025,3,128
lenet5_batchNorm1,18,0,0.8977272727272727,3,128
lenet5_batchNorm1,18,7,0.5471698113207547,3,128
lenet5_batchNorm1,18,4,0.9083333333333333,3,128
lenet5_batchNorm1,18,9,0.26506024096385544,3,128
lenet5_batchNorm1,6,1,0.7138364779874213,3,128
lenet5_batchNorm1,6,4,0.9083333333333333,3,128
lenet5_batchNorm1,6,2,0.8414634146341463,3,128
lenet5_batchNorm1,6,0,0.8863636363636364,3,128
lenet5_batchNorm1,6,8,0.5897435897435898,3,128
lenet5_batchNorm1,6,5,0.9017857142857143,3,128
lenet5_batchNorm1,6,3,0.937007874015748,3,128
lenet5_batchNorm1,6,7,0.5377358490566038,3,128
lenet5_batchNorm1,6,9,0.24096385542168675,3,128
lenet5_batchNorm1,6,6,0.29347826086956524,3,128
lenet5_batchNorm1,10,2,0.8353658536585366,3,128
lenet5_batchNorm1,10,1,0.720125786163522,3,128
lenet5_batchNorm1,10,5,0.9017857142857143,3,128
lenet5_batchNorm1,10,0,0.8863636363636364,3,128
lenet5_batchNorm1,10,3,0.9291338582677166,3,128
