model_name,iteration,accuracy,precision,recall,f1
lenet5_batchNorm7,7,0.6614906832298136,0.7045398145775408,0.6312452144429511,0.6189979335829472
lenet5_batchNorm7,18,0.6630434782608695,0.7058616733144908,0.6350510191996303,0.6219854173410773
lenet5_batchNorm7,13,0.6591614906832298,0.7025254619749047,0.6315167348001824,0.6183229534898262
lenet5_batchNorm7,14,0.6607142857142857,0.6987800654814114,0.6320368802759343,0.6191863416306964
lenet5_batchNorm7,12,0.6614906832298136,0.7004441468030265,0.6319603090967251,0.6193170528523757
lenet5_batchNorm7,5,0.6645962732919255,0.7051523729142062,0.6354848552569282,0.6225993590416582
lenet5_batchNorm7,3,0.6583850931677019,0.6996460928440471,0.6286809662965586,0.6161525042555316
lenet5_batchNorm7,20,0.6607142857142857,0.7015996692114941,0.6298640992013895,0.6179243099887917
lenet5_batchNorm7,11,0.6645962732919255,0.7059927720390504,0.6365119649396982,0.623504536039093
lenet5_batchNorm7,6,0.6614906832298136,0.7002125906872818,0.6329356345842456,0.6197473208519707
lenet5_batchNorm7,19,0.6614906832298136,0.7019836208626588,0.6339032204574919,0.6204476246157762
lenet5_batchNorm7,9,0.6614906832298136,0.7023676196560291,0.6325464404450515,0.6196469325875398
lenet5_batchNorm7,2,0.6591614906832298,0.7002926575965042,0.6300570666113381,0.61763860059014
lenet5_batchNorm7,4,0.6614906832298136,0.7013455619923427,0.6315193307622815,0.6192191440266049
lenet5_batchNorm7,1,0.6645962732919255,0.7029249541982415,0.6359577914229264,0.622909038204463
lenet5_batchNorm7,16,0.6607142857142857,0.7024006452587803,0.6321903075358963,0.619775750505872
lenet5_batchNorm7,8,0.6607142857142857,0.7029027679623948,0.6314584885418821,0.6197287223308361
lenet5_batchNorm7,15,0.6645962732919255,0.7060152428126617,0.633277694541469,0.6213224133104787
lenet5_batchNorm7,10,0.6630434782608695,0.706009425036874,0.634532151275102,0.6216977819263763
lenet5_batchNorm7,17,0.6638198757763976,0.7037879749806395,0.635141907372663,0.6220192655520378
lenet5_batchNorm7,22,0.6607142857142857,0.7022826650865326,0.6333452485551804,0.6194676655440624
lenet5_batchNorm7,35,0.6614906832298136,0.703769458068016,0.6341369143881634,0.621149421803485
lenet5_batchNorm7,29,0.6622670807453416,0.7040452470909326,0.6347466704857245,0.6216024675729077
lenet5_batchNorm7,40,0.6583850931677019,0.698787279339148,0.628818379696167,0.6160321203747016
lenet5_batchNorm7,30,0.6661490683229814,0.7049760895160491,0.6360653743413438,0.6232962178313577
lenet5_batchNorm7,38,0.6630434782608695,0.7049184991938022,0.635304642388036,0.6223290660030616
lenet5_batchNorm7,37,0.6622670807453416,0.7016683574123374,0.6333797737783848,0.6202365835951344
lenet5_batchNorm7,39,0.6630434782608695,0.7034275534924818,0.635151215128074,0.6218872600128599
lenet5_batchNorm7,23,0.6599378881987578,0.7022352637050827,0.629533619932231,0.6176953432006598
lenet5_batchNorm7,34,0.6630434782608695,0.7038254717308308,0.6336448320725654,0.6211335513109241
lenet5_batchNorm7,33,0.6614906832298136,0.7036490603355491,0.634481612191544,0.6206994432034757
lenet5_batchNorm7,26,0.6630434782608695,0.7025978635198727,0.635304642388036,0.6221725336237458
lenet5_batchNorm7,32,0.6622670807453416,0.7049429579881086,0.6342176858662969,0.6210040273184575
lenet5_batchNorm7,36,0.6599378881987578,0.7025347726541076,0.631189514850321,0.6187579799402907
lenet5_batchNorm7,25,0.6607142857142857,0.7029283035621425,0.6308750494415161,0.6182715584877048
lenet5_batchNorm7,31,0.6630434782608695,0.7009327993515851,0.6350004801160722,0.6207835211947982
lenet5_batchNorm7,28,0.6607142857142857,0.7026893428745943,0.6319072064906002,0.619703596024679
lenet5_batchNorm7,21,0.6614906832298136,0.7027806169506846,0.6338526813739339,0.6198520537643354
lenet5_batchNorm7,27,0.6622670807453416,0.7045739639432773,0.6345007869115931,0.6210417556055539
lenet5_batchNorm7,24,0.6622670807453416,0.7048412036125978,0.6333957876387383,0.6205519625136079
lenet5_batchNorm7,46,0.6591614906832298,0.700570073743744,0.6278266041760896,0.6162078425178665
lenet5_batchNorm7,57,0.6638198757763976,0.7054413906408027,0.6352299136576469,0.6225013757919444
lenet5_batchNorm7,60,0.6614906832298136,0.7019470069217777,0.6322128003161974,0.618724140391399
lenet5_batchNorm7,48,0.6607142857142857,0.7016142450593074,0.631170340130272,0.6181287530811432
lenet5_batchNorm7,45,0.6607142857142857,0.7013627956925348,0.6316030442186364,0.6182622494895222
lenet5_batchNorm7,42,0.6630434782608695,0.7023762491914555,0.6346124179458117,0.6219248459451874
lenet5_batchNorm7,41,0.6622670807453416,0.7026297361847595,0.6347960776003491,0.6211011171015646
lenet5_batchNorm7,59,0.6638198757763976,0.7021016515160842,0.6343473596516311,0.6208775675342961
lenet5_batchNorm7,52,0.6630434782608695,0.6995124425423338,0.6329529259958228,0.6204880047716144
lenet5_batchNorm7,44,0.6630434782608695,0.7017223862765334,0.634481612191544,0.6208625281562078
lenet5_batchNorm7,50,0.6630434782608695,0.7034785690878266,0.633125964148037,0.6209920268781675
lenet5_batchNorm7,47,0.6622670807453416,0.7046058769323503,0.6330844830896288,0.6205146736381464
lenet5_batchNorm7,51,0.6630434782608695,0.7036162031879084,0.6342787778169575,0.6209047742736997
lenet5_batchNorm7,55,0.6607142857142857,0.6978178542404694,0.6310841762941082,0.617814977691865
lenet5_batchNorm7,53,0.6614906832298136,0.6986394229525228,0.6324006072170738,0.6190507666302604
lenet5_batchNorm7,54,0.6638198757763976,0.7018091178171936,0.6353322369364544,0.6224175405560832
lenet5_batchNorm7,43,0.6614906832298136,0.7037604881960614,0.6327405398239334,0.6206291631209891
lenet5_batchNorm7,49,0.6614906832298136,0.7025105213315519,0.6328850955006877,0.619063367913312
lenet5_batchNorm7,58,0.6622670807453416,0.7020154951596943,0.6324999152184756,0.6197389911433357
lenet5_batchNorm7,56,0.6622670807453416,0.7036449120214221,0.6338284917271028,0.6207757922790594
lenet5_batchNorm7,68,0.6622670807453416,0.7036203173806729,0.6321329110767361,0.619590842879461
lenet5_batchNorm7,61,0.6614906832298136,0.7017736438521439,0.6335585226541114,0.6208499966908887
lenet5_batchNorm7,66,0.6630434782608695,0.7035705405037677,0.6356294109336823,0.6215112210447786
lenet5_batchNorm7,67,0.6599378881987578,0.6992699746258179,0.6298882888482207,0.617223583466744
lenet5_batchNorm7,73,0.6638198757763976,0.7063937881766608,0.635323817108085,0.622961239112357
lenet5_batchNorm7,64,0.6622670807453416,0.700999861543702,0.6335453906818066,0.6202902323305229
lenet5_batchNorm7,74,0.6653726708074534,0.7056363495358949,0.6357708381902729,0.6227595574032925
lenet5_batchNorm7,62,0.6630434782608695,0.7035978527911293,0.635110543009154,0.6217872975013516
lenet5_batchNorm7,71,0.6645962732919255,0.7067405354437027,0.6371408957573083,0.624467505765576
lenet5_batchNorm7,70,0.6622670807453416,0.7004248791815988,0.6346009828400369,0.6213626497074044
