model_name,iteration,accuracy,precision,recall,f1,dset_size
lenet5_batchNorm5,18,0.728448275862069,0.727355464669724,0.6888825597129318,0.6748964441606444,0.1
lenet5_batchNorm5,12,0.7267241379310345,0.7225475657455116,0.6857780953748125,0.6740946712748318,0.1
lenet5_batchNorm5,5,0.7293103448275862,0.7299568230759167,0.6879154992519926,0.6746877796666688,0.1
lenet5_batchNorm5,6,0.7258620689655172,0.7231756515918935,0.6854586641746937,0.6710696336159219,0.1
lenet5_batchNorm5,3,0.7224137931034482,0.7171832228589964,0.6791129444937253,0.6660402490840964,0.1
lenet5_batchNorm5,14,0.7241379310344828,0.7225302446737232,0.6819802485097243,0.669816423007675,0.1
lenet5_batchNorm5,17,0.728448275862069,0.7253899370133634,0.6896719877531823,0.6761743197449762,0.1
lenet5_batchNorm5,8,0.7318965517241379,0.7262164113810605,0.6953388947311242,0.6814881501421053,0.1
lenet5_batchNorm5,19,0.728448275862069,0.7217992340054116,0.6879731204429252,0.6724319144836931,0.1
lenet5_batchNorm5,4,0.7310344827586207,0.7266428759273108,0.6911688572780286,0.6783921600091676,0.1
lenet5_batchNorm5,15,0.7327586206896551,0.7271309461733972,0.6879942025070728,0.6767807416496348,0.1
lenet5_batchNorm5,16,0.7293103448275862,0.7233596077444802,0.6911730610478217,0.6765384878940396,0.1
lenet5_batchNorm5,11,0.728448275862069,0.7251220333969572,0.6868998811919333,0.6738111679756087,0.1
lenet5_batchNorm5,7,0.7267241379310345,0.7183249189910701,0.6836866151632446,0.6702597942393203,0.1
lenet5_batchNorm5,1,0.7327586206896551,0.7239491038904344,0.6907660811935799,0.677359122420195,0.1
lenet5_batchNorm5,2,0.7344827586206897,0.7317820565005793,0.6888463724912279,0.678324481607836,0.1
lenet5_batchNorm5,13,0.725,0.7159985844050374,0.6813790458397537,0.6666255234008239,0.1
lenet5_batchNorm5,9,0.7336206896551725,0.7328594327278322,0.6890875990571881,0.6758487329774605,0.1
lenet5_batchNorm5,20,0.7241379310344828,0.7200317018506543,0.6847827784474426,0.6721312709979345,0.1
lenet5_batchNorm5,10,0.7267241379310345,0.7167452381669035,0.682997864855075,0.6691155180964137,0.1
lenet5_batchNorm5,33,0.7301724137931035,0.7301960307513464,0.6893921379020047,0.6762942945547589,0.1
lenet5_batchNorm5,28,0.7258620689655172,0.724488187466473,0.6830954797700719,0.6719015557140994,0.1
lenet5_batchNorm5,31,0.7353448275862069,0.7332408196841407,0.6911231171334076,0.6814097269182822,0.1
lenet5_batchNorm5,37,0.7370689655172413,0.740249079675574,0.6918528459432499,0.6819234684702137,0.1
lenet5_batchNorm5,36,0.7301724137931035,0.7332254747291402,0.6903540902807819,0.6784848010248898,0.1
lenet5_batchNorm5,24,0.7405172413793103,0.735474944985858,0.6974924501144378,0.6856190849295329,0.1
lenet5_batchNorm5,26,0.7275862068965517,0.7246553006612633,0.6883066492757904,0.673830544851209,0.1
lenet5_batchNorm5,22,0.7258620689655172,0.7218732309616226,0.6858207869704191,0.6722818030128069,0.1
lenet5_batchNorm5,39,0.7327586206896551,0.7269557924387342,0.6863356562489743,0.6744088015490745,0.1
lenet5_batchNorm5,34,0.7310344827586207,0.727301910811227,0.692306845424776,0.6786483825777051,0.1
lenet5_batchNorm5,30,0.7293103448275862,0.7212497682537549,0.6867543440913633,0.6727332435794382,0.1
lenet5_batchNorm5,25,0.7293103448275862,0.726447571260371,0.6900815567170426,0.6771533779940523,0.1
lenet5_batchNorm5,21,0.7310344827586207,0.728376186282681,0.6899219158167468,0.6766357960855774,0.1
lenet5_batchNorm5,38,0.7206896551724138,0.7117262842015826,0.6796818754803418,0.6645650927881157,0.1
lenet5_batchNorm5,29,0.7327586206896551,0.7275823130644665,0.6882966161837297,0.6773071849137516,0.1
lenet5_batchNorm5,35,0.7370689655172413,0.7313314010513945,0.694644366366274,0.6821288196254307,0.1
lenet5_batchNorm5,27,0.7241379310344828,0.7192219349054522,0.6829441540811838,0.6697521626266428,0.1
lenet5_batchNorm5,32,0.7318965517241379,0.7222469982417878,0.6914175454472826,0.6760468141875406,0.1
lenet5_batchNorm5,40,0.7232758620689655,0.7201188175832887,0.6858767591235356,0.6704928846439884,0.1
lenet5_batchNorm5,23,0.7275862068965517,0.715747058250804,0.6816782171012397,0.6672955695263292,0.1
lenet5_batchNorm5,43,0.7344827586206897,0.7302895985668417,0.6903860144924192,0.6789792281703495,0.1
lenet5_batchNorm5,50,0.7344827586206897,0.7288204595281392,0.6885874238533548,0.6766885264067581,0.1
lenet5_batchNorm5,48,0.7318965517241379,0.7296312304174053,0.68674151461066,0.6751029312131288,0.1
lenet5_batchNorm5,49,0.7301724137931035,0.7276368569917351,0.6893877294103776,0.6774791400327465,0.1
lenet5_batchNorm5,42,0.7301724137931035,0.7251699385413406,0.6874932644941205,0.674493549534137,0.1
lenet5_batchNorm5,60,0.728448275862069,0.7337538691062606,0.6889856932363223,0.6771352570902716,0.1
lenet5_batchNorm5,46,0.7224137931034482,0.7163313890024058,0.6816279166372294,0.6671638714773105,0.1
lenet5_batchNorm5,56,0.728448275862069,0.7236698146457905,0.689761854077196,0.6748904059274011,0.1
lenet5_batchNorm5,59,0.7267241379310345,0.723607904646863,0.6879176624860366,0.6736552987354554,0.1
lenet5_batchNorm5,45,0.728448275862069,0.7289336975279045,0.6887085202047944,0.6750841592182792,0.1
lenet5_batchNorm5,58,0.728448275862069,0.7262526331780601,0.6860051242693832,0.6751229172760029,0.1
lenet5_batchNorm5,52,0.7241379310344828,0.7240938764045886,0.6855929249514008,0.6736116094265687,0.1
lenet5_batchNorm5,47,0.7327586206896551,0.7290706384428935,0.6924144000340355,0.6807461414749222,0.1
lenet5_batchNorm5,53,0.7258620689655172,0.7249110690305269,0.6859122403435864,0.6725667241679699,0.1
lenet5_batchNorm5,44,0.7198275862068966,0.721231907961634,0.6791612360781694,0.6652125055020022,0.1
lenet5_batchNorm5,54,0.7353448275862069,0.7272497352159878,0.6934024674909204,0.6783928221022202,0.1
lenet5_batchNorm5,41,0.7336206896551725,0.730805324271375,0.6946064628892289,0.6819266732570177,0.1
lenet5_batchNorm5,51,0.7155172413793104,0.717417591871407,0.6815032146695157,0.6646595565301331,0.1
lenet5_batchNorm5,55,0.7275862068965517,0.7271487584550826,0.6820804036797088,0.6713435492417468,0.1
lenet5_batchNorm5,57,0.728448275862069,0.7245970453596169,0.6885990217250297,0.6751112765154301,0.1
lenet5_batchNorm5,69,0.7336206896551725,0.7303646783565197,0.6913124360889337,0.6798689766180638,0.1
lenet5_batchNorm5,68,0.7310344827586207,0.7312987632801777,0.6890635024745718,0.678864082122336,0.1
lenet5_batchNorm5,78,0.7387931034482759,0.734786456626981,0.6948931979187349,0.684061651958354,0.1
lenet5_batchNorm5,71,0.7189655172413794,0.7217955932115213,0.6800507947839984,0.6656626692465709,0.1
lenet5_batchNorm5,67,0.7258620689655172,0.7262692038280278,0.6848832350056475,0.669007476230709,0.1
lenet5_batchNorm5,80,0.728448275862069,0.7282356614697512,0.6932645458945655,0.6803378874357232,0.1
lenet5_batchNorm5,66,0.7310344827586207,0.7236675834325318,0.691552654464511,0.6799023898416601,0.1
lenet5_batchNorm5,73,0.7258620689655172,0.7161315567409836,0.6854248646892128,0.6692216083723791,0.1
lenet5_batchNorm5,64,0.7318965517241379,0.7296617925031449,0.6867165249558151,0.6739563759036726,0.1
lenet5_batchNorm5,70,0.7405172413793103,0.7307309417858561,0.6951387966653872,0.682120513487381,0.1
lenet5_batchNorm5,79,0.7318965517241379,0.7243501313199471,0.6868163029673051,0.6751658422835256,0.1
lenet5_batchNorm5,63,0.7275862068965517,0.723913303232011,0.6888728219708283,0.6761891763681382,0.1
lenet5_batchNorm5,72,0.7275862068965517,0.7226368859168321,0.6850192065131303,0.6724659345700588,0.1
lenet5_batchNorm5,77,0.7327586206896551,0.7343545487178088,0.6926715735930022,0.6811153542623551,0.1
lenet5_batchNorm5,61,0.7344827586206897,0.7323334147952344,0.6896172346722957,0.6771655325313866,0.1
lenet5_batchNorm5,74,0.7232758620689655,0.721524875218891,0.6846275869361599,0.6712055873408567,0.1
lenet5_batchNorm5,76,0.7344827586206897,0.7373146620485171,0.6951216526376102,0.684809376586183,0.1
lenet5_batchNorm5,65,0.7318965517241379,0.7267688895981229,0.6901630616171844,0.6784691700098173,0.1
lenet5_batchNorm5,62,0.7318965517241379,0.7244686451191776,0.6897926855297274,0.6746140141979879,0.1
lenet5_batchNorm5,75,0.7310344827586207,0.7266557753493728,0.6871273328329924,0.6739533468829605,0.1
lenet5_batchNorm5,82,0.7310344827586207,0.7241643124189813,0.690074669159274,0.6799699960986711,0.1
lenet5_batchNorm5,86,0.725,0.7221895810586129,0.6866445111018429,0.6718267863640224,0.1
lenet5_batchNorm5,91,0.7327586206896551,0.7267309787363946,0.6902098650443679,0.676592544803847,0.1
lenet5_batchNorm5,83,0.7310344827586207,0.7246591753581805,0.6881088230633198,0.6738390535217184,0.1
lenet5_batchNorm5,88,0.7293103448275862,0.724847378640641,0.6898752694192748,0.6784393585467221,0.1
lenet5_batchNorm5,84,0.7327586206896551,0.7269106156200222,0.6882360563783229,0.6784612670396013,0.1
lenet5_batchNorm5,89,0.7267241379310345,0.726258140914037,0.6865032653400831,0.6727582426847754,0.1
lenet5_batchNorm5,97,0.7275862068965517,0.724200217795622,0.6921814464663758,0.6769234312144825,0.1
lenet5_batchNorm5,98,0.728448275862069,0.7287315586830524,0.6848939661363662,0.6740621245901074,0.1
lenet5_batchNorm5,99,0.7267241379310345,0.7227177845857681,0.6872664523128176,0.6725411014587706,0.1
lenet5_batchNorm5,94,0.7275862068965517,0.7229378477518262,0.6834134022262147,0.6683222275612692,0.1
lenet5_batchNorm5,93,0.728448275862069,0.7266189122012803,0.6902759404982526,0.6763403777899204,0.1
lenet5_batchNorm5,100,0.725,0.7226327992995888,0.683749873905763,0.6706139633327637,0.1
lenet5_batchNorm5,81,0.728448275862069,0.7225372578069081,0.6885818390685083,0.6760820959157174,0.1
lenet5_batchNorm5,85,0.7258620689655172,0.7213711124732927,0.6853045776985575,0.6717353159824844,0.1
lenet5_batchNorm5,92,0.728448275862069,0.7253766737629487,0.6852058804813719,0.6727515479676583,0.1
lenet5_batchNorm5,96,0.7258620689655172,0.7199250549929482,0.6821297381915924,0.669395173149791,0.1
lenet5_batchNorm5,90,0.721551724137931,0.7159097749006332,0.6811128626824067,0.6654188067270468,0.1
lenet5_batchNorm5,87,0.728448275862069,0.7218714609848436,0.6874492645029288,0.6728169438725928,0.1
lenet5_batchNorm5,95,0.7258620689655172,0.7209740659537365,0.6882796839656516,0.6722820148867247,0.1
lenet5_batchNorm5,4,0.7245392822502424,0.7094545658130109,0.6798665891610637,0.6629189440898768,0.2
lenet5_batchNorm5,7,0.7225994180407371,0.7208862576915906,0.6859419772299798,0.6702229238573093,0.2
lenet5_batchNorm5,19,0.7322987390882638,0.733158233073689,0.6940098175168745,0.6818659949371437,0.2
lenet5_batchNorm5,8,0.7410281280310378,0.7375956243387912,0.7048856513213023,0.6924288902365748,0.2
lenet5_batchNorm5,20,0.7187196896217265,0.7199663873772988,0.6786445570523686,0.6625398622870946,0.2
lenet5_batchNorm5,16,0.7196896217264791,0.7084574260304308,0.6799396478489232,0.6639009599825338,0.2
lenet5_batchNorm5,18,0.7255092143549952,0.7204747257398582,0.6820432801831722,0.6711958559899187,0.2
