model_name,iteration,class_label,accuracy,step,batch_size
lenet5_batchNorm1,15,4,0.55,7,16
lenet5_batchNorm1,15,1,0.4559748427672956,7,16
lenet5_batchNorm1,15,3,0.7244094488188977,7,16
lenet5_batchNorm1,15,8,0.5897435897435898,7,16
lenet5_batchNorm1,15,6,0.18478260869565216,7,16
lenet5_batchNorm1,15,0,0.6022727272727273,7,16
lenet5_batchNorm1,15,2,0.5,7,16
lenet5_batchNorm1,15,5,0.5714285714285714,7,16
lenet5_batchNorm1,15,7,0.2830188679245283,7,16
lenet5_batchNorm1,15,9,0.060240963855421686,7,16
lenet5_batchNorm1,12,5,0.5267857142857143,7,16
lenet5_batchNorm1,12,3,0.6614173228346457,7,16
lenet5_batchNorm1,12,2,0.524390243902439,7,16
lenet5_batchNorm1,12,8,0.5769230769230769,7,16
lenet5_batchNorm1,12,1,0.49056603773584906,7,16
lenet5_batchNorm1,12,4,0.5666666666666667,7,16
lenet5_batchNorm1,12,9,0.03614457831325301,7,16
lenet5_batchNorm1,12,0,0.5568181818181818,7,16
lenet5_batchNorm1,9,8,0.5384615384615384,7,16
lenet5_batchNorm1,12,7,0.33962264150943394,7,16
lenet5_batchNorm1,12,6,0.16304347826086957,7,16
lenet5_batchNorm1,9,1,0.559748427672956,7,16
lenet5_batchNorm1,9,7,0.3867924528301887,7,16
lenet5_batchNorm1,9,5,0.6696428571428571,7,16
lenet5_batchNorm1,11,7,0.39622641509433965,7,16
lenet5_batchNorm1,9,4,0.6083333333333333,7,16
lenet5_batchNorm1,11,5,0.5892857142857143,7,16
lenet5_batchNorm1,9,0,0.5340909090909091,7,16
lenet5_batchNorm1,11,0,0.5454545454545454,7,16
lenet5_batchNorm1,9,3,0.7007874015748031,7,16
lenet5_batchNorm1,11,1,0.5880503144654088,7,16
lenet5_batchNorm1,9,2,0.5670731707317073,7,16
lenet5_batchNorm1,11,4,0.6583333333333333,7,16
lenet5_batchNorm1,9,6,0.18478260869565216,7,16
lenet5_batchNorm1,11,8,0.5769230769230769,7,16
lenet5_batchNorm1,9,9,0.0963855421686747,7,16
lenet5_batchNorm1,11,2,0.5121951219512195,7,16
lenet5_batchNorm1,11,6,0.1956521739130435,7,16
lenet5_batchNorm1,11,3,0.6771653543307087,7,16
lenet5_batchNorm1,11,9,0.060240963855421686,7,16
lenet5_batchNorm1,19,8,0.5769230769230769,7,16
lenet5_batchNorm1,19,2,0.4573170731707317,7,16
lenet5_batchNorm1,19,7,0.3113207547169811,7,16
lenet5_batchNorm1,19,5,0.5535714285714286,7,16
lenet5_batchNorm1,19,1,0.4308176100628931,7,16
lenet5_batchNorm1,19,3,0.6377952755905512,7,16
lenet5_batchNorm1,19,6,0.17391304347826086,7,16
lenet5_batchNorm1,19,0,0.5681818181818182,7,16
lenet5_batchNorm1,2,8,0.6153846153846154,7,16
lenet5_batchNorm1,19,4,0.6,7,16
lenet5_batchNorm1,2,1,0.5408805031446541,7,16
lenet5_batchNorm1,19,9,0.03614457831325301,7,16
lenet5_batchNorm1,2,3,0.7244094488188977,7,16
lenet5_batchNorm1,2,2,0.4878048780487805,7,16
lenet5_batchNorm1,2,0,0.5454545454545454,7,16
lenet5_batchNorm1,2,5,0.5535714285714286,7,16
lenet5_batchNorm1,2,6,0.1956521739130435,7,16
lenet5_batchNorm1,2,4,0.575,7,16
lenet5_batchNorm1,2,7,0.3113207547169811,7,16
lenet5_batchNorm1,2,9,0.04819277108433735,7,16
lenet5_batchNorm1,10,1,0.4528301886792453,7,16
lenet5_batchNorm1,10,4,0.5833333333333334,7,16
lenet5_batchNorm1,10,5,0.5089285714285714,7,16
lenet5_batchNorm1,10,7,0.330188679245283,7,16
lenet5_batchNorm1,14,5,0.5535714285714286,7,16
lenet5_batchNorm1,10,2,0.47560975609756095,7,16
lenet5_batchNorm1,14,2,0.4817073170731707,7,16
lenet5_batchNorm1,10,3,0.6456692913385826,7,16
lenet5_batchNorm1,14,1,0.5,7,16
lenet5_batchNorm1,10,8,0.6666666666666666,7,16
lenet5_batchNorm1,14,7,0.37735849056603776,7,16
lenet5_batchNorm1,17,3,0.7165354330708661,7,16
lenet5_batchNorm1,10,0,0.48863636363636365,7,16
lenet5_batchNorm1,14,3,0.6456692913385826,7,16
lenet5_batchNorm1,10,6,0.13043478260869565,7,16
lenet5_batchNorm1,17,1,0.41509433962264153,7,16
lenet5_batchNorm1,14,6,0.17391304347826086,7,16
lenet5_batchNorm1,10,9,0.03614457831325301,7,16
lenet5_batchNorm1,17,4,0.525,7,16
lenet5_batchNorm1,14,8,0.5769230769230769,7,16
lenet5_batchNorm1,17,2,0.4817073170731707,7,16
lenet5_batchNorm1,14,4,0.6583333333333333,7,16
lenet5_batchNorm1,17,0,0.4431818181818182,7,16
lenet5_batchNorm1,14,0,0.5,7,16
lenet5_batchNorm1,17,6,0.15217391304347827,7,16
lenet5_batchNorm1,14,9,0.04819277108433735,7,16
lenet5_batchNorm1,17,7,0.2830188679245283,7,16
lenet5_batchNorm1,17,8,0.5769230769230769,7,16
lenet5_batchNorm1,17,5,0.44642857142857145,7,16
lenet5_batchNorm1,17,9,0.024096385542168676,7,16
lenet5_batchNorm1,3,8,0.6282051282051282,7,16
lenet5_batchNorm1,3,1,0.49056603773584906,7,16
lenet5_batchNorm1,3,5,0.5892857142857143,7,16
lenet5_batchNorm1,3,0,0.5795454545454546,7,16
lenet5_batchNorm1,3,4,0.6166666666666667,7,16
lenet5_batchNorm1,3,9,0.060240963855421686,7,16
lenet5_batchNorm1,3,6,0.16304347826086957,7,16
lenet5_batchNorm1,16,1,0.4528301886792453,7,16
lenet5_batchNorm1,3,3,0.6299212598425197,7,16
lenet5_batchNorm1,16,8,0.6538461538461539,7,16
lenet5_batchNorm1,3,7,0.3113207547169811,7,16
lenet5_batchNorm1,16,5,0.5625,7,16
