Class,Accuracy,iter_num,max_iter,dset_size,iteration
0,0.0,5,150,0.2,5.0
1,1.0,5,150,0.2,5.0
2,0.1507936507936507,5,150,0.2,5.0
3,0.0714285714285714,5,150,0.2,5.0
4,0.1157894736842105,5,150,0.2,5.0
5,0.2222222222222222,5,150,0.2,5.0
6,0.04,5,150,0.2,5.0
7,0.0109890109890109,5,150,0.2,5.0
8,0.0,5,150,0.2,5.0
9,0.0,5,150,0.2,5.0
0,0.109375,10,150,0.2,5.0
1,0.996078431372549,10,150,0.2,5.0
2,0.365079365079365,10,150,0.2,5.0
3,0.1530612244897959,10,150,0.2,5.0
4,0.5263157894736842,10,150,0.2,5.0
5,0.3131313131313131,10,150,0.2,5.0
6,0.1466666666666666,10,150,0.2,5.0
7,0.0989010989010989,10,150,0.2,5.0
8,0.0161290322580645,10,150,0.2,5.0
9,0.0,10,150,0.2,5.0
0,0.359375,15,150,0.2,5.0
1,0.9647058823529412,15,150,0.2,5.0
2,0.5238095238095238,15,150,0.2,5.0
3,0.2551020408163265,15,150,0.2,5.0
4,0.7789473684210526,15,150,0.2,5.0
5,0.2828282828282828,15,150,0.2,5.0
6,0.2666666666666666,15,150,0.2,5.0
7,0.5494505494505495,15,150,0.2,5.0
8,0.032258064516129,15,150,0.2,5.0
9,0.0151515151515151,15,150,0.2,5.0
0,0.453125,20,150,0.2,5.0
1,0.9725490196078432,20,150,0.2,5.0
2,0.5714285714285714,20,150,0.2,5.0
3,0.4081632653061224,20,150,0.2,5.0
4,0.7894736842105263,20,150,0.2,5.0
5,0.3636363636363636,20,150,0.2,5.0
6,0.2,20,150,0.2,5.0
7,0.5824175824175825,20,150,0.2,5.0
8,0.032258064516129,20,150,0.2,5.0
9,0.0303030303030303,20,150,0.2,5.0
0,0.5,25,150,0.2,5.0
1,0.9803921568627452,25,150,0.2,5.0
2,0.6428571428571429,25,150,0.2,5.0
3,0.4591836734693877,25,150,0.2,5.0
4,0.8210526315789474,25,150,0.2,5.0
5,0.5151515151515151,25,150,0.2,5.0
6,0.16,25,150,0.2,5.0
7,0.5604395604395604,25,150,0.2,5.0
8,0.0483870967741935,25,150,0.2,5.0
9,0.0757575757575757,25,150,0.2,5.0
0,0.59375,30,150,0.2,5.0
1,0.9803921568627452,30,150,0.2,5.0
2,0.6428571428571429,30,150,0.2,5.0
3,0.4795918367346938,30,150,0.2,5.0
4,0.8526315789473684,30,150,0.2,5.0
5,0.4848484848484848,30,150,0.2,5.0
6,0.2133333333333333,30,150,0.2,5.0
7,0.5934065934065934,30,150,0.2,5.0
8,0.0806451612903225,30,150,0.2,5.0
9,0.1363636363636363,30,150,0.2,5.0
0,0.578125,35,150,0.2,5.0
1,0.8117647058823529,35,150,0.2,5.0
2,0.7142857142857143,35,150,0.2,5.0
3,0.4897959183673469,35,150,0.2,5.0
4,0.8736842105263158,35,150,0.2,5.0
5,0.5050505050505051,35,150,0.2,5.0
6,0.2533333333333333,35,150,0.2,5.0
7,0.8131868131868132,35,150,0.2,5.0
8,0.1774193548387097,35,150,0.2,5.0
9,0.0909090909090909,35,150,0.2,5.0
0,0.6875,40,150,0.2,5.0
1,0.8509803921568627,40,150,0.2,5.0
2,0.6587301587301587,40,150,0.2,5.0
3,0.4795918367346938,40,150,0.2,5.0
4,0.8631578947368421,40,150,0.2,5.0
5,0.5454545454545454,40,150,0.2,5.0
6,0.2933333333333333,40,150,0.2,5.0
7,0.8681318681318682,40,150,0.2,5.0
8,0.1935483870967742,40,150,0.2,5.0
9,0.0606060606060606,40,150,0.2,5.0
0,0.671875,45,150,0.2,5.0
1,0.9372549019607844,45,150,0.2,5.0
2,0.5873015873015873,45,150,0.2,5.0
3,0.4489795918367347,45,150,0.2,5.0
