Class,Accuracy,iter_num,max_iter,dset_size,iteration
0,0.7333333333333333,13,390,0.6,14.0
1,0.962406015037594,13,390,0.6,14.0
2,0.6451612903225806,13,390,0.6,14.0
3,0.5208333333333334,13,390,0.6,14.0
4,0.7916666666666666,13,390,0.6,14.0
5,0.6818181818181818,13,390,0.6,14.0
6,0.2666666666666666,13,390,0.6,14.0
7,0.5111111111111111,13,390,0.6,14.0
8,0.2121212121212121,13,390,0.6,14.0
9,0.1428571428571428,13,390,0.6,14.0
0,0.6666666666666666,26,390,0.6,14.0
1,0.6766917293233082,26,390,0.6,14.0
2,0.9032258064516128,26,390,0.6,14.0
3,0.625,26,390,0.6,14.0
4,0.5833333333333334,26,390,0.6,14.0
5,0.9090909090909092,26,390,0.6,14.0
6,0.2222222222222222,26,390,0.6,14.0
7,0.3111111111111111,26,390,0.6,14.0
8,0.5151515151515151,26,390,0.6,14.0
9,0.1071428571428571,26,390,0.6,14.0
0,0.8666666666666667,39,390,0.6,14.0
1,0.9323308270676692,39,390,0.6,14.0
2,0.8870967741935484,39,390,0.6,14.0
3,0.8541666666666666,39,390,0.6,14.0
4,0.9375,39,390,0.6,14.0
5,0.8636363636363636,39,390,0.6,14.0
6,0.2666666666666666,39,390,0.6,14.0
7,0.8666666666666667,39,390,0.6,14.0
8,0.7878787878787878,39,390,0.6,14.0
9,0.1428571428571428,39,390,0.6,14.0
0,0.9,52,390,0.6,14.0
1,0.924812030075188,52,390,0.6,14.0
2,0.9032258064516128,52,390,0.6,14.0
3,0.9791666666666666,52,390,0.6,14.0
4,0.875,52,390,0.6,14.0
5,0.9545454545454546,52,390,0.6,14.0
6,0.3111111111111111,52,390,0.6,14.0
7,0.8444444444444444,52,390,0.6,14.0
8,0.6666666666666666,52,390,0.6,14.0
9,0.1071428571428571,52,390,0.6,14.0
0,0.8,65,390,0.6,14.0
1,0.8947368421052632,65,390,0.6,14.0
2,0.935483870967742,65,390,0.6,14.0
3,0.8958333333333334,65,390,0.6,14.0
4,0.875,65,390,0.6,14.0
5,0.9318181818181818,65,390,0.6,14.0
6,0.2444444444444444,65,390,0.6,14.0
7,0.9111111111111112,65,390,0.6,14.0
8,0.7575757575757576,65,390,0.6,14.0
9,0.1785714285714285,65,390,0.6,14.0
0,0.9,78,390,0.6,14.0
1,0.9323308270676692,78,390,0.6,14.0
2,0.8870967741935484,78,390,0.6,14.0
3,0.9375,78,390,0.6,14.0
4,0.9166666666666666,78,390,0.6,14.0
5,0.8863636363636364,78,390,0.6,14.0
6,0.3333333333333333,78,390,0.6,14.0
7,0.9111111111111112,78,390,0.6,14.0
8,0.7878787878787878,78,390,0.6,14.0
9,0.3214285714285714,78,390,0.6,14.0
0,0.9,91,390,0.6,14.0
1,0.9323308270676692,91,390,0.6,14.0
2,0.9193548387096774,91,390,0.6,14.0
3,1.0,91,390,0.6,14.0
4,0.9375,91,390,0.6,14.0
5,0.9772727272727272,91,390,0.6,14.0
6,0.3555555555555555,91,390,0.6,14.0
7,0.9111111111111112,91,390,0.6,14.0
8,0.7575757575757576,91,390,0.6,14.0
9,0.4285714285714285,91,390,0.6,14.0
0,0.9666666666666668,104,390,0.6,14.0
1,0.924812030075188,104,390,0.6,14.0
2,0.9193548387096774,104,390,0.6,14.0
3,1.0,104,390,0.6,14.0
4,0.9375,104,390,0.6,14.0
5,0.9090909090909092,104,390,0.6,14.0
6,0.3555555555555555,104,390,0.6,14.0
7,0.9333333333333332,104,390,0.6,14.0
8,0.8484848484848485,104,390,0.6,14.0
9,0.5714285714285714,104,390,0.6,14.0
0,0.9666666666666668,117,390,0.6,14.0
1,0.924812030075188,117,390,0.6,14.0
2,0.935483870967742,117,390,0.6,14.0
3,0.9791666666666666,117,390,0.6,14.0
4,0.9375,117,390,0.6,14.0
5,0.9772727272727272,117,390,0.6,14.0
6,0.3555555555555555,117,390,0.6,14.0
7,0.9333333333333332,117,390,0.6,14.0
8,0.8484848484848485,117,390,0.6,14.0
9,0.6785714285714286,117,390,0.6,14.0
0,1.0,130,390,0.6,14.0
1,0.924812030075188,130,390,0.6,14.0
2,0.9193548387096774,130,390,0.6,14.0
3,0.9791666666666666,130,390,0.6,14.0
4,0.9583333333333334,130,390,0.6,14.0
5,0.9772727272727272,130,390,0.6,14.0
6,0.3555555555555555,130,390,0.6,14.0
7,0.9333333333333332,130,390,0.6,14.0
8,0.8484848484848485,130,390,0.6,14.0
9,0.6428571428571429,130,390,0.6,14.0
0,1.0,143,390,0.6,14.0
1,0.9172932330827068,143,390,0.6,14.0
2,0.8870967741935484,143,390,0.6,14.0
3,1.0,143,390,0.6,14.0
4,0.9375,143,390,0.6,14.0
5,0.9318181818181818,143,390,0.6,14.0
6,0.3555555555555555,143,390,0.6,14.0
7,0.9333333333333332,143,390,0.6,14.0
8,0.9090909090909092,143,390,0.6,14.0
9,0.7857142857142857,143,390,0.6,14.0
0,1.0,156,390,0.6,14.0
1,0.924812030075188,156,390,0.6,14.0
2,0.9193548387096774,156,390,0.6,14.0
3,0.9791666666666666,156,390,0.6,14.0
4,0.9583333333333334,156,390,0.6,14.0
5,0.9772727272727272,156,390,0.6,14.0
6,0.3555555555555555,156,390,0.6,14.0
7,0.9333333333333332,156,390,0.6,14.0
8,0.9090909090909092,156,390,0.6,14.0
9,0.8571428571428571,156,390,0.6,14.0
0,1.0,169,390,0.6,14.0
1,0.924812030075188,169,390,0.6,14.0
2,0.9193548387096774,169,390,0.6,14.0
3,1.0,169,390,0.6,14.0
4,0.9375,169,390,0.6,14.0
5,0.9772727272727272,169,390,0.6,14.0
6,0.3555555555555555,169,390,0.6,14.0
7,0.9555555555555556,169,390,0.6,14.0
8,0.9090909090909092,169,390,0.6,14.0
9,0.8928571428571429,169,390,0.6,14.0
0,1.0,182,390,0.6,14.0
1,0.924812030075188,182,390,0.6,14.0
2,0.9193548387096774,182,390,0.6,14.0
3,1.0,182,390,0.6,14.0
4,0.9375,182,390,0.6,14.0
5,0.9545454545454546,182,390,0.6,14.0
6,0.3555555555555555,182,390,0.6,14.0
7,0.9555555555555556,182,390,0.6,14.0
8,0.9090909090909092,182,390,0.6,14.0
9,0.8928571428571429,182,390,0.6,14.0
0,1.0,195,390,0.6,14.0
1,0.924812030075188,195,390,0.6,14.0
2,0.935483870967742,195,390,0.6,14.0
3,1.0,195,390,0.6,14.0
4,0.9583333333333334,195,390,0.6,14.0
5,0.9772727272727272,195,390,0.6,14.0
6,0.3555555555555555,195,390,0.6,14.0
7,0.9555555555555556,195,390,0.6,14.0
8,0.9090909090909092,195,390,0.6,14.0
9,0.8928571428571429,195,390,0.6,14.0
0,1.0,208,390,0.6,14.0
1,0.924812030075188,208,390,0.6,14.0
2,0.935483870967742,208,390,0.6,14.0
3,1.0,208,390,0.6,14.0
4,0.9583333333333334,208,390,0.6,14.0
5,0.9772727272727272,208,390,0.6,14.0
6,0.3555555555555555,208,390,0.6,14.0
7,0.9333333333333332,208,390,0.6,14.0
8,0.9393939393939394,208,390,0.6,14.0
9,0.8928571428571429,208,390,0.6,14.0
0,0.9666666666666668,221,390,0.6,14.0
1,0.924812030075188,221,390,0.6,14.0
2,0.9032258064516128,221,390,0.6,14.0
3,1.0,221,390,0.6,14.0
4,0.9583333333333334,221,390,0.6,14.0
5,0.9772727272727272,221,390,0.6,14.0
6,0.3555555555555555,221,390,0.6,14.0
7,0.8888888888888888,221,390,0.6,14.0
8,0.8787878787878788,221,390,0.6,14.0
9,0.8928571428571429,221,390,0.6,14.0
0,0.9666666666666668,234,390,0.6,14.0
1,0.9323308270676692,234,390,0.6,14.0
2,0.8870967741935484,234,390,0.6,14.0
3,0.9583333333333334,234,390,0.6,14.0
4,0.9583333333333334,234,390,0.6,14.0
5,0.9545454545454546,234,390,0.6,14.0
6,0.3555555555555555,234,390,0.6,14.0
7,0.9111111111111112,234,390,0.6,14.0
8,0.9090909090909092,234,390,0.6,14.0
9,0.8928571428571429,234,390,0.6,14.0
0,1.0,247,390,0.6,14.0
1,0.924812030075188,247,390,0.6,14.0
2,0.8870967741935484,247,390,0.6,14.0
3,1.0,247,390,0.6,14.0
4,0.9583333333333334,247,390,0.6,14.0
5,0.9772727272727272,247,390,0.6,14.0
6,0.3555555555555555,247,390,0.6,14.0
7,0.9333333333333332,247,390,0.6,14.0
8,0.9090909090909092,247,390,0.6,14.0
9,0.8571428571428571,247,390,0.6,14.0
0,1.0,260,390,0.6,14.0
1,0.924812030075188,260,390,0.6,14.0
2,0.9032258064516128,260,390,0.6,14.0
3,1.0,260,390,0.6,14.0
4,0.9583333333333334,260,390,0.6,14.0
5,0.9772727272727272,260,390,0.6,14.0
6,0.3555555555555555,260,390,0.6,14.0
7,0.9333333333333332,260,390,0.6,14.0
8,0.9393939393939394,260,390,0.6,14.0
9,0.8571428571428571,260,390,0.6,14.0
0,1.0,273,390,0.6,14.0
1,0.9323308270676692,273,390,0.6,14.0
2,0.9032258064516128,273,390,0.6,14.0
3,0.9791666666666666,273,390,0.6,14.0
4,0.9583333333333334,273,390,0.6,14.0
5,0.9090909090909092,273,390,0.6,14.0
6,0.3555555555555555,273,390,0.6,14.0
7,0.9333333333333332,273,390,0.6,14.0
8,0.9393939393939394,273,390,0.6,14.0
9,0.9285714285714286,273,390,0.6,14.0
0,1.0,286,390,0.6,14.0
1,0.924812030075188,286,390,0.6,14.0
2,0.935483870967742,286,390,0.6,14.0
3,1.0,286,390,0.6,14.0
4,0.9583333333333334,286,390,0.6,14.0
5,0.9545454545454546,286,390,0.6,14.0
6,0.3555555555555555,286,390,0.6,14.0
7,0.9333333333333332,286,390,0.6,14.0
8,0.9393939393939394,286,390,0.6,14.0
9,0.8571428571428571,286,390,0.6,14.0
0,1.0,299,390,0.6,14.0
1,0.9323308270676692,299,390,0.6,14.0
2,0.9032258064516128,299,390,0.6,14.0
3,1.0,299,390,0.6,14.0
4,0.9583333333333334,299,390,0.6,14.0
5,0.9545454545454546,299,390,0.6,14.0
6,0.3555555555555555,299,390,0.6,14.0
7,0.9333333333333332,299,390,0.6,14.0
8,0.9090909090909092,299,390,0.6,14.0
9,0.8928571428571429,299,390,0.6,14.0
0,1.0,312,390,0.6,14.0
1,0.9323308270676692,312,390,0.6,14.0
2,0.9193548387096774,312,390,0.6,14.0
3,1.0,312,390,0.6,14.0
4,0.9375,312,390,0.6,14.0
5,0.9772727272727272,312,390,0.6,14.0
6,0.3555555555555555,312,390,0.6,14.0
7,0.9555555555555556,312,390,0.6,14.0
