Class,Accuracy,iter_num,max_iter,dset_size,iteration
0,0.4090909090909091,15,450,0.7,27.0
1,1.0,15,450,0.7,27.0
2,0.2608695652173913,15,450,0.7,27.0
3,0.1025641025641025,15,450,0.7,27.0
4,0.7058823529411765,15,450,0.7,27.0
5,0.4242424242424242,15,450,0.7,27.0
6,0.1666666666666666,15,450,0.7,27.0
7,0.1891891891891892,15,450,0.7,27.0
8,0.125,15,450,0.7,27.0
9,0.0952380952380952,15,450,0.7,27.0
0,0.8636363636363636,30,450,0.7,27.0
1,0.9789473684210528,30,450,0.7,27.0
2,0.7391304347826086,30,450,0.7,27.0
3,0.282051282051282,30,450,0.7,27.0
4,0.9117647058823528,30,450,0.7,27.0
5,0.696969696969697,30,450,0.7,27.0
6,0.3055555555555556,30,450,0.7,27.0
7,0.7567567567567568,30,450,0.7,27.0
8,0.4166666666666667,30,450,0.7,27.0
9,0.0476190476190476,30,450,0.7,27.0
0,0.9090909090909092,45,450,0.7,27.0
1,0.968421052631579,45,450,0.7,27.0
2,0.6739130434782609,45,450,0.7,27.0
3,0.5384615384615384,45,450,0.7,27.0
4,0.9117647058823528,45,450,0.7,27.0
5,0.8181818181818182,45,450,0.7,27.0
6,0.3888888888888889,45,450,0.7,27.0
7,0.7837837837837838,45,450,0.7,27.0
8,0.75,45,450,0.7,27.0
9,0.1904761904761904,45,450,0.7,27.0
0,0.9090909090909092,60,450,0.7,27.0
1,0.9894736842105264,60,450,0.7,27.0
2,0.8478260869565217,60,450,0.7,27.0
3,0.9487179487179488,60,450,0.7,27.0
4,0.9117647058823528,60,450,0.7,27.0
5,0.8181818181818182,60,450,0.7,27.0
6,0.3611111111111111,60,450,0.7,27.0
7,0.7567567567567568,60,450,0.7,27.0
8,0.7916666666666666,60,450,0.7,27.0
9,0.1428571428571428,60,450,0.7,27.0
0,0.9090909090909092,75,450,0.7,27.0
1,0.9894736842105264,75,450,0.7,27.0
2,0.7608695652173914,75,450,0.7,27.0
3,0.9230769230769232,75,450,0.7,27.0
4,0.9411764705882352,75,450,0.7,27.0
5,0.8787878787878788,75,450,0.7,27.0
6,0.3888888888888889,75,450,0.7,27.0
7,0.7297297297297297,75,450,0.7,27.0
8,0.875,75,450,0.7,27.0
9,0.1904761904761904,75,450,0.7,27.0
0,0.9545454545454546,90,450,0.7,27.0
1,0.8947368421052632,90,450,0.7,27.0
2,0.8478260869565217,90,450,0.7,27.0
3,0.9743589743589745,90,450,0.7,27.0
4,0.9411764705882352,90,450,0.7,27.0
5,0.8787878787878788,90,450,0.7,27.0
6,0.3611111111111111,90,450,0.7,27.0
7,0.918918918918919,90,450,0.7,27.0
8,0.8333333333333334,90,450,0.7,27.0
9,0.2857142857142857,90,450,0.7,27.0
0,0.9545454545454546,105,450,0.7,27.0
1,0.7684210526315789,105,450,0.7,27.0
2,0.9130434782608696,105,450,0.7,27.0
3,0.9743589743589745,105,450,0.7,27.0
4,0.9411764705882352,105,450,0.7,27.0
5,0.9090909090909092,105,450,0.7,27.0
6,0.3888888888888889,105,450,0.7,27.0
7,0.8378378378378378,105,450,0.7,27.0
8,0.8333333333333334,105,450,0.7,27.0
9,0.3333333333333333,105,450,0.7,27.0
0,0.9090909090909092,120,450,0.7,27.0
1,0.9052631578947368,120,450,0.7,27.0
2,0.9565217391304348,120,450,0.7,27.0
3,0.9743589743589745,120,450,0.7,27.0
4,0.9411764705882352,120,450,0.7,27.0
5,1.0,120,450,0.7,27.0
6,0.3888888888888889,120,450,0.7,27.0
7,0.8918918918918919,120,450,0.7,27.0
8,0.75,120,450,0.7,27.0
9,0.3333333333333333,120,450,0.7,27.0
0,0.9090909090909092,135,450,0.7,27.0
1,0.9789473684210528,135,450,0.7,27.0
2,0.8043478260869565,135,450,0.7,27.0
3,0.9743589743589745,135,450,0.7,27.0
4,0.9411764705882352,135,450,0.7,27.0
5,0.8484848484848485,135,450,0.7,27.0
6,0.3611111111111111,135,450,0.7,27.0
7,0.918918918918919,135,450,0.7,27.0
8,0.875,135,450,0.7,27.0
9,0.3333333333333333,135,450,0.7,27.0
0,0.9545454545454546,150,450,0.7,27.0
1,0.9578947368421052,150,450,0.7,27.0
2,0.8913043478260869,150,450,0.7,27.0
3,1.0,150,450,0.7,27.0
4,0.9411764705882352,150,450,0.7,27.0
5,0.8484848484848485,150,450,0.7,27.0
6,0.3055555555555556,150,450,0.7,27.0
7,0.8108108108108109,150,450,0.7,27.0
8,0.875,150,450,0.7,27.0
9,0.7142857142857143,150,450,0.7,27.0
0,0.9090909090909092,165,450,0.7,27.0
1,0.9473684210526316,165,450,0.7,27.0
2,0.9130434782608696,165,450,0.7,27.0
3,0.9743589743589745,165,450,0.7,27.0
4,0.9411764705882352,165,450,0.7,27.0
5,0.9393939393939394,165,450,0.7,27.0
6,0.3888888888888889,165,450,0.7,27.0
7,0.8918918918918919,165,450,0.7,27.0
8,0.875,165,450,0.7,27.0
9,0.6666666666666666,165,450,0.7,27.0
0,0.9090909090909092,180,450,0.7,27.0
1,0.9052631578947368,180,450,0.7,27.0
2,0.8913043478260869,180,450,0.7,27.0
3,1.0,180,450,0.7,27.0
4,0.9411764705882352,180,450,0.7,27.0
5,0.9696969696969696,180,450,0.7,27.0
6,0.3888888888888889,180,450,0.7,27.0
7,0.918918918918919,180,450,0.7,27.0
8,0.9166666666666666,180,450,0.7,27.0
9,0.5714285714285714,180,450,0.7,27.0
0,0.9090909090909092,195,450,0.7,27.0
1,0.9789473684210528,195,450,0.7,27.0
2,0.8478260869565217,195,450,0.7,27.0
3,1.0,195,450,0.7,27.0
4,0.9411764705882352,195,450,0.7,27.0
5,0.8787878787878788,195,450,0.7,27.0
6,0.3611111111111111,195,450,0.7,27.0
7,0.8378378378378378,195,450,0.7,27.0
8,0.9166666666666666,195,450,0.7,27.0
9,0.6666666666666666,195,450,0.7,27.0
0,0.9090909090909092,210,450,0.7,27.0
1,0.968421052631579,210,450,0.7,27.0
2,0.8913043478260869,210,450,0.7,27.0
3,1.0,210,450,0.7,27.0
4,0.9411764705882352,210,450,0.7,27.0
5,0.8787878787878788,210,450,0.7,27.0
6,0.3888888888888889,210,450,0.7,27.0
7,0.918918918918919,210,450,0.7,27.0
8,0.9166666666666666,210,450,0.7,27.0
9,0.6666666666666666,210,450,0.7,27.0
0,0.9545454545454546,225,450,0.7,27.0
1,0.9578947368421052,225,450,0.7,27.0
2,0.9347826086956522,225,450,0.7,27.0
3,1.0,225,450,0.7,27.0
4,0.9411764705882352,225,450,0.7,27.0
5,0.9393939393939394,225,450,0.7,27.0
6,0.3888888888888889,225,450,0.7,27.0
7,0.918918918918919,225,450,0.7,27.0
8,0.9166666666666666,225,450,0.7,27.0
9,0.7619047619047619,225,450,0.7,27.0
0,0.9545454545454546,240,450,0.7,27.0
1,0.9157894736842104,240,450,0.7,27.0
2,0.9347826086956522,240,450,0.7,27.0
3,1.0,240,450,0.7,27.0
4,0.9411764705882352,240,450,0.7,27.0
5,0.9393939393939394,240,450,0.7,27.0
6,0.3888888888888889,240,450,0.7,27.0
7,0.918918918918919,240,450,0.7,27.0
8,0.9166666666666666,240,450,0.7,27.0
9,0.7619047619047619,240,450,0.7,27.0
0,0.9545454545454546,255,450,0.7,27.0
1,0.9578947368421052,255,450,0.7,27.0
2,0.9565217391304348,255,450,0.7,27.0
3,1.0,255,450,0.7,27.0
4,0.9411764705882352,255,450,0.7,27.0
5,0.9696969696969696,255,450,0.7,27.0
6,0.3888888888888889,255,450,0.7,27.0
7,0.8918918918918919,255,450,0.7,27.0
8,0.9166666666666666,255,450,0.7,27.0
9,0.8571428571428571,255,450,0.7,27.0
0,0.9090909090909092,270,450,0.7,27.0
1,0.968421052631579,270,450,0.7,27.0
2,0.9347826086956522,270,450,0.7,27.0
3,1.0,270,450,0.7,27.0
4,0.9411764705882352,270,450,0.7,27.0
5,0.9090909090909092,270,450,0.7,27.0
6,0.3888888888888889,270,450,0.7,27.0
7,0.8378378378378378,270,450,0.7,27.0
8,0.9166666666666666,270,450,0.7,27.0
9,0.8095238095238095,270,450,0.7,27.0
0,0.9545454545454546,285,450,0.7,27.0
1,0.8947368421052632,285,450,0.7,27.0
2,0.9565217391304348,285,450,0.7,27.0
3,1.0,285,450,0.7,27.0
4,0.9411764705882352,285,450,0.7,27.0
5,0.9393939393939394,285,450,0.7,27.0
6,0.3888888888888889,285,450,0.7,27.0
7,0.945945945945946,285,450,0.7,27.0
8,0.9166666666666666,285,450,0.7,27.0
9,0.7619047619047619,285,450,0.7,27.0
0,0.9545454545454546,300,450,0.7,27.0
1,0.9578947368421052,300,450,0.7,27.0
2,0.9130434782608696,300,450,0.7,27.0
3,1.0,300,450,0.7,27.0
4,0.9411764705882352,300,450,0.7,27.0
5,0.9090909090909092,300,450,0.7,27.0
6,0.3888888888888889,300,450,0.7,27.0
7,0.8918918918918919,300,450,0.7,27.0
8,0.9166666666666666,300,450,0.7,27.0
9,0.8571428571428571,300,450,0.7,27.0
0,0.9545454545454546,315,450,0.7,27.0
1,0.9578947368421052,315,450,0.7,27.0
2,0.9565217391304348,315,450,0.7,27.0
3,1.0,315,450,0.7,27.0
4,0.9411764705882352,315,450,0.7,27.0
5,0.9696969696969696,315,450,0.7,27.0
6,0.3888888888888889,315,450,0.7,27.0
7,0.8918918918918919,315,450,0.7,27.0
8,0.9166666666666666,315,450,0.7,27.0
9,0.8571428571428571,315,450,0.7,27.0
0,1.0,330,450,0.7,27.0
1,0.9473684210526316,330,450,0.7,27.0
2,0.9565217391304348,330,450,0.7,27.0
3,1.0,330,450,0.7,27.0
4,0.9411764705882352,330,450,0.7,27.0
5,0.9696969696969696,330,450,0.7,27.0
6,0.3888888888888889,330,450,0.7,27.0
7,0.945945945945946,330,450,0.7,27.0
8,0.9166666666666666,330,450,0.7,27.0
9,0.8571428571428571,330,450,0.7,27.0
0,1.0,345,450,0.7,27.0
1,0.9052631578947368,345,450,0.7,27.0
2,0.9565217391304348,345,450,0.7,27.0
3,1.0,345,450,0.7,27.0
4,0.9411764705882352,345,450,0.7,27.0
5,0.9696969696969696,345,450,0.7,27.0
6,0.3888888888888889,345,450,0.7,27.0
7,0.972972972972973,345,450,0.7,27.0
8,0.9166666666666666,345,450,0.7,27.0
9,0.8571428571428571,345,450,0.7,27.0
0,0.9545454545454546,360,450,0.7,27.0
1,0.968421052631579,360,450,0.7,27.0
2,0.9565217391304348,360,450,0.7,27.0
3,1.0,360,450,0.7,27.0
4,0.9411764705882352,360,450,0.7,27.0
5,0.9696969696969696,360,450,0.7,27.0
6,0.3888888888888889,360,450,0.7,27.0
7,0.8918918918918919,360,450,0.7,27.0
8,0.9166666666666666,360,450,0.7,27.0
9,0.8571428571428571,360,450,0.7,27.0
0,1.0,375,450,0.7,27.0
1,0.9052631578947368,375,450,0.7,27.0
2,0.9565217391304348,375,450,0.7,27.0
3,1.0,375,450,0.7,27.0
4,0.9411764705882352,375,450,0.7,27.0
5,0.9696969696969696,375,450,0.7,27.0
6,0.3888888888888889,375,450,0.7,27.0
7,0.972972972972973,375,450,0.7,27.0
8,0.9166666666666666,375,450,0.7,27.0
9,0.8095238095238095,375,450,0.7,27.0
0,1.0,390,450,0.7,27.0
1,0.9473684210526316,390,450,0.7,27.0
2,0.9565217391304348,390,450,0.7,27.0
3,1.0,390,450,0.7,27.0
4,0.9411764705882352,390,450,0.7,27.0
5,0.9696969696969696,390,450,0.7,27.0
6,0.3611111111111111,390,450,0.7,27.0
7,0.972972972972973,390,450,0.7,27.0
8,0.9166666666666666,390,450,0.7,27.0
9,0.8095238095238095,390,450,0.7,27.0
0,1.0,405,450,0.7,27.0
1,0.9578947368421052,405,450,0.7,27.0
2,0.9565217391304348,405,450,0.7,27.0
3,1.0,405,450,0.7,27.0
4,0.9411764705882352,405,450,0.7,27.0
5,0.9696969696969696,405,450,0.7,27.0
6,0.3888888888888889,405,450,0.7,27.0
7,0.945945945945946,405,450,0.7,27.0
8,0.9166666666666666,405,450,0.7,27.0
9,0.8095238095238095,405,450,0.7,27.0
0,1.0,420,450,0.7,27.0
1,0.9578947368421052,420,450,0.7,27.0
2,0.9782608695652174,420,450,0.7,27.0
3,1.0,420,450,0.7,27.0
4,0.9411764705882352,420,450,0.7,27.0
5,0.9696969696969696,420,450,0.7,27.0
6,0.3611111111111111,420,450,0.7,27.0
7,0.945945945945946,420,450,0.7,27.0
8,0.9166666666666666,420,450,0.7,27.0
9,0.8095238095238095,420,450,0.7,27.0
0,1.0,435,450,0.7,27.0
1,0.9578947368421052,435,450,0.7,27.0
2,0.9347826086956522,435,450,0.7,27.0
3,1.0,435,450,0.7,27.0
4,0.9411764705882352,435,450,0.7,27.0
5,0.9696969696969696,435,450,0.7,27.0
6,0.3333333333333333,435,450,0.7,27.0
7,0.972972972972973,435,450,0.7,27.0
8,0.9166666666666666,435,450,0.7,27.0
9,0.8571428571428571,435,450,0.7,27.0
0,1.0,450,450,0.7,27.0
1,0.4210526315789473,450,450,0.7,27.0
2,0.9565217391304348,450,450,0.7,27.0
3,1.0,450,450,0.7,27.0
4,0.9411764705882352,450,450,0.7,27.0
5,0.9696969696969696,450,450,0.7,27.0
6,0.3611111111111111,450,450,0.7,27.0
7,0.972972972972973,450,450,0.7,27.0
8,0.9166666666666666,450,450,0.7,27.0
9,0.8095238095238095,450,450,0.7,27.0
