Class,Accuracy,iter_num,max_iter,dset_size,iteration
0,0.0588235294117647,9,270,0.4,64.0
1,0.595,9,270,0.4,64.0
2,0.8631578947368421,9,270,0.4,64.0
3,0.0694444444444444,9,270,0.4,64.0
4,0.25,9,270,0.4,64.0
5,0.5522388059701493,9,270,0.4,64.0
6,0.0508474576271186,9,270,0.4,64.0
7,0.0149253731343283,9,270,0.4,64.0
8,0.0,9,270,0.4,64.0
9,0.0,9,270,0.4,64.0
0,0.4901960784313725,18,270,0.4,64.0
1,0.775,18,270,0.4,64.0
2,0.7263157894736842,18,270,0.4,64.0
3,0.3472222222222222,18,270,0.4,64.0
4,0.5789473684210527,18,270,0.4,64.0
5,0.6716417910447762,18,270,0.4,64.0
6,0.1525423728813559,18,270,0.4,64.0
7,0.0298507462686567,18,270,0.4,64.0
8,0.2444444444444444,18,270,0.4,64.0
9,0.024390243902439,18,270,0.4,64.0
0,0.5490196078431373,27,270,0.4,64.0
1,0.76,27,270,0.4,64.0
2,0.8105263157894737,27,270,0.4,64.0
3,0.4861111111111111,27,270,0.4,64.0
4,0.6052631578947368,27,270,0.4,64.0
5,0.8208955223880597,27,270,0.4,64.0
6,0.2203389830508474,27,270,0.4,64.0
7,0.0746268656716417,27,270,0.4,64.0
8,0.4,27,270,0.4,64.0
9,0.073170731707317,27,270,0.4,64.0
0,0.7254901960784313,36,270,0.4,64.0
1,1.0,36,270,0.4,64.0
2,0.5473684210526316,36,270,0.4,64.0
3,0.5555555555555556,36,270,0.4,64.0
4,0.868421052631579,36,270,0.4,64.0
5,0.7164179104477612,36,270,0.4,64.0
6,0.3050847457627119,36,270,0.4,64.0
7,0.0895522388059701,36,270,0.4,64.0
8,0.5555555555555556,36,270,0.4,64.0
9,0.024390243902439,36,270,0.4,64.0
0,0.8431372549019608,45,270,0.4,64.0
1,0.96,45,270,0.4,64.0
2,0.6210526315789474,45,270,0.4,64.0
3,0.6111111111111112,45,270,0.4,64.0
4,0.9473684210526316,45,270,0.4,64.0
5,0.6716417910447762,45,270,0.4,64.0
6,0.4576271186440678,45,270,0.4,64.0
7,0.4776119402985074,45,270,0.4,64.0
8,0.6222222222222222,45,270,0.4,64.0
9,0.048780487804878,45,270,0.4,64.0
0,0.9019607843137256,54,270,0.4,64.0
1,0.97,54,270,0.4,64.0
2,0.7578947368421053,54,270,0.4,64.0
3,0.8055555555555556,54,270,0.4,64.0
4,0.9473684210526316,54,270,0.4,64.0
5,0.8059701492537313,54,270,0.4,64.0
6,0.3898305084745763,54,270,0.4,64.0
