Class,Accuracy,iter_num,max_iter,dset_size,iteration
0,0.0588235294117647,9,270,0.4,55.0
1,0.6,9,270,0.4,55.0
2,0.8631578947368421,9,270,0.4,55.0
3,0.0694444444444444,9,270,0.4,55.0
4,0.25,9,270,0.4,55.0
5,0.5373134328358209,9,270,0.4,55.0
6,0.0508474576271186,9,270,0.4,55.0
7,0.0149253731343283,9,270,0.4,55.0
8,0.0,9,270,0.4,55.0
9,0.024390243902439,9,270,0.4,55.0
0,0.4117647058823529,18,270,0.4,55.0
1,0.785,18,270,0.4,55.0
2,0.7263157894736842,18,270,0.4,55.0
3,0.3472222222222222,18,270,0.4,55.0
4,0.5394736842105263,18,270,0.4,55.0
5,0.6567164179104478,18,270,0.4,55.0
6,0.1186440677966101,18,270,0.4,55.0
7,0.0298507462686567,18,270,0.4,55.0
8,0.2222222222222222,18,270,0.4,55.0
9,0.024390243902439,18,270,0.4,55.0
0,0.5490196078431373,27,270,0.4,55.0
1,0.725,27,270,0.4,55.0
2,0.8315789473684211,27,270,0.4,55.0
3,0.5138888888888888,27,270,0.4,55.0
4,0.5657894736842105,27,270,0.4,55.0
5,0.8208955223880597,27,270,0.4,55.0
6,0.2033898305084746,27,270,0.4,55.0
7,0.0597014925373134,27,270,0.4,55.0
8,0.4,27,270,0.4,55.0
9,0.073170731707317,27,270,0.4,55.0
0,0.6862745098039216,36,270,0.4,55.0
1,1.0,36,270,0.4,55.0
2,0.5473684210526316,36,270,0.4,55.0
3,0.5416666666666666,36,270,0.4,55.0
4,0.881578947368421,36,270,0.4,55.0
5,0.7014925373134329,36,270,0.4,55.0
6,0.3050847457627119,36,270,0.4,55.0
7,0.044776119402985,36,270,0.4,55.0
8,0.5555555555555556,36,270,0.4,55.0
9,0.024390243902439,36,270,0.4,55.0
0,0.8235294117647058,45,270,0.4,55.0
1,0.965,45,270,0.4,55.0
2,0.6210526315789474,45,270,0.4,55.0
3,0.5972222222222222,45,270,0.4,55.0
4,0.9473684210526316,45,270,0.4,55.0
5,0.6119402985074627,45,270,0.4,55.0
6,0.423728813559322,45,270,0.4,55.0
7,0.3134328358208955,45,270,0.4,55.0
8,0.6888888888888889,45,270,0.4,55.0
9,0.024390243902439,45,270,0.4,55.0
0,0.8823529411764706,54,270,0.4,55.0
1,0.97,54,270,0.4,55.0
2,0.7578947368421053,54,270,0.4,55.0
3,0.7361111111111112,54,270,0.4,55.0
4,0.9342105263157896,54,270,0.4,55.0
5,0.8059701492537313,54,270,0.4,55.0
6,0.3389830508474576,54,270,0.4,55.0
7,0.1791044776119403,54,270,0.4,55.0
8,0.6666666666666666,54,270,0.4,55.0
9,0.1463414634146341,54,270,0.4,55.0
0,0.8627450980392157,63,270,0.4,55.0
1,0.915,63,270,0.4,55.0
2,0.8105263157894737,63,270,0.4,55.0
3,0.7222222222222222,63,270,0.4,55.0
4,0.9342105263157896,63,270,0.4,55.0
5,0.835820895522388,63,270,0.4,55.0
6,0.3220338983050847,63,270,0.4,55.0
7,0.1940298507462686,63,270,0.4,55.0
8,0.5777777777777777,63,270,0.4,55.0
9,0.1463414634146341,63,270,0.4,55.0
0,0.8823529411764706,72,270,0.4,55.0
1,0.9,72,270,0.4,55.0
2,0.7263157894736842,72,270,0.4,55.0
3,0.7361111111111112,72,270,0.4,55.0
4,0.9473684210526316,72,270,0.4,55.0
5,0.7910447761194029,72,270,0.4,55.0
6,0.2542372881355932,72,270,0.4,55.0
7,0.3134328358208955,72,270,0.4,55.0
8,0.6666666666666666,72,270,0.4,55.0
9,0.1219512195121951,72,270,0.4,55.0
0,0.9411764705882352,81,270,0.4,55.0
1,0.945,81,270,0.4,55.0
2,0.6842105263157895,81,270,0.4,55.0
3,0.8055555555555556,81,270,0.4,55.0
4,0.9605263157894736,81,270,0.4,55.0
5,0.7313432835820896,81,270,0.4,55.0
6,0.3559322033898305,81,270,0.4,55.0
7,0.3134328358208955,81,270,0.4,55.0
8,0.6444444444444445,81,270,0.4,55.0
9,0.048780487804878,81,270,0.4,55.0
0,0.9019607843137256,90,270,0.4,55.0
1,0.98,90,270,0.4,55.0
2,0.8210526315789474,90,270,0.4,55.0
3,0.8194444444444444,90,270,0.4,55.0
4,0.9605263157894736,90,270,0.4,55.0
5,0.8507462686567164,90,270,0.4,55.0
6,0.3559322033898305,90,270,0.4,55.0
7,0.208955223880597,90,270,0.4,55.0
8,0.5555555555555556,90,270,0.4,55.0
9,0.0975609756097561,90,270,0.4,55.0
0,0.9411764705882352,99,270,0.4,55.0
1,0.885,99,270,0.4,55.0
2,0.8631578947368421,99,270,0.4,55.0
3,0.8472222222222222,99,270,0.4,55.0
4,0.9736842105263158,99,270,0.4,55.0
5,0.8208955223880597,99,270,0.4,55.0
6,0.4067796610169492,99,270,0.4,55.0
7,0.3432835820895522,99,270,0.4,55.0
8,0.6222222222222222,99,270,0.4,55.0
9,0.1219512195121951,99,270,0.4,55.0
0,0.9411764705882352,108,270,0.4,55.0
1,0.935,108,270,0.4,55.0
2,0.8842105263157894,108,270,0.4,55.0
3,0.8611111111111112,108,270,0.4,55.0
4,0.9605263157894736,108,270,0.4,55.0
5,0.8656716417910447,108,270,0.4,55.0
6,0.3898305084745763,108,270,0.4,55.0
7,0.2835820895522388,108,270,0.4,55.0
8,0.6666666666666666,108,270,0.4,55.0
9,0.0975609756097561,108,270,0.4,55.0
0,0.9411764705882352,117,270,0.4,55.0
1,0.785,117,270,0.4,55.0
2,0.9157894736842104,117,270,0.4,55.0
3,0.8472222222222222,117,270,0.4,55.0
4,0.9736842105263158,117,270,0.4,55.0
5,0.8955223880597015,117,270,0.4,55.0
6,0.4067796610169492,117,270,0.4,55.0
7,0.2985074626865671,117,270,0.4,55.0
8,0.7555555555555555,117,270,0.4,55.0
9,0.073170731707317,117,270,0.4,55.0
0,0.9411764705882352,126,270,0.4,55.0
1,0.935,126,270,0.4,55.0
2,0.9157894736842104,126,270,0.4,55.0
3,0.8611111111111112,126,270,0.4,55.0
4,0.9736842105263158,126,270,0.4,55.0
5,0.8955223880597015,126,270,0.4,55.0
6,0.4067796610169492,126,270,0.4,55.0
7,0.2388059701492537,126,270,0.4,55.0
8,0.6888888888888889,126,270,0.4,55.0
