Class,Accuracy,iter_num,max_iter,dset_size,iteration
0,0.5555555555555556,19,570,0.9,5.0
1,1.0,19,570,0.9,5.0
2,0.75,19,570,0.9,5.0
3,0.0625,19,570,0.9,5.0
4,0.8571428571428571,19,570,0.9,5.0
5,0.1666666666666666,19,570,0.9,5.0
6,0.2666666666666666,19,570,0.9,5.0
7,0.4545454545454545,19,570,0.9,5.0
8,0.0,19,570,0.9,5.0
9,0.0,19,570,0.9,5.0
0,0.7777777777777778,38,570,0.9,5.0
1,0.9523809523809524,38,570,0.9,5.0
2,0.95,38,570,0.9,5.0
3,0.25,38,570,0.9,5.0
4,0.8571428571428571,38,570,0.9,5.0
5,0.5833333333333334,38,570,0.9,5.0
6,0.5333333333333333,38,570,0.9,5.0
7,1.0,38,570,0.9,5.0
8,0.75,38,570,0.9,5.0
9,0.1428571428571428,38,570,0.9,5.0
0,0.7777777777777778,57,570,0.9,5.0
1,0.5238095238095238,57,570,0.9,5.0
2,0.8,57,570,0.9,5.0
3,0.375,57,570,0.9,5.0
4,0.8571428571428571,57,570,0.9,5.0
5,0.5,57,570,0.9,5.0
6,0.4,57,570,0.9,5.0
7,1.0,57,570,0.9,5.0
8,1.0,57,570,0.9,5.0
9,0.1428571428571428,57,570,0.9,5.0
0,0.8888888888888888,76,570,0.9,5.0
1,1.0,76,570,0.9,5.0
2,0.75,76,570,0.9,5.0
3,0.6875,76,570,0.9,5.0
4,0.9285714285714286,76,570,0.9,5.0
5,0.75,76,570,0.9,5.0
6,0.3333333333333333,76,570,0.9,5.0
7,0.7272727272727273,76,570,0.9,5.0
8,1.0,76,570,0.9,5.0
9,0.1428571428571428,76,570,0.9,5.0
0,0.8888888888888888,95,570,0.9,5.0
1,0.9523809523809524,95,570,0.9,5.0
2,0.9,95,570,0.9,5.0
3,0.8125,95,570,0.9,5.0
4,0.8571428571428571,95,570,0.9,5.0
5,0.8333333333333334,95,570,0.9,5.0
6,0.4666666666666667,95,570,0.9,5.0
7,0.9090909090909092,95,570,0.9,5.0
8,1.0,95,570,0.9,5.0
9,0.0,95,570,0.9,5.0
0,0.8888888888888888,114,570,0.9,5.0
1,0.9523809523809524,114,570,0.9,5.0
2,0.95,114,570,0.9,5.0
3,0.8125,114,570,0.9,5.0
4,0.9285714285714286,114,570,0.9,5.0
5,0.9166666666666666,114,570,0.9,5.0
6,0.4666666666666667,114,570,0.9,5.0
7,0.9090909090909092,114,570,0.9,5.0
8,1.0,114,570,0.9,5.0
9,0.1428571428571428,114,570,0.9,5.0
0,0.8888888888888888,133,570,0.9,5.0
1,1.0,133,570,0.9,5.0
2,0.9,133,570,0.9,5.0
3,0.75,133,570,0.9,5.0
4,0.9285714285714286,133,570,0.9,5.0
5,0.8333333333333334,133,570,0.9,5.0
6,0.4666666666666667,133,570,0.9,5.0
7,0.9090909090909092,133,570,0.9,5.0
8,1.0,133,570,0.9,5.0
9,0.1428571428571428,133,570,0.9,5.0
0,0.8888888888888888,152,570,0.9,5.0
1,0.6190476190476191,152,570,0.9,5.0
2,1.0,152,570,0.9,5.0
3,1.0,152,570,0.9,5.0
4,0.9285714285714286,152,570,0.9,5.0
5,0.9166666666666666,152,570,0.9,5.0
6,0.6666666666666666,152,570,0.9,5.0
7,0.9090909090909092,152,570,0.9,5.0
8,1.0,152,570,0.9,5.0
9,0.1428571428571428,152,570,0.9,5.0
0,0.8888888888888888,171,570,0.9,5.0
1,1.0,171,570,0.9,5.0
2,0.95,171,570,0.9,5.0
3,0.9375,171,570,0.9,5.0
4,0.9285714285714286,171,570,0.9,5.0
5,0.5833333333333334,171,570,0.9,5.0
6,0.6,171,570,0.9,5.0
7,0.9090909090909092,171,570,0.9,5.0
8,1.0,171,570,0.9,5.0
9,0.0,171,570,0.9,5.0
0,0.8888888888888888,190,570,0.9,5.0
1,1.0,190,570,0.9,5.0
2,0.95,190,570,0.9,5.0
3,1.0,190,570,0.9,5.0
4,0.8571428571428571,190,570,0.9,5.0
5,0.5833333333333334,190,570,0.9,5.0
6,0.7333333333333333,190,570,0.9,5.0
7,0.9090909090909092,190,570,0.9,5.0
8,1.0,190,570,0.9,5.0
9,0.0,190,570,0.9,5.0
0,1.0,209,570,0.9,5.0
1,1.0,209,570,0.9,5.0
2,1.0,209,570,0.9,5.0
3,1.0,209,570,0.9,5.0
4,0.9285714285714286,209,570,0.9,5.0
5,0.5833333333333334,209,570,0.9,5.0
6,0.7333333333333333,209,570,0.9,5.0
7,0.9090909090909092,209,570,0.9,5.0
8,1.0,209,570,0.9,5.0
9,0.0,209,570,0.9,5.0
0,1.0,228,570,0.9,5.0
1,1.0,228,570,0.9,5.0
2,1.0,228,570,0.9,5.0
3,1.0,228,570,0.9,5.0
4,0.9285714285714286,228,570,0.9,5.0
5,0.5833333333333334,228,570,0.9,5.0
6,0.7333333333333333,228,570,0.9,5.0
7,0.9090909090909092,228,570,0.9,5.0
8,1.0,228,570,0.9,5.0
9,0.0,228,570,0.9,5.0
0,1.0,247,570,0.9,5.0
1,1.0,247,570,0.9,5.0
2,0.95,247,570,0.9,5.0
3,1.0,247,570,0.9,5.0
4,0.9285714285714286,247,570,0.9,5.0
5,0.5,247,570,0.9,5.0
6,0.7333333333333333,247,570,0.9,5.0
7,0.9090909090909092,247,570,0.9,5.0
8,1.0,247,570,0.9,5.0
9,0.0,247,570,0.9,5.0
0,1.0,266,570,0.9,5.0
1,1.0,266,570,0.9,5.0
2,1.0,266,570,0.9,5.0
3,1.0,266,570,0.9,5.0
4,0.9285714285714286,266,570,0.9,5.0
5,0.5,266,570,0.9,5.0
6,0.7333333333333333,266,570,0.9,5.0
7,0.9090909090909092,266,570,0.9,5.0
8,1.0,266,570,0.9,5.0
9,0.0,266,570,0.9,5.0
0,1.0,285,570,0.9,5.0
1,0.9523809523809524,285,570,0.9,5.0
2,1.0,285,570,0.9,5.0
3,1.0,285,570,0.9,5.0
4,0.9285714285714286,285,570,0.9,5.0
5,0.5,285,570,0.9,5.0
6,0.7333333333333333,285,570,0.9,5.0
7,0.6363636363636364,285,570,0.9,5.0
8,1.0,285,570,0.9,5.0
9,0.0,285,570,0.9,5.0
0,1.0,304,570,0.9,5.0
1,1.0,304,570,0.9,5.0
2,1.0,304,570,0.9,5.0
3,1.0,304,570,0.9,5.0
4,0.9285714285714286,304,570,0.9,5.0
5,0.5,304,570,0.9,5.0
6,0.6666666666666666,304,570,0.9,5.0
7,0.9090909090909092,304,570,0.9,5.0
8,1.0,304,570,0.9,5.0
9,0.0,304,570,0.9,5.0
0,1.0,323,570,0.9,5.0
1,0.9523809523809524,323,570,0.9,5.0
2,1.0,323,570,0.9,5.0
3,1.0,323,570,0.9,5.0
4,0.9285714285714286,323,570,0.9,5.0
5,0.5,323,570,0.9,5.0
6,0.6666666666666666,323,570,0.9,5.0
7,0.9090909090909092,323,570,0.9,5.0
8,1.0,323,570,0.9,5.0
9,0.0,323,570,0.9,5.0
0,1.0,342,570,0.9,5.0
1,1.0,342,570,0.9,5.0
2,1.0,342,570,0.9,5.0
3,1.0,342,570,0.9,5.0
4,0.9285714285714286,342,570,0.9,5.0
5,0.5,342,570,0.9,5.0
6,0.7333333333333333,342,570,0.9,5.0
7,0.9090909090909092,342,570,0.9,5.0
8,1.0,342,570,0.9,5.0
9,0.0,342,570,0.9,5.0
0,1.0,361,570,0.9,5.0
1,0.9523809523809524,361,570,0.9,5.0
2,1.0,361,570,0.9,5.0
3,1.0,361,570,0.9,5.0
4,0.9285714285714286,361,570,0.9,5.0
5,0.5,361,570,0.9,5.0
