Class,Accuracy,iter_num,max_iter,dset_size,iteration
0,0.4090909090909091,15,450,0.7,21.0
1,1.0,15,450,0.7,21.0
2,0.3043478260869565,15,450,0.7,21.0
3,0.1025641025641025,15,450,0.7,21.0
4,0.7352941176470589,15,450,0.7,21.0
5,0.4545454545454545,15,450,0.7,21.0
6,0.1666666666666666,15,450,0.7,21.0
7,0.1891891891891892,15,450,0.7,21.0
8,0.0833333333333333,15,450,0.7,21.0
9,0.0952380952380952,15,450,0.7,21.0
0,0.8636363636363636,30,450,0.7,21.0
1,0.9473684210526316,30,450,0.7,21.0
2,0.8260869565217391,30,450,0.7,21.0
3,0.4358974358974359,30,450,0.7,21.0
4,0.9117647058823528,30,450,0.7,21.0
5,0.7272727272727273,30,450,0.7,21.0
6,0.3055555555555556,30,450,0.7,21.0
7,0.8108108108108109,30,450,0.7,21.0
8,0.5,30,450,0.7,21.0
9,0.0476190476190476,30,450,0.7,21.0
0,0.9090909090909092,45,450,0.7,21.0
1,0.9578947368421052,45,450,0.7,21.0
2,0.7391304347826086,45,450,0.7,21.0
3,0.8717948717948718,45,450,0.7,21.0
4,0.9117647058823528,45,450,0.7,21.0
5,0.8181818181818182,45,450,0.7,21.0
6,0.3888888888888889,45,450,0.7,21.0
7,0.7837837837837838,45,450,0.7,21.0
8,0.8333333333333334,45,450,0.7,21.0
9,0.0952380952380952,45,450,0.7,21.0
0,0.9545454545454546,60,450,0.7,21.0
1,0.9052631578947368,60,450,0.7,21.0
2,0.8913043478260869,60,450,0.7,21.0
3,0.9487179487179488,60,450,0.7,21.0
4,0.9411764705882352,60,450,0.7,21.0
5,0.9090909090909092,60,450,0.7,21.0
6,0.3611111111111111,60,450,0.7,21.0
7,0.945945945945946,60,450,0.7,21.0
8,0.8333333333333334,60,450,0.7,21.0
9,0.1428571428571428,60,450,0.7,21.0
0,0.8636363636363636,75,450,0.7,21.0
1,0.8210526315789474,75,450,0.7,21.0
2,0.8695652173913043,75,450,0.7,21.0
3,1.0,75,450,0.7,21.0
4,0.9411764705882352,75,450,0.7,21.0
5,0.9090909090909092,75,450,0.7,21.0
6,0.3611111111111111,75,450,0.7,21.0
7,0.918918918918919,75,450,0.7,21.0
8,0.8333333333333334,75,450,0.7,21.0
9,0.1428571428571428,75,450,0.7,21.0
0,0.8636363636363636,90,450,0.7,21.0
1,0.8842105263157894,90,450,0.7,21.0
2,0.8913043478260869,90,450,0.7,21.0
3,1.0,90,450,0.7,21.0
4,0.8823529411764706,90,450,0.7,21.0
5,0.9090909090909092,90,450,0.7,21.0
6,0.3055555555555556,90,450,0.7,21.0
7,0.8918918918918919,90,450,0.7,21.0
8,0.8333333333333334,90,450,0.7,21.0
9,0.4285714285714285,90,450,0.7,21.0
0,0.9090909090909092,105,450,0.7,21.0
1,0.8631578947368421,105,450,0.7,21.0
2,0.8913043478260869,105,450,0.7,21.0
3,1.0,105,450,0.7,21.0
4,0.9411764705882352,105,450,0.7,21.0
5,0.8787878787878788,105,450,0.7,21.0
6,0.3611111111111111,105,450,0.7,21.0
7,0.918918918918919,105,450,0.7,21.0
8,0.8333333333333334,105,450,0.7,21.0
9,0.3809523809523809,105,450,0.7,21.0
0,0.9090909090909092,120,450,0.7,21.0
1,0.8631578947368421,120,450,0.7,21.0
2,0.8913043478260869,120,450,0.7,21.0
3,1.0,120,450,0.7,21.0
4,0.9411764705882352,120,450,0.7,21.0
5,0.9090909090909092,120,450,0.7,21.0
6,0.3333333333333333,120,450,0.7,21.0
7,0.918918918918919,120,450,0.7,21.0
8,0.8333333333333334,120,450,0.7,21.0
9,0.5714285714285714,120,450,0.7,21.0
0,0.9090909090909092,135,450,0.7,21.0
1,0.8947368421052632,135,450,0.7,21.0
2,0.8695652173913043,135,450,0.7,21.0
3,1.0,135,450,0.7,21.0
