Class,Accuracy,iter_num,max_iter,dset_size,iteration
0,0.0588235294117647,9,270,0.4,8.0
1,0.62,9,270,0.4,8.0
2,0.8631578947368421,9,270,0.4,8.0
3,0.0694444444444444,9,270,0.4,8.0
4,0.25,9,270,0.4,8.0
5,0.5522388059701493,9,270,0.4,8.0
6,0.0508474576271186,9,270,0.4,8.0
7,0.0149253731343283,9,270,0.4,8.0
8,0.0,9,270,0.4,8.0
9,0.024390243902439,9,270,0.4,8.0
0,0.4901960784313725,18,270,0.4,8.0
1,0.765,18,270,0.4,8.0
2,0.7684210526315789,18,270,0.4,8.0
3,0.3472222222222222,18,270,0.4,8.0
4,0.5921052631578947,18,270,0.4,8.0
5,0.6865671641791045,18,270,0.4,8.0
6,0.1694915254237288,18,270,0.4,8.0
7,0.0895522388059701,18,270,0.4,8.0
8,0.2666666666666666,18,270,0.4,8.0
9,0.048780487804878,18,270,0.4,8.0
0,0.5882352941176471,27,270,0.4,8.0
1,0.825,27,270,0.4,8.0
2,0.7789473684210526,27,270,0.4,8.0
3,0.6527777777777778,27,270,0.4,8.0
4,0.618421052631579,27,270,0.4,8.0
5,0.7910447761194029,27,270,0.4,8.0
6,0.2203389830508474,27,270,0.4,8.0
7,0.1044776119402985,27,270,0.4,8.0
8,0.4222222222222222,27,270,0.4,8.0
9,0.0975609756097561,27,270,0.4,8.0
0,0.7647058823529411,36,270,0.4,8.0
1,0.995,36,270,0.4,8.0
2,0.5789473684210527,36,270,0.4,8.0
3,0.6527777777777778,36,270,0.4,8.0
4,0.881578947368421,36,270,0.4,8.0
5,0.7014925373134329,36,270,0.4,8.0
6,0.3220338983050847,36,270,0.4,8.0
7,0.2686567164179104,36,270,0.4,8.0
8,0.6444444444444445,36,270,0.4,8.0
9,0.024390243902439,36,270,0.4,8.0
0,0.8627450980392157,45,270,0.4,8.0
1,0.98,45,270,0.4,8.0
2,0.6421052631578947,45,270,0.4,8.0
3,0.6805555555555556,45,270,0.4,8.0
4,0.9473684210526316,45,270,0.4,8.0
5,0.6268656716417911,45,270,0.4,8.0
6,0.423728813559322,45,270,0.4,8.0
7,0.208955223880597,45,270,0.4,8.0
8,0.7111111111111111,45,270,0.4,8.0
9,0.048780487804878,45,270,0.4,8.0
0,0.8823529411764706,54,270,0.4,8.0
1,0.985,54,270,0.4,8.0
2,0.7578947368421053,54,270,0.4,8.0
3,0.8194444444444444,54,270,0.4,8.0
4,0.9473684210526316,54,270,0.4,8.0
5,0.7910447761194029,54,270,0.4,8.0
6,0.4406779661016949,54,270,0.4,8.0
7,0.2388059701492537,54,270,0.4,8.0
8,0.7555555555555555,54,270,0.4,8.0
9,0.1707317073170731,54,270,0.4,8.0
0,0.8627450980392157,63,270,0.4,8.0
1,0.92,63,270,0.4,8.0
2,0.8315789473684211,63,270,0.4,8.0
3,0.7777777777777778,63,270,0.4,8.0
4,0.9342105263157896,63,270,0.4,8.0
5,0.835820895522388,63,270,0.4,8.0
6,0.3728813559322034,63,270,0.4,8.0
7,0.2835820895522388,63,270,0.4,8.0
8,0.5333333333333333,63,270,0.4,8.0
9,0.1707317073170731,63,270,0.4,8.0
0,0.8823529411764706,72,270,0.4,8.0
