model_name,iteration,class_label,accuracy,dset_size
lenet5_batchNorm3,12,5,0.8811881188118812,0.1
lenet5_batchNorm3,12,1,0.7359154929577465,0.1
lenet5_batchNorm3,12,8,0.3835616438356164,0.1
lenet5_batchNorm3,12,2,0.6133333333333333,0.1
lenet5_batchNorm3,12,4,0.8018018018018018,0.1
lenet5_batchNorm3,12,3,0.9649122807017544,0.1
lenet5_batchNorm3,12,7,0.45918367346938777,0.1
lenet5_batchNorm3,12,0,0.5512820512820513,0.1
lenet5_batchNorm3,12,6,0.225,0.1
lenet5_batchNorm3,12,9,0.08450704225352113,0.1
lenet5_batchNorm3,18,1,0.75,0.1
lenet5_batchNorm3,18,4,0.8411214953271028,0.1
lenet5_batchNorm3,18,2,0.6363636363636364,0.1
lenet5_batchNorm3,18,9,0.1038961038961039,0.1
lenet5_batchNorm3,18,3,0.9649122807017544,0.1
lenet5_batchNorm3,18,5,0.8725490196078431,0.1
lenet5_batchNorm3,18,0,0.5679012345679012,0.1
lenet5_batchNorm3,18,6,0.24096385542168675,0.1
lenet5_batchNorm3,18,7,0.4791666666666667,0.1
lenet5_batchNorm3,18,8,0.3561643835616438,0.1
lenet5_batchNorm3,5,7,0.4835164835164835,0.1
lenet5_batchNorm3,5,5,0.8773584905660378,0.1
lenet5_batchNorm3,5,1,0.7667844522968198,0.1
lenet5_batchNorm3,5,9,0.09210526315789473,0.1
lenet5_batchNorm3,5,4,0.8240740740740741,0.1
lenet5_batchNorm3,5,3,0.9732142857142857,0.1
lenet5_batchNorm3,5,2,0.609271523178808,0.1
lenet5_batchNorm3,5,0,0.5128205128205128,0.1
lenet5_batchNorm3,5,8,0.352112676056338,0.1
lenet5_batchNorm3,5,6,0.21428571428571427,0.1
lenet5_batchNorm3,6,1,0.7307692307692307,0.1
lenet5_batchNorm3,6,7,0.5102040816326531,0.1
lenet5_batchNorm3,6,4,0.8090909090909091,0.1
lenet5_batchNorm3,6,5,0.8811881188118812,0.1
lenet5_batchNorm3,6,0,0.5853658536585366,0.1
lenet5_batchNorm3,6,8,0.34285714285714286,0.1
lenet5_batchNorm3,6,2,0.6258992805755396,0.1
lenet5_batchNorm3,6,3,0.9736842105263158,0.1
lenet5_batchNorm3,6,9,0.11538461538461539,0.1
lenet5_batchNorm3,6,6,0.2073170731707317,0.1
lenet5_batchNorm3,3,5,0.87,0.1
lenet5_batchNorm3,3,4,0.8076923076923077,0.1
lenet5_batchNorm3,3,2,0.6137931034482759,0.1
lenet5_batchNorm3,3,1,0.7439446366782007,0.1
lenet5_batchNorm3,3,7,0.5,0.1
lenet5_batchNorm3,3,3,0.9652173913043478,0.1
lenet5_batchNorm3,3,9,0.11538461538461539,0.1
lenet5_batchNorm3,3,0,0.5625,0.1
lenet5_batchNorm3,3,8,0.32857142857142857,0.1
lenet5_batchNorm3,3,6,0.20987654320987653,0.1
lenet5_batchNorm3,17,3,0.9739130434782609,0.1
lenet5_batchNorm3,17,4,0.8018018018018018,0.1
lenet5_batchNorm3,17,1,0.7474048442906575,0.1
lenet5_batchNorm3,17,0,0.5432098765432098,0.1
lenet5_batchNorm3,8,2,0.6530612244897959,0.1
lenet5_batchNorm3,17,8,0.3472222222222222,0.1
lenet5_batchNorm3,8,8,0.391304347826087,0.1
lenet5_batchNorm3,17,2,0.6438356164383562,0.1
lenet5_batchNorm3,8,1,0.7342657342657343,0.1
lenet5_batchNorm3,17,5,0.8602150537634409,0.1
lenet5_batchNorm3,17,7,0.46153846153846156,0.1
lenet5_batchNorm3,17,6,0.24096385542168675,0.1
lenet5_batchNorm3,17,9,0.10126582278481013,0.1
lenet5_batchNorm3,8,0,0.5189873417721519,0.1
lenet5_batchNorm3,8,4,0.8198198198198198,0.1
lenet5_batchNorm3,8,5,0.8877551020408163,0.1
lenet5_batchNorm3,8,7,0.5151515151515151,0.1
lenet5_batchNorm3,8,6,0.23255813953488372,0.1
lenet5_batchNorm3,8,3,0.972972972972973,0.1
lenet5_batchNorm3,8,9,0.10810810810810811,0.1
lenet5_batchNorm3,14,4,0.8018018018018018,0.1
lenet5_batchNorm3,14,7,0.5,0.1
lenet5_batchNorm3,14,1,0.7403508771929824,0.1
lenet5_batchNorm3,14,0,0.5569620253164557,0.1
lenet5_batchNorm3,14,2,0.6137931034482759,0.1
lenet5_batchNorm3,14,5,0.88,0.1
lenet5_batchNorm3,14,3,0.9661016949152542,0.1
lenet5_batchNorm3,14,6,0.21951219512195122,0.1
lenet5_batchNorm3,14,8,0.35135135135135137,0.1
lenet5_batchNorm3,14,9,0.09722222222222222,0.1
lenet5_batchNorm3,4,1,0.7403508771929824,0.1
lenet5_batchNorm3,4,5,0.8712871287128713,0.1
lenet5_batchNorm3,4,8,0.38028169014084506,0.1
lenet5_batchNorm3,4,7,0.4787234042553192,0.1
lenet5_batchNorm3,4,2,0.6028368794326241,0.1
lenet5_batchNorm3,4,3,0.9826086956521739,0.1
lenet5_batchNorm3,4,0,0.5714285714285714,0.1
lenet5_batchNorm3,4,6,0.22988505747126436,0.1
lenet5_batchNorm3,4,4,0.7982456140350878,0.1
lenet5_batchNorm3,4,9,0.10666666666666667,0.1
lenet5_batchNorm3,10,1,0.7301038062283737,0.1
lenet5_batchNorm3,10,5,0.8761904761904762,0.1
lenet5_batchNorm3,10,7,0.4752475247524752,0.1
lenet5_batchNorm3,10,4,0.8018867924528302,0.1
lenet5_batchNorm3,10,9,0.1111111111111111,0.1
lenet5_batchNorm3,10,0,0.5833333333333334,0.1
lenet5_batchNorm3,10,3,0.9827586206896551,0.1
lenet5_batchNorm3,10,2,0.6122448979591837,0.1
lenet5_batchNorm3,10,8,0.3142857142857143,0.1
lenet5_batchNorm3,10,6,0.23170731707317074,0.1
lenet5_batchNorm3,19,3,0.9813084112149533,0.1
lenet5_batchNorm3,19,1,0.7448275862068966,0.1
