Class,Accuracy,iter_num,max_iter,dset_size,iteration
0,0.8795180722891566,2,60,0.1,0.0
1,0.976027397260274,2,60,0.1,0.0
2,0.8811188811188811,2,60,0.1,0.0
3,0.5765765765765766,2,60,0.1,0.0
4,0.9532710280373832,2,60,0.1,0.0
5,0.851063829787234,2,60,0.1,0.0
6,0.32558139534883723,2,60,0.1,0.0
7,0.6632653061224489,2,60,0.1,0.0
8,0.4714285714285714,2,60,0.1,0.0
9,0.14473684210526316,2,60,0.1,0.0
