model_name,iteration,accuracy,precision,recall,f1
lenet5_batchNorm6,7,0.657608695652174,0.6984766339421228,0.6273334940395292,0.6150226854484105
lenet5_batchNorm6,18,0.6622670807453416,0.7045012479858561,0.6332500999930507,0.6207595547154894
lenet5_batchNorm6,13,0.6645962732919255,0.7030251844973672,0.6353412949616042,0.6226910509455899
lenet5_batchNorm6,14,0.6630434782608695,0.7042509408833403,0.6320275725205232,0.6197855911427692
lenet5_batchNorm6,12,0.6638198757763976,0.7054832185606731,0.6359438763424874,0.6222507490401179
lenet5_batchNorm6,5,0.6583850931677019,0.6987520091765311,0.6292670976448849,0.6163041792001743
lenet5_batchNorm6,3,0.6614906832298136,0.7039068880550585,0.6331892577726514,0.6209564334555806
lenet5_batchNorm6,20,0.6630434782608695,0.7040749259372544,0.6356294109336823,0.6217243170352794
lenet5_batchNorm6,11,0.6614906832298136,0.7008136375773362,0.6313391178933894,0.6187419097402586
lenet5_batchNorm6,6,0.6622670807453416,0.7013039595938588,0.6354585058202014,0.6213994587380499
lenet5_batchNorm6,4,0.6607142857142857,0.7031813020950811,0.6321379260035183,0.6187557294019786
lenet5_batchNorm6,19,0.6630434782608695,0.7059526278082096,0.6341429571359078,0.6215199088737043
lenet5_batchNorm6,9,0.6583850931677019,0.6985926374949128,0.630805335637909,0.6166965973578405
lenet5_batchNorm6,2,0.6591614906832298,0.69839590034568,0.6305687598191887,0.6168214907586619
lenet5_batchNorm6,1,0.6607142857142857,0.7018464352252217,0.6339274101043231,0.6193202396905205
lenet5_batchNorm6,15,0.6630434782608695,0.7027370277725261,0.635059890782838,0.6227019561728249
lenet5_batchNorm6,16,0.6599378881987578,0.7017833752034265,0.6308202499688611,0.6183286865867561
lenet5_batchNorm6,8,0.6638198757763976,0.7031095844259252,0.6332423603787763,0.619909467310143
lenet5_batchNorm6,10,0.6599378881987578,0.7021825535823168,0.6307263465184229,0.6182186149033914
lenet5_batchNorm6,17,0.6607142857142857,0.7029644211792337,0.6327668568211282,0.6195242447910985
lenet5_batchNorm6,22,0.6630434782608695,0.7023230441846147,0.6343965803243136,0.6217580968472295
lenet5_batchNorm6,35,0.6622670807453416,0.702297621640034,0.6339741793727904,0.6208974025429687
lenet5_batchNorm6,29,0.6638198757763976,0.7018638819993788,0.6359438763424874,0.6218770927167971
lenet5_batchNorm6,40,0.6607142857142857,0.7026874211616361,0.6326211691754406,0.6194476379700073
lenet5_batchNorm6,30,0.6614906832298136,0.703202381584379,0.6325820651976575,0.6195568656756276
lenet5_batchNorm6,38,0.6599378881987578,0.7004993811892224,0.6310661335429925,0.6185102229059044
lenet5_batchNorm6,37,0.6638198757763976,0.7050472299232928,0.6359438763424874,0.6222128163322962
lenet5_batchNorm6,39,0.6630434782608695,0.7062937306817569,0.6359769375725264,0.6229714924156349
lenet5_batchNorm6,23,0.6622670807453416,0.7025401622140983,0.6344412631020693,0.621051674409818
lenet5_batchNorm6,34,0.6607142857142857,0.7033000807686157,0.6325111062823588,0.6192285372067781
lenet5_batchNorm6,33,0.6638198757763976,0.7012895331579229,0.6350063364218745,0.621861671961899
lenet5_batchNorm6,32,0.6599378881987578,0.7029194773922521,0.6310993812149734,0.6182819561748647
lenet5_batchNorm6,36,0.6622670807453416,0.7035537687288771,0.6326012399177066,0.619983528133098
lenet5_batchNorm6,31,0.6622670807453416,0.7045774901084203,0.6332423603787763,0.6203469650204111
lenet5_batchNorm6,26,0.6599378881987578,0.7018845710565437,0.6314848055390769,0.618445843416672
lenet5_batchNorm6,27,0.6614906832298136,0.7006710338723929,0.63375149006406,0.6204322647450821
lenet5_batchNorm6,28,0.6630434782608695,0.7009958573569103,0.6355540013182618,0.6217450392254472
lenet5_batchNorm6,25,0.6583850931677019,0.7007584151526511,0.6272885615315122,0.6160575397885776
lenet5_batchNorm6,21,0.6607142857142857,0.7002960046449196,0.6326211691754406,0.6194591528689058
lenet5_batchNorm6,24,0.6622670807453416,0.7025347667092294,0.6332500999930507,0.6205148336723513
lenet5_batchNorm6,46,0.6638198757763976,0.704652874872683,0.6362480386144511,0.6232979159586589
lenet5_batchNorm6,57,0.6630434782608695,0.7048224475813709,0.6348274419638579,0.6216103790830046
lenet5_batchNorm6,48,0.6622670807453416,0.703372430229025,0.6342772096758208,0.6212752128908645
lenet5_batchNorm6,60,0.6622670807453416,0.7020722121061256,0.6320874193594923,0.6204411290895897
lenet5_batchNorm6,45,0.6607142857142857,0.7029252810079841,0.6309752453699599,0.6188264929276073
lenet5_batchNorm6,41,0.6622670807453416,0.7019205126207307,0.633922395177541,0.6210361023912288
lenet5_batchNorm6,42,0.6622670807453416,0.7003562868179486,0.6347160606599007,0.6208001431482677
lenet5_batchNorm6,59,0.6599378881987578,0.6990748830817164,0.6312008222551087,0.6174906399105513
lenet5_batchNorm6,52,0.6622670807453416,0.7041091450992193,0.6331995609094927,0.6199904650268641
lenet5_batchNorm6,47,0.6614906832298136,0.7030232039729186,0.6328862274696212,0.6204512182958167
lenet5_batchNorm6,51,0.6622670807453416,0.7023291121767641,0.6332857247456565,0.6195181488669683
lenet5_batchNorm6,44,0.6645962732919255,0.7056303314226267,0.6348163842893315,0.6225311750631358
lenet5_batchNorm6,50,0.6645962732919255,0.7018449068383754,0.6333715979919072,0.620723341964674
lenet5_batchNorm6,55,0.6607142857142857,0.702364469198644,0.6305759345358664,0.6179510297748089
lenet5_batchNorm6,53,0.6630434782608695,0.7031533101865259,0.6341429571359078,0.621265215401172
lenet5_batchNorm6,54,0.6622670807453416,0.7036190565348012,0.633588755048687,0.619963562060916
lenet5_batchNorm6,43,0.6622670807453416,0.7053958766504029,0.6343128344284266,0.6207604362190031
lenet5_batchNorm6,58,0.6599378881987578,0.7006961533907838,0.6299983517413025,0.6177181757850168
lenet5_batchNorm6,49,0.657608695652174,0.6993529292428072,0.6278316191028717,0.6154003975318424
lenet5_batchNorm6,56,0.6607142857142857,0.6993598090207221,0.6323975919396683,0.6189878744681748
lenet5_batchNorm6,68,0.6614906832298136,0.7015280293816513,0.6323067037666357,0.618931302607134
lenet5_batchNorm6,67,0.6638198757763976,0.7068114691335906,0.6342694700615463,0.6214916148237413
lenet5_batchNorm6,66,0.6607142857142857,0.7038067715095482,0.6308316850746357,0.6189109731437603
lenet5_batchNorm6,61,0.6638198757763976,0.7057924029067071,0.635141907372663,0.6219767785922434
lenet5_batchNorm6,73,0.6622670807453416,0.7044934943360245,0.6343017223520971,0.6208812405090484
lenet5_batchNorm6,64,0.6645962732919255,0.7048065074484031,0.6359335732056461,0.6235139529573991
lenet5_batchNorm6,75,0.6607142857142857,0.6988375983044026,0.630440363585078,0.6178613139579711
lenet5_batchNorm6,74,0.6653726708074534,0.7064144254980388,0.6364332664101253,0.623564092927125
lenet5_batchNorm6,62,0.6607142857142857,0.7025774345410862,0.6312048653534764,0.618875841804365
lenet5_batchNorm6,71,0.6677018633540373,0.7062042180966538,0.637143023107672,0.6242195666307613
lenet5_batchNorm6,70,0.6630434782608695,0.7049281190505304,0.6343085740393296,0.6214375401018979
lenet5_batchNorm6,72,0.6607142857142857,0.7029718122268783,0.6319922383578306,0.6191236442774546
lenet5_batchNorm6,65,0.657608695652174,0.6986936165511619,0.6284765637808353,0.6158058611866688
lenet5_batchNorm6,69,0.6630434782608695,0.7005549539038668,0.6314254273118433,0.6189985929641219
lenet5_batchNorm6,79,0.6638198757763976,0.703577686641223,0.6341743214994167,0.6211132605834007
lenet5_batchNorm6,76,0.6630434782608695,0.7029556874657872,0.6329356345842456,0.6199711320701282
lenet5_batchNorm6,77,0.6638198757763976,0.7027192623937271,0.6345129765550529,0.6213747144440449
lenet5_batchNorm6,63,0.6645962732919255,0.7030083187248459,0.6368072556284542,0.6236701722752287
lenet5_batchNorm6,80,0.6599378881987578,0.7021838088382613,0.6314826781887134,0.6186578646926331
lenet5_batchNorm6,78,0.6614906832298136,0.7040927781368957,0.6334646192036733,0.6206335513347971
lenet5_batchNorm6,89,0.6607142857142857,0.7039481221763376,0.632947634587617,0.6198793054263791
lenet5_batchNorm6,92,0.6607142857142857,0.7039409285372251,0.631748731864324,0.6189266576139569
lenet5_batchNorm6,81,0.6630434782608695,0.7024531414581645,0.6326326042812153,0.6200823853019591
lenet5_batchNorm6,100,0.6599378881987578,0.7008590104881399,0.6321966408735539,0.6185835954101295
lenet5_batchNorm6,83,0.6622670807453416,0.6999238059284586,0.6335382159651289,0.6193457053087996
lenet5_batchNorm6,93,0.6630434782608695,0.7030854653864494,0.634532151275102,0.621517166813679
lenet5_batchNorm6,95,0.6614906832298136,0.702430644215522,0.6324919315623098,0.6186403084181616
lenet5_batchNorm6,99,0.6607142857142857,0.7029344057537699,0.6335393479340624,0.6203386349734823
lenet5_batchNorm6,82,0.6622670807453416,0.7022452481624379,0.6341522648913189,0.6210321595456937
lenet5_batchNorm6,98,0.6630434782608695,0.7053778443764994,0.635304642388036,0.6224241184962284
lenet5_batchNorm6,88,0.6599378881987578,0.7016858355322468,0.6315332172722713,0.6190318908998685
lenet5_batchNorm6,96,0.6645962732919255,0.7056985835943219,0.6362583417512925,0.622671149265498
lenet5_batchNorm6,91,0.6622670807453416,0.7018705167683537,0.6344624374714949,0.6206242864626053
lenet5_batchNorm6,84,0.6645962732919255,0.704659156636415,0.63603476451552,0.6224146093106606
lenet5_batchNorm6,85,0.6638198757763976,0.7047349715768452,0.6356607752971912,0.6222183680003357
lenet5_batchNorm6,90,0.6622670807453416,0.7053493847407131,0.6339146555632666,0.6209586066285965
lenet5_batchNorm6,87,0.6630434782608695,0.7043913473953416,0.6350510191996303,0.6216444389106224
lenet5_batchNorm6,94,0.6622670807453416,0.704160049078197,0.634541459030513,0.621671534291077
lenet5_batchNorm6,86,0.6645962732919255,0.7043585664206548,0.6344750045462031,0.6213711657301482
lenet5_batchNorm6,97,0.6614906832298136,0.7006061614639776,0.6324167666597174,0.6195782164772398
