model_name,iteration,accuracy,precision,recall,f1,steps,batch_size
lenet5_batchNorm4,16,0.7368012422360248,0.712684485124415,0.7028539455838138,0.6894704256016679,6,64
lenet5_batchNorm4,11,0.7422360248447205,0.7173518783695567,0.7072632346860279,0.6940212208293318,6,64
lenet5_batchNorm4,6,0.7453416149068323,0.7250613593467312,0.7147923360194771,0.7009013496698293,6,64
lenet5_batchNorm4,1,0.7383540372670807,0.7127631926489735,0.7058528168071666,0.6910281631872041,6,64
lenet5_batchNorm4,2,0.7430124223602484,0.7222581577511332,0.7109942141132444,0.6976488733695233,6,64
lenet5_batchNorm4,4,0.7399068322981367,0.7170825560083796,0.705581062049183,0.6917990322623983,6,64
lenet5_batchNorm4,12,0.7422360248447205,0.7214696052576883,0.7095129913846311,0.6977724282114394,6,64
lenet5_batchNorm4,13,0.7383540372670807,0.7160755916165273,0.707852916967971,0.6948671982113075,6,64
lenet5_batchNorm4,7,0.735248447204969,0.7121518082306039,0.7026147370127112,0.6895256730770748,6,64
lenet5_batchNorm4,5,0.7414596273291926,0.7265089642754774,0.7107684720701433,0.6985210706545126,6,64
lenet5_batchNorm4,19,0.7360248447204969,0.713809456859056,0.7041351917954598,0.690098943240172,6,64
lenet5_batchNorm4,20,0.7399068322981367,0.7159120828009069,0.7056229879105953,0.6928638671794973,6,64
lenet5_batchNorm4,14,0.7406832298136646,0.7169663744270756,0.7084134478842578,0.6933513908053316,6,64
lenet5_batchNorm4,18,0.7391304347826086,0.7216799275240156,0.7080788640889403,0.6946155061549562,6,64
lenet5_batchNorm4,17,0.7406832298136646,0.7204848243360218,0.7085515615891882,0.6956960280517143,6,64
lenet5_batchNorm4,9,0.7430124223602484,0.7214919159476453,0.7118303038116343,0.6987631360722858,6,64
lenet5_batchNorm4,8,0.7430124223602484,0.7214899445851516,0.7090215698947666,0.6963386709747643,6,64
lenet5_batchNorm4,15,0.735248447204969,0.7108546202315361,0.7016215810049256,0.6889945469025076,6,64
lenet5_batchNorm4,3,0.7375776397515528,0.7142389670237704,0.7039996112872187,0.6908844122452276,6,64
lenet5_batchNorm4,10,0.735248447204969,0.7117751156685924,0.7023376249916375,0.6890041677520018,6,64
lenet5_batchNorm4,22,0.7391304347826086,0.7127240552060082,0.7061621209024864,0.6936392052739621,6,64
lenet5_batchNorm4,24,0.7368012422360248,0.7158030636877104,0.7071517690722001,0.6940589937686061,6,64
lenet5_batchNorm4,36,0.7368012422360248,0.714241366509602,0.7051676051756385,0.6919089606940267,6,64
lenet5_batchNorm4,28,0.734472049689441,0.7118743762736621,0.7027086598515105,0.688835870162166,6,64
lenet5_batchNorm4,21,0.7422360248447205,0.7204084018236963,0.7099108642645435,0.6968857030847839,6,64
lenet5_batchNorm4,25,0.7406832298136646,0.7189371960397068,0.7078221817526316,0.6938873540017688,6,64
lenet5_batchNorm4,40,0.7399068322981367,0.7169292034631681,0.7054026989823793,0.6922923050880933,6,64
lenet5_batchNorm4,39,0.7368012422360248,0.7106458564468751,0.7071972932289758,0.692816232860486,6,64
lenet5_batchNorm4,35,0.7430124223602484,0.721812058255378,0.7090090223957206,0.6964017767221603,6,64
lenet5_batchNorm4,31,0.7391304347826086,0.7156203662831125,0.7080499324937204,0.6935876909246458,6,64
lenet5_batchNorm4,26,0.735248447204969,0.7150060894907802,0.7006983962484833,0.6876101298744595,6,64
lenet5_batchNorm4,30,0.7383540372670807,0.715342920943237,0.7043062514201923,0.6901758696509189,6,64
lenet5_batchNorm4,37,0.7399068322981367,0.71728524966989,0.706512933924018,0.6932974774002235,6,64
lenet5_batchNorm4,27,0.7484472049689441,0.7244483819424183,0.7172921761320842,0.7039800997184421,6,64
lenet5_batchNorm4,38,0.7375776397515528,0.7149833649969155,0.7042507026306216,0.6926190390986642,6,64
lenet5_batchNorm4,29,0.734472049689441,0.713663031069652,0.7016544888403546,0.6884528514618236,6,64
lenet5_batchNorm4,33,0.7414596273291926,0.7172419302967116,0.7073605849221114,0.6948167244053158,6,64
lenet5_batchNorm4,23,0.7430124223602484,0.718698845434001,0.711153788268922,0.6981098611956804,6,64
lenet5_batchNorm4,34,0.7422360248447205,0.7210277591829118,0.7095871700878811,0.6964274468049167,6,64
lenet5_batchNorm4,32,0.735248447204969,0.7167345471438592,0.7081582667516767,0.6938887111717797,6,64
lenet5_batchNorm4,57,0.7360248447204969,0.7148626411947149,0.7029743471603839,0.6911261857733771,6,64
lenet5_batchNorm4,59,0.7368012422360248,0.7053196648149369,0.7005979972288311,0.686971199445214,6,64
lenet5_batchNorm4,60,0.7399068322981367,0.7154381818981522,0.7074130706024608,0.6944682422652534,6,64
lenet5_batchNorm4,53,0.7391304347826086,0.7097438343934563,0.70299980399007,0.6884153149102357,6,64
lenet5_batchNorm4,44,0.7383540372670807,0.7130453858055217,0.7056049684593692,0.6913475637041905,6,64
lenet5_batchNorm4,52,0.7391304347826086,0.7144382496873958,0.7069011237952659,0.693963849534979,6,64
lenet5_batchNorm4,48,0.7360248447204969,0.7143930393229155,0.706064260546195,0.6921014013609917,6,64
