model_name,iteration,class_label,accuracy
LeNet5_base,14,3,0.7716535433070866
LeNet5_base,14,7,0.42452830188679247
LeNet5_base,14,4,0.8833333333333333
LeNet5_base,14,5,0.7767857142857143
LeNet5_base,14,8,0.6153846153846154
LeNet5_base,14,2,0.6463414634146342
LeNet5_base,14,1,0.6069182389937107
LeNet5_base,14,6,0.2826086956521739
LeNet5_base,14,0,0.7386363636363636
LeNet5_base,14,9,0.25301204819277107
LeNet5_base,7,5,0.7767857142857143
LeNet5_base,7,2,0.6463414634146342
LeNet5_base,7,7,0.42452830188679247
LeNet5_base,7,3,0.7716535433070866
LeNet5_base,7,0,0.7386363636363636
LeNet5_base,7,8,0.6153846153846154
LeNet5_base,7,4,0.8833333333333333
LeNet5_base,7,1,0.6069182389937107
LeNet5_base,7,9,0.25301204819277107
LeNet5_base,7,6,0.2826086956521739
LeNet5_base,8,7,0.42452830188679247
LeNet5_base,8,1,0.6069182389937107
LeNet5_base,8,4,0.8833333333333333
LeNet5_base,8,0,0.7386363636363636
LeNet5_base,8,5,0.7767857142857143
LeNet5_base,8,3,0.7716535433070866
LeNet5_base,8,6,0.2826086956521739
LeNet5_base,8,9,0.25301204819277107
LeNet5_base,8,2,0.6463414634146342
LeNet5_base,8,8,0.6153846153846154
LeNet5_base,19,4,0.8833333333333333
LeNet5_base,19,1,0.6069182389937107
LeNet5_base,19,2,0.6463414634146342
LeNet5_base,19,5,0.7767857142857143
LeNet5_base,19,3,0.7716535433070866
LeNet5_base,19,7,0.42452830188679247
LeNet5_base,19,0,0.7386363636363636
LeNet5_base,19,8,0.6153846153846154
LeNet5_base,19,6,0.2826086956521739
LeNet5_base,6,1,0.6069182389937107
LeNet5_base,19,9,0.25301204819277107
LeNet5_base,6,7,0.42452830188679247
LeNet5_base,6,2,0.6463414634146342
LeNet5_base,6,4,0.8833333333333333
LeNet5_base,6,5,0.7767857142857143
LeNet5_base,6,8,0.6153846153846154
LeNet5_base,6,6,0.2826086956521739
LeNet5_base,6,3,0.7716535433070866
LeNet5_base,6,0,0.7386363636363636
LeNet5_base,5,1,0.6069182389937107
LeNet5_base,5,3,0.7716535433070866
LeNet5_base,6,9,0.25301204819277107
LeNet5_base,5,8,0.6153846153846154
LeNet5_base,5,0,0.7386363636363636
LeNet5_base,5,7,0.42452830188679247
LeNet5_base,5,5,0.7767857142857143
LeNet5_base,5,2,0.6463414634146342
LeNet5_base,5,6,0.2826086956521739
LeNet5_base,5,4,0.8833333333333333
LeNet5_base,5,9,0.25301204819277107
LeNet5_base,13,8,0.6153846153846154
LeNet5_base,13,4,0.8833333333333333
LeNet5_base,13,3,0.7716535433070866
LeNet5_base,13,1,0.6069182389937107
LeNet5_base,13,2,0.6463414634146342
LeNet5_base,13,0,0.7386363636363636
LeNet5_base,13,5,0.7767857142857143
LeNet5_base,13,7,0.42452830188679247
LeNet5_base,13,9,0.25301204819277107
LeNet5_base,13,6,0.2826086956521739
LeNet5_base,12,1,0.6069182389937107
LeNet5_base,12,0,0.7386363636363636
LeNet5_base,12,8,0.6153846153846154
LeNet5_base,12,4,0.8833333333333333
LeNet5_base,12,3,0.7716535433070866
LeNet5_base,12,2,0.6463414634146342
LeNet5_base,12,5,0.7767857142857143
LeNet5_base,12,7,0.42452830188679247
LeNet5_base,12,9,0.25301204819277107
LeNet5_base,12,6,0.2826086956521739
LeNet5_base,18,4,0.8833333333333333
LeNet5_base,18,1,0.6069182389937107
LeNet5_base,18,5,0.7767857142857143
LeNet5_base,18,2,0.6463414634146342
LeNet5_base,18,0,0.7386363636363636
LeNet5_base,18,3,0.7716535433070866
LeNet5_base,18,6,0.2826086956521739
LeNet5_base,18,8,0.6153846153846154
LeNet5_base,2,7,0.42452830188679247
LeNet5_base,2,4,0.8833333333333333
LeNet5_base,18,7,0.42452830188679247
LeNet5_base,2,1,0.6069182389937107
LeNet5_base,18,9,0.25301204819277107
LeNet5_base,2,2,0.6463414634146342
LeNet5_base,2,8,0.6153846153846154
LeNet5_base,2,5,0.7767857142857143
LeNet5_base,2,6,0.2826086956521739
LeNet5_base,2,0,0.7386363636363636
LeNet5_base,2,3,0.7716535433070866
LeNet5_base,9,2,0.6463414634146342
LeNet5_base,2,9,0.25301204819277107
LeNet5_base,9,0,0.7386363636363636
LeNet5_base,9,3,0.7716535433070866
LeNet5_base,9,1,0.6069182389937107
LeNet5_base,9,9,0.25301204819277107
LeNet5_base,9,5,0.7767857142857143
LeNet5_base,1,4,0.8833333333333333
LeNet5_base,1,9,0.25301204819277107
LeNet5_base,9,7,0.42452830188679247
LeNet5_base,1,6,0.2826086956521739
LeNet5_base,1,0,0.7386363636363636
LeNet5_base,9,4,0.8833333333333333
LeNet5_base,3,8,0.6153846153846154
LeNet5_base,9,8,0.6153846153846154
LeNet5_base,1,1,0.6069182389937107
LeNet5_base,1,7,0.42452830188679247
LeNet5_base,3,5,0.7767857142857143
LeNet5_base,9,6,0.2826086956521739
LeNet5_base,1,8,0.6153846153846154
LeNet5_base,3,3,0.7716535433070866
LeNet5_base,3,1,0.6069182389937107
LeNet5_base,1,3,0.7716535433070866
LeNet5_base,15,3,0.7716535433070866
LeNet5_base,3,0,0.7386363636363636
LeNet5_base,1,5,0.7767857142857143
LeNet5_base,15,2,0.6463414634146342
LeNet5_base,3,2,0.6463414634146342
LeNet5_base,15,1,0.6069182389937107
LeNet5_base,3,4,0.8833333333333333
LeNet5_base,1,2,0.6463414634146342
LeNet5_base,15,5,0.7767857142857143
LeNet5_base,15,4,0.8833333333333333
LeNet5_base,3,7,0.42452830188679247
