model_name,iteration,accuracy,precision,recall,f1,steps,batch_size
lenet5_batchNorm8,4,0.6583850931677019,0.699251759931921,0.6274750344388779,0.6144615249200478,3,32
lenet5_batchNorm8,19,0.6537267080745341,0.6929497231029104,0.6225404886482685,0.6102561471642155,3,32
lenet5_batchNorm8,15,0.656832298136646,0.695337067740632,0.627503371332048,0.6141318590210514,3,32
lenet5_batchNorm8,17,0.6614906832298136,0.7012083081368715,0.6318742494085325,0.6188606387089521,3,32
lenet5_batchNorm8,18,0.6645962732919255,0.699058017070828,0.6337777890836821,0.6219933581234109,3,32
lenet5_batchNorm8,9,0.656055900621118,0.6965630145065944,0.6246040404386567,0.6110576452378702,3,32
lenet5_batchNorm8,13,0.656832298136646,0.6912979397663713,0.6251635287492772,0.6129152987629594,3,32
lenet5_batchNorm8,11,0.6498447204968945,0.6890065466624249,0.6179725845441895,0.605706060013476,3,32
lenet5_batchNorm8,2,0.656055900621118,0.6929654227284495,0.6249465372390199,0.6104881486901951,3,32
lenet5_batchNorm8,6,0.6521739130434783,0.6842685422665676,0.6215118780242093,0.6077030002877688,3,32
lenet5_batchNorm8,1,0.657608695652174,0.692935582044386,0.6252602513082863,0.6123822174643607,3,32
lenet5_batchNorm8,12,0.6645962732919255,0.6959019687380928,0.6344060736928898,0.6206087147090305,3,32
lenet5_batchNorm8,14,0.6591614906832298,0.6945042627888416,0.6266612532568421,0.6150106104692348,3,32
lenet5_batchNorm8,5,0.6591614906832298,0.7001139633203366,0.6306587031435112,0.6169641024637219,3,32
lenet5_batchNorm8,16,0.6583850931677019,0.6929733183039684,0.6267003247950933,0.6133374750800218,3,32
lenet5_batchNorm8,8,0.6599378881987578,0.6985286949784103,0.628976405099069,0.6171063313352191,3,32
lenet5_batchNorm8,3,0.6599378881987578,0.700153333253563,0.6291104352016371,0.616630742504632,3,32
lenet5_batchNorm8,7,0.6622670807453416,0.6920640532945217,0.6318400886490921,0.6182698799404424,3,32
lenet5_batchNorm8,20,0.65527950310559,0.6937880447087684,0.6262120122945857,0.6129952323769776,3,32
lenet5_batchNorm8,10,0.6607142857142857,0.6973188875108024,0.630735654273834,0.6174417962098617,3,32
lenet5_batchNorm8,34,0.6599378881987578,0.6989488999156542,0.6296636837914862,0.6167223464845366,3,32
