iteration,accuracy_before,accuracy_after,dset_size
7.0,0.26990291262135924,0.4145631067961165,0.8
4.0,0.26990291262135924,0.4145631067961165,0.8
10.0,0.26990291262135924,0.4145631067961165,0.8
6.0,0.26990291262135924,0.4145631067961165,0.8
9.0,0.26990291262135924,0.4145631067961165,0.8
2.0,0.26990291262135924,0.4145631067961165,0.8
3.0,0.26990291262135924,0.4145631067961165,0.8
8.0,0.26990291262135924,0.4145631067961165,0.8
5.0,0.26990291262135924,0.4145631067961165,0.8
1.0,0.26990291262135924,0.4145631067961165,0.8
8.0,0.6174757281553398,0.6184466019417476,0.8
4.0,0.6194174757281553,0.616504854368932,0.8
1.0,0.6145631067961165,0.6155339805825243,0.8
7.0,0.6155339805825243,0.6203883495145631,0.8
9.0,0.6106796116504855,0.6145631067961165,0.8
2.0,0.6116504854368932,0.612621359223301,0.8
3.0,0.6019417475728155,0.6067961165048543,0.8
10.0,0.6067961165048543,0.6038834951456311,0.8
6.0,0.6087378640776699,0.6213592233009708,0.8
5.0,0.6184466019417476,0.6194174757281553,0.8
1.0,0.654368932038835,0.6495145631067961,0.8
2.0,0.658252427184466,0.6407766990291263,0.8
9.0,0.7106796116504854,0.7,0.8
4.0,0.6631067961165048,0.6456310679611651,0.8
8.0,0.7019417475728156,0.6951456310679611,0.8
3.0,0.6980582524271844,0.6922330097087379,0.8
7.0,0.7067961165048544,0.6961165048543689,0.8
5.0,0.6951456310679611,0.6815533980582524,0.8
10.0,0.6737864077669903,0.6524271844660194,0.8
6.0,0.6912621359223301,0.6864077669902913,0.8
1.0,0.6038834951456311,0.625242718446602,0.8
4.0,0.5776699029126213,0.6242718446601941,0.8
7.0,0.7242718446601941,0.7184466019417476,0.8
8.0,0.7155339805825243,0.7145631067961165,0.8
2.0,0.5786407766990291,0.6194174757281553,0.8
9.0,0.7310679611650486,0.7330097087378641,0.8
10.0,0.5844660194174758,0.6194174757281553,0.8
3.0,0.7155339805825243,0.7184466019417476,0.8
5.0,0.670873786407767,0.6747572815533981,0.8
6.0,0.6951456310679611,0.6873786407766991,0.8
1.0,0.6485436893203883,0.6427184466019418,0.8
4.0,0.6611650485436893,0.641747572815534,0.8
7.0,0.7582524271844661,0.7611650485436893,0.8
2.0,0.6572815533980583,0.6514563106796116,0.8
9.0,0.7446601941747573,0.7582524271844661,0.8
8.0,0.7475728155339806,0.7524271844660194,0.8
10.0,0.6524271844660194,0.6466019417475728,0.8
3.0,0.7524271844660194,0.7728155339805826,0.8
6.0,0.7223300970873786,0.7077669902912621,0.8
5.0,0.6932038834951456,0.6796116504854369,0.8
4.0,0.6233009708737864,0.6223300970873786,0.8
2.0,0.6242718446601941,0.6271844660194175,0.8
1.0,0.6203883495145631,0.625242718446602,0.8
7.0,0.6970873786407767,0.6757281553398058,0.8
8.0,0.6786407766990291,0.6621359223300971,0.8
9.0,0.6893203883495146,0.6912621359223301,0.8
10.0,0.6174757281553398,0.6184466019417476,0.8
6.0,0.6572815533980583,0.6514563106796116,0.8
5.0,0.6339805825242718,0.6427184466019418,0.8
3.0,0.683495145631068,0.6737864077669903,0.8
2.0,0.6349514563106796,0.6262135922330098,0.8
4.0,0.6320388349514563,0.6242718446601941,0.8
1.0,0.6233009708737864,0.6262135922330098,0.8
8.0,0.6815533980582524,0.6650485436893204,0.8
7.0,0.6786407766990291,0.6611650485436893,0.8
10.0,0.6368932038834951,0.6330097087378641,0.8
9.0,0.6786407766990291,0.6757281553398058,0.8
