iteration,step_size,model_name,accuracy,batch_size
3,2,resnet18.pt,0.593167701863354,16
5,2,resnet18.pt,0.6079192546583851,16
6,2,resnet18.pt,0.5807453416149069,16
9,2,resnet18.pt,0.6040372670807453,16
10,2,resnet18.pt,0.6017080745341615,16
7,2,resnet18.pt,0.6017080745341615,16
1,2,resnet18.pt,0.6017080745341615,16
2,2,resnet18.pt,0.5900621118012422,16
8,2,resnet18.pt,0.59472049689441,16
4,2,resnet18.pt,0.5978260869565217,16
1,3,resnet18.pt,0.59472049689441,16
8,3,resnet18.pt,0.5970496894409938,16
10,3,resnet18.pt,0.6125776397515528,16
3,3,resnet18.pt,0.6055900621118012,16
7,3,resnet18.pt,0.6055900621118012,16
5,3,resnet18.pt,0.6032608695652174,16
9,3,resnet18.pt,0.6149068322981367,16
6,3,resnet18.pt,0.6079192546583851,16
2,3,resnet18.pt,0.6017080745341615,16
4,3,resnet18.pt,0.6187888198757764,16
8,4,resnet18.pt,0.5822981366459627,16
7,4,resnet18.pt,0.5799689440993789,16
10,4,resnet18.pt,0.6017080745341615,16
1,4,resnet18.pt,0.6125776397515528,16
6,4,resnet18.pt,0.6141304347826086,16
3,4,resnet18.pt,0.6242236024844721,16
9,4,resnet18.pt,0.5760869565217391,16
2,4,resnet18.pt,0.5807453416149069,16
5,4,resnet18.pt,0.5722049689440993,16
4,4,resnet18.pt,0.5908385093167702,16
10,5,resnet18.pt,0.5916149068322981,16
1,5,resnet18.pt,0.5892857142857143,16
7,5,resnet18.pt,0.6063664596273292,16
6,5,resnet18.pt,0.593944099378882,16
8,5,resnet18.pt,0.6009316770186336,16
3,5,resnet18.pt,0.6312111801242236,16
2,5,resnet18.pt,0.5807453416149069,16
5,5,resnet18.pt,0.6055900621118012,16
9,5,resnet18.pt,0.5745341614906833,16
4,5,resnet18.pt,0.5962732919254659,16
7,6,resnet18.pt,0.6234472049689441,16
10,6,resnet18.pt,0.6327639751552795,16
1,6,resnet18.pt,0.5838509316770186,16
6,6,resnet18.pt,0.6032608695652174,16
8,6,resnet18.pt,0.5854037267080745,16
2,6,resnet18.pt,0.6086956521739131,16
5,6,resnet18.pt,0.5869565217391305,16
3,6,resnet18.pt,0.6055900621118012,16
9,6,resnet18.pt,0.6001552795031055,16
4,6,resnet18.pt,0.6187888198757764,16
8,7,resnet18.pt,0.6048136645962733,16
7,7,resnet18.pt,0.6288819875776398,16
10,7,resnet18.pt,0.592391304347826,16
1,7,resnet18.pt,0.6257763975155279,16
6,7,resnet18.pt,0.640527950310559,16
5,7,resnet18.pt,0.5683229813664596,16
2,7,resnet18.pt,0.6350931677018633,16
3,7,resnet18.pt,0.5962732919254659,16
9,7,resnet18.pt,0.5768633540372671,16
4,7,resnet18.pt,0.6032608695652174,16
8,8,resnet18.pt,0.6413043478260869,16
7,8,resnet18.pt,0.5916149068322981,16
10,8,resnet18.pt,0.5986024844720497,16
1,8,resnet18.pt,0.5900621118012422,16
3,8,resnet18.pt,0.6304347826086957,16
2,8,resnet18.pt,0.5978260869565217,16
5,8,resnet18.pt,0.6110248447204969,16
6,8,resnet18.pt,0.6149068322981367,16
9,8,resnet18.pt,0.5900621118012422,16
4,8,resnet18.pt,0.6172360248447205,16
8,9,resnet18.pt,0.5877329192546584,16
7,9,resnet18.pt,0.6226708074534162,16
10,9,resnet18.pt,0.5861801242236024,16
1,9,resnet18.pt,0.6203416149068323,16
2,9,resnet18.pt,0.5659937888198758,16
3,9,resnet18.pt,0.5636645962732919,16
9,9,resnet18.pt,0.5799689440993789,16
6,9,resnet18.pt,0.6203416149068323,16
5,9,resnet18.pt,0.5970496894409938,16
4,9,resnet18.pt,0.6164596273291926,16
7,10,resnet18.pt,0.6001552795031055,16
8,10,resnet18.pt,0.6071428571428571,16
10,10,resnet18.pt,0.6343167701863354,16
1,10,resnet18.pt,0.5900621118012422,16
3,10,resnet18.pt,0.5605590062111802,16
2,10,resnet18.pt,0.6009316770186336,16
9,10,resnet18.pt,0.610248447204969,16
6,10,resnet18.pt,0.6226708074534162,16
5,10,resnet18.pt,0.5791925465838509,16
4,10,resnet18.pt,0.5559006211180124,16
8,2,resnet18.pt,0.6055900621118012,32
10,2,resnet18.pt,0.6273291925465838,32
3,2,resnet18.pt,0.6195652173913043,32
7,2,resnet18.pt,0.6032608695652174,32
1,2,resnet18.pt,0.6040372670807453,32
9,2,resnet18.pt,0.6079192546583851,32
5,2,resnet18.pt,0.6226708074534162,32
2,2,resnet18.pt,0.6180124223602484,32
6,2,resnet18.pt,0.5986024844720497,32
4,2,resnet18.pt,0.6296583850931677,32
10,3,resnet18.pt,0.6211180124223602,32
7,3,resnet18.pt,0.6242236024844721,32
1,3,resnet18.pt,0.6164596273291926,32
