iteration,accuracy_before,accuracy_after,dset_size,interval_iter_tracker
1.0,0.6796875,0.6328125,0.1,29
4.0,0.671875,0.6328125,0.1,29
6.0,0.671875,0.625,0.1,29
9.0,0.6796875,0.625,0.1,29
2.0,0.6640625,0.6328125,0.1,29
10.0,0.6640625,0.6328125,0.1,29
5.0,0.6796875,0.625,0.1,29
7.0,0.6875,0.6484375,0.1,30
3.0,0.6796875,0.6328125,0.1,30
8.0,0.703125,0.640625,0.1,30
1.0,0.6875,0.640625,0.1,30
4.0,0.6796875,0.640625,0.1,30
6.0,0.6796875,0.625,0.1,30
9.0,0.6796875,0.6328125,0.1,30
2.0,0.6796875,0.640625,0.1,30
10.0,0.6796875,0.6328125,0.1,30
5.0,0.6796875,0.6328125,0.1,30
12.0,0.2734375,0.046875,0.1,1
16.0,0.2734375,0.046875,0.1,1
8.0,0.2734375,0.046875,0.1,1
6.0,0.2734375,0.046875,0.1,1
10.0,0.2734375,0.046875,0.1,1
2.0,0.2734375,0.046875,0.1,1
18.0,0.2734375,0.046875,0.1,1
4.0,0.2734375,0.046875,0.1,1
14.0,0.2734375,0.046875,0.1,1
20.0,0.2734375,0.046875,0.1,1
4.0,0.2734375,0.3828125,0.1,2
16.0,0.2734375,0.3828125,0.1,2
18.0,0.2734375,0.3828125,0.1,2
10.0,0.2734375,0.3828125,0.1,2
2.0,0.2734375,0.3828125,0.1,2
6.0,0.2734375,0.3828125,0.1,2
14.0,0.2734375,0.3828125,0.1,2
8.0,0.2734375,0.3828125,0.1,2
12.0,0.2734375,0.3828125,0.1,2
20.0,0.2734375,0.3828125,0.1,2
4.0,0.328125,0.0625,0.1,3
2.0,0.328125,0.0625,0.1,3
10.0,0.328125,0.0625,0.1,3
18.0,0.328125,0.0625,0.1,3
14.0,0.328125,0.0625,0.1,3
16.0,0.328125,0.0625,0.1,3
6.0,0.328125,0.0625,0.1,3
8.0,0.328125,0.0625,0.1,3
12.0,0.328125,0.0625,0.1,3
20.0,0.328125,0.0625,0.1,3
14.0,0.3515625,0.4609375,0.1,4
12.0,0.359375,0.4609375,0.1,4
2.0,0.3515625,0.4609375,0.1,4
4.0,0.3515625,0.4609375,0.1,4
6.0,0.3515625,0.4609375,0.1,4
16.0,0.3515625,0.4609375,0.1,4
8.0,0.3515625,0.4609375,0.1,4
10.0,0.3515625,0.4609375,0.1,4
18.0,0.3515625,0.4609375,0.1,4
20.0,0.3515625,0.4609375,0.1,4
2.0,0.4609375,0.4296875,0.1,5
12.0,0.4609375,0.4296875,0.1,5
14.0,0.46875,0.4296875,0.1,5
6.0,0.46875,0.4296875,0.1,5
4.0,0.4609375,0.4296875,0.1,5
18.0,0.4609375,0.4296875,0.1,5
8.0,0.4609375,0.4296875,0.1,5
10.0,0.4609375,0.4296875,0.1,5
16.0,0.46875,0.4296875,0.1,5
20.0,0.46875,0.4296875,0.1,5
2.0,0.5078125,0.4765625,0.1,6
14.0,0.515625,0.4765625,0.1,6
16.0,0.515625,0.4765625,0.1,6
10.0,0.5078125,0.4765625,0.1,6
6.0,0.515625,0.4765625,0.1,6
4.0,0.5078125,0.46875,0.1,6
18.0,0.5078125,0.4765625,0.1,6
12.0,0.515625,0.4609375,0.1,6
8.0,0.5078125,0.4765625,0.1,6
20.0,0.5078125,0.4765625,0.1,6
2.0,0.5234375,0.046875,0.1,7
14.0,0.515625,0.046875,0.1,7
10.0,0.5234375,0.046875,0.1,7
16.0,0.515625,0.046875,0.1,7
4.0,0.515625,0.046875,0.1,7
18.0,0.515625,0.046875,0.1,7
12.0,0.515625,0.046875,0.1,7
6.0,0.53125,0.046875,0.1,7
8.0,0.515625,0.046875,0.1,7
20.0,0.5234375,0.046875,0.1,7
14.0,0.5234375,0.046875,0.1,8
10.0,0.53125,0.046875,0.1,8
2.0,0.5234375,0.046875,0.1,8
16.0,0.5234375,0.046875,0.1,8
18.0,0.5234375,0.046875,0.1,8
12.0,0.515625,0.046875,0.1,8
4.0,0.515625,0.046875,0.1,8
6.0,0.53125,0.046875,0.1,8
8.0,0.515625,0.046875,0.1,8
20.0,0.5234375,0.046875,0.1,8
14.0,0.546875,0.046875,0.1,9
10.0,0.5546875,0.5078125,0.1,9
2.0,0.546875,0.046875,0.1,9
18.0,0.546875,0.046875,0.1,9
12.0,0.546875,0.046875,0.1,9
6.0,0.5546875,0.046875,0.1,9
4.0,0.546875,0.046875,0.1,9
16.0,0.546875,0.046875,0.1,9
20.0,0.546875,0.046875,0.1,9
8.0,0.546875,0.046875,0.1,9
2.0,0.5703125,0.5546875,0.1,10
14.0,0.5703125,0.5546875,0.1,10
10.0,0.59375,0.5390625,0.1,10
18.0,0.5625,0.546875,0.1,10
16.0,0.5703125,0.5390625,0.1,10
6.0,0.5703125,0.5390625,0.1,10
12.0,0.5703125,0.5390625,0.1,10
8.0,0.5703125,0.5546875,0.1,10
4.0,0.5625,0.5390625,0.1,10
20.0,0.5703125,0.546875,0.1,10
14.0,0.6015625,0.5625,0.1,11
2.0,0.6015625,0.5625,0.1,11
18.0,0.609375,0.5625,0.1,11
10.0,0.625,0.046875,0.1,11
16.0,0.6015625,0.5625,0.1,11
8.0,0.6015625,0.546875,0.1,11
6.0,0.609375,0.5546875,0.1,11
12.0,0.6015625,0.5703125,0.1,11
4.0,0.609375,0.546875,0.1,11
20.0,0.6015625,0.5625,0.1,11
18.0,0.6328125,0.046875,0.1,12
14.0,0.625,0.578125,0.1,12
10.0,0.625,0.6171875,0.1,12
2.0,0.640625,0.046875,0.1,12
6.0,0.6328125,0.046875,0.1,12
12.0,0.6328125,0.578125,0.1,12
8.0,0.625,0.5703125,0.1,12
16.0,0.625,0.046875,0.1,12
4.0,0.625,0.5859375,0.1,12
20.0,0.640625,0.046875,0.1,12
18.0,0.6484375,0.6015625,0.1,13
14.0,0.6484375,0.6015625,0.1,13
10.0,0.640625,0.6015625,0.1,13
2.0,0.65625,0.59375,0.1,13
8.0,0.65625,0.578125,0.1,13
6.0,0.6484375,0.5859375,0.1,13
16.0,0.65625,0.5859375,0.1,13
12.0,0.671875,0.6171875,0.1,13
4.0,0.65625,0.5859375,0.1,13
20.0,0.6484375,0.609375,0.1,13
18.0,0.6796875,0.625,0.1,14
14.0,0.6796875,0.609375,0.1,14
10.0,0.671875,0.6015625,0.1,14
2.0,0.6796875,0.6171875,0.1,14
8.0,0.6796875,0.609375,0.1,14
16.0,0.6796875,0.625,0.1,14
6.0,0.6796875,0.625,0.1,14
12.0,0.6796875,0.6171875,0.1,14
4.0,0.671875,0.6171875,0.1,14
20.0,0.6796875,0.6171875,0.1,14
10.0,0.6640625,0.625,0.1,15
18.0,0.6796875,0.6171875,0.1,15
14.0,0.65625,0.6171875,0.1,15
2.0,0.671875,0.625,0.1,15
8.0,0.6640625,0.609375,0.1,15
16.0,0.671875,0.625,0.1,15
6.0,0.6640625,0.625,0.1,15
12.0,0.6640625,0.6015625,0.1,15
4.0,0.65625,0.6171875,0.1,15
20.0,0.671875,0.6171875,0.1,15
18.0,0.6640625,0.625,0.1,16
10.0,0.6640625,0.6171875,0.1,16
14.0,0.6640625,0.609375,0.1,16
2.0,0.6796875,0.6171875,0.1,16
8.0,0.671875,0.6171875,0.1,16
12.0,0.6640625,0.609375,0.1,16
6.0,0.671875,0.6171875,0.1,16
16.0,0.671875,0.625,0.1,16
4.0,0.6640625,0.6328125,0.1,16
20.0,0.6796875,0.59375,0.1,16
18.0,0.6796875,0.640625,0.1,17
