iteration,accuracy_before,accuracy_after,dset_size,interval_iter_tracker
6.0,0.671875,0.609375,0.1,16
8.0,0.65625,0.6171875,0.1,16
7.0,0.671875,0.6015625,0.1,16
2.0,0.671875,0.625,0.1,16
4.0,0.671875,0.6015625,0.1,16
10.0,0.640625,0.5703125,0.1,16
1.0,0.6640625,0.5859375,0.1,16
9.0,0.671875,0.6171875,0.1,16
5.0,0.6796875,0.609375,0.1,16
6.0,0.6796875,0.6328125,0.1,17
3.0,0.671875,0.6328125,0.1,17
8.0,0.671875,0.6328125,0.1,17
7.0,0.671875,0.625,0.1,17
2.0,0.671875,0.6171875,0.1,17
4.0,0.6796875,0.640625,0.1,17
10.0,0.65625,0.5625,0.1,17
9.0,0.6796875,0.625,0.1,17
1.0,0.671875,0.609375,0.1,17
5.0,0.671875,0.6328125,0.1,17
6.0,0.65625,0.625,0.1,18
3.0,0.65625,0.6328125,0.1,18
8.0,0.65625,0.6484375,0.1,18
7.0,0.65625,0.6640625,0.1,18
2.0,0.65625,0.6328125,0.1,18
4.0,0.6484375,0.6171875,0.1,18
10.0,0.65625,0.6171875,0.1,18
9.0,0.65625,0.6171875,0.1,18
1.0,0.65625,0.609375,0.1,18
5.0,0.65625,0.6328125,0.1,18
3.0,0.6328125,0.640625,0.1,19
6.0,0.640625,0.625,0.1,19
8.0,0.6328125,0.6484375,0.1,19
7.0,0.6484375,0.640625,0.1,19
4.0,0.640625,0.6171875,0.1,19
2.0,0.640625,0.6484375,0.1,19
10.0,0.640625,0.609375,0.1,19
1.0,0.640625,0.625,0.1,19
9.0,0.640625,0.6328125,0.1,19
5.0,0.640625,0.609375,0.1,19
3.0,0.640625,0.625,0.1,20
6.0,0.640625,0.640625,0.1,20
8.0,0.6484375,0.65625,0.1,20
7.0,0.640625,0.6328125,0.1,20
4.0,0.640625,0.6484375,0.1,20
2.0,0.640625,0.65625,0.1,20
1.0,0.640625,0.6484375,0.1,20
10.0,0.6328125,0.609375,0.1,20
9.0,0.640625,0.6484375,0.1,20
5.0,0.640625,0.6328125,0.1,20
3.0,0.640625,0.625,0.1,21
7.0,0.65625,0.6328125,0.1,21
6.0,0.65625,0.6171875,0.1,21
8.0,0.65625,0.65625,0.1,21
2.0,0.65625,0.6328125,0.1,21
4.0,0.65625,0.640625,0.1,21
1.0,0.65625,0.6640625,0.1,21
5.0,0.6484375,0.6328125,0.1,21
9.0,0.6484375,0.625,0.1,21
10.0,0.640625,0.6484375,0.1,21
3.0,0.65625,0.625,0.1,22
7.0,0.65625,0.6171875,0.1,22
6.0,0.65625,0.6328125,0.1,22
8.0,0.6640625,0.640625,0.1,22
4.0,0.65625,0.640625,0.1,22
2.0,0.65625,0.609375,0.1,22
1.0,0.6640625,0.625,0.1,22
9.0,0.65625,0.640625,0.1,22
5.0,0.65625,0.625,0.1,22
10.0,0.65625,0.640625,0.1,22
3.0,0.65625,0.6171875,0.1,23
8.0,0.65625,0.6328125,0.1,23
7.0,0.65625,0.6484375,0.1,23
6.0,0.65625,0.6171875,0.1,23
4.0,0.65625,0.6171875,0.1,23
2.0,0.65625,0.6328125,0.1,23
1.0,0.65625,0.59375,0.1,23
10.0,0.65625,0.640625,0.1,23
9.0,0.65625,0.6171875,0.1,23
5.0,0.65625,0.609375,0.1,23
3.0,0.65625,0.6484375,0.1,24
8.0,0.65625,0.6484375,0.1,24
7.0,0.65625,0.6484375,0.1,24
6.0,0.65625,0.6171875,0.1,24
4.0,0.65625,0.6328125,0.1,24
2.0,0.65625,0.6328125,0.1,24
1.0,0.65625,0.640625,0.1,24
10.0,0.65625,0.625,0.1,24
9.0,0.65625,0.6328125,0.1,24
5.0,0.6640625,0.6171875,0.1,24
3.0,0.640625,0.6640625,0.1,25
7.0,0.6640625,0.625,0.1,25
8.0,0.65625,0.640625,0.1,25
6.0,0.6484375,0.6328125,0.1,25
4.0,0.6640625,0.6328125,0.1,25
2.0,0.6640625,0.65625,0.1,25
1.0,0.6484375,0.6171875,0.1,25
9.0,0.6640625,0.6328125,0.1,25
10.0,0.6640625,0.625,0.1,25
5.0,0.6640625,0.6484375,0.1,25
3.0,0.671875,0.6640625,0.1,26
8.0,0.671875,0.6328125,0.1,26
7.0,0.671875,0.6328125,0.1,26
4.0,0.671875,0.65625,0.1,26
1.0,0.671875,0.625,0.1,26
6.0,0.6640625,0.6484375,0.1,26
2.0,0.671875,0.6484375,0.1,26
9.0,0.671875,0.65625,0.1,26
10.0,0.671875,0.625,0.1,26
5.0,0.671875,0.6484375,0.1,26
3.0,0.671875,0.625,0.1,27
8.0,0.6796875,0.6484375,0.1,27
7.0,0.6796875,0.6171875,0.1,27
1.0,0.6875,0.625,0.1,27
4.0,0.6796875,0.625,0.1,27
6.0,0.671875,0.625,0.1,27
2.0,0.671875,0.640625,0.1,27
9.0,0.671875,0.625,0.1,27
10.0,0.671875,0.625,0.1,27
5.0,0.6640625,0.625,0.1,27
8.0,0.6875,0.65625,0.1,28
3.0,0.6484375,0.6328125,0.1,28
7.0,0.6796875,0.625,0.1,28
6.0,0.65625,0.625,0.1,28
4.0,0.6796875,0.6328125,0.1,28
1.0,0.6796875,0.6328125,0.1,28
2.0,0.6796875,0.640625,0.1,28
9.0,0.6640625,0.625,0.1,28
10.0,0.671875,0.640625,0.1,28
5.0,0.671875,0.6328125,0.1,28
8.0,0.703125,0.6328125,0.1,29
3.0,0.671875,0.625,0.1,29
7.0,0.671875,0.625,0.1,29
