model_name,iteration,accuracy
ensemble_model_11,58,0.10947204968944099
ensemble_model_11,44,0.10947204968944099
ensemble_model_11,56,0.10947204968944099
ensemble_model_11,46,0.10947204968944099
ensemble_model_11,51,0.10947204968944099
ensemble_model_11,53,0.10947204968944099
ensemble_model_11,43,0.10947204968944099
ensemble_model_11,57,0.10947204968944099
ensemble_model_11,55,0.10947204968944099
ensemble_model_11,54,0.10947204968944099
ensemble_model_11,50,0.10947204968944099
ensemble_model_11,45,0.10947204968944099
ensemble_model_11,47,0.10947204968944099
ensemble_model_11,52,0.10947204968944099
ensemble_model_11,59,0.10947204968944099
ensemble_model_11,49,0.10947204968944099
ensemble_model_11,48,0.10947204968944099
ensemble_model_11,42,0.10947204968944099
ensemble_model_11,41,0.10947204968944099
ensemble_model_11,60,0.10947204968944099
ensemble_model_12,58,0.37577639751552794
ensemble_model_12,44,0.37577639751552794
ensemble_model_12,46,0.37577639751552794
ensemble_model_12,51,0.37577639751552794
ensemble_model_12,56,0.37577639751552794
ensemble_model_12,53,0.37577639751552794
ensemble_model_12,43,0.37577639751552794
ensemble_model_12,55,0.37577639751552794
ensemble_model_12,57,0.37577639751552794
ensemble_model_12,50,0.37577639751552794
ensemble_model_12,54,0.37577639751552794
ensemble_model_12,52,0.37577639751552794
ensemble_model_12,45,0.37577639751552794
ensemble_model_12,59,0.37577639751552794
ensemble_model_12,47,0.37577639751552794
ensemble_model_12,49,0.37577639751552794
ensemble_model_12,48,0.37577639751552794
ensemble_model_12,42,0.37577639751552794
ensemble_model_12,41,0.37577639751552794
ensemble_model_12,60,0.37577639751552794
ensemble_model_13,58,0.12732919254658384
ensemble_model_13,46,0.12732919254658384
ensemble_model_13,44,0.12732919254658384
ensemble_model_13,56,0.12732919254658384
ensemble_model_13,53,0.12732919254658384
ensemble_model_13,51,0.12732919254658384
ensemble_model_13,55,0.12732919254658384
ensemble_model_13,43,0.12732919254658384
ensemble_model_13,57,0.12732919254658384
ensemble_model_13,50,0.12732919254658384
ensemble_model_13,54,0.12732919254658384
ensemble_model_13,47,0.12732919254658384
ensemble_model_13,45,0.12732919254658384
ensemble_model_13,52,0.12732919254658384
ensemble_model_13,59,0.12732919254658384
ensemble_model_13,48,0.12732919254658384
ensemble_model_13,49,0.12732919254658384
ensemble_model_13,42,0.12732919254658384
ensemble_model_13,41,0.12732919254658384
ensemble_model_13,60,0.12732919254658384
ensemble_model_14,58,0.13664596273291926
ensemble_model_14,46,0.13664596273291926
ensemble_model_14,44,0.13664596273291926
ensemble_model_14,56,0.13664596273291926
ensemble_model_14,51,0.13664596273291926
ensemble_model_14,53,0.13664596273291926
ensemble_model_14,55,0.13664596273291926
ensemble_model_14,43,0.13664596273291926
ensemble_model_14,57,0.13664596273291926
ensemble_model_14,50,0.13664596273291926
ensemble_model_14,54,0.13664596273291926
ensemble_model_14,59,0.13664596273291926
ensemble_model_14,52,0.13664596273291926
ensemble_model_14,45,0.13664596273291926
ensemble_model_14,47,0.13664596273291926
ensemble_model_14,49,0.13664596273291926
ensemble_model_14,48,0.13664596273291926
ensemble_model_14,42,0.13664596273291926
ensemble_model_14,41,0.13664596273291926
ensemble_model_14,60,0.13664596273291926
ensemble_model_0,70,0.1172360248447205
ensemble_model_0,67,0.1172360248447205
ensemble_model_0,73,0.1172360248447205
ensemble_model_0,65,0.1172360248447205
ensemble_model_0,75,0.1172360248447205
ensemble_model_0,76,0.1172360248447205
ensemble_model_0,62,0.1172360248447205
ensemble_model_0,79,0.1172360248447205
ensemble_model_0,74,0.1172360248447205
ensemble_model_0,63,0.1172360248447205
ensemble_model_0,64,0.1172360248447205
ensemble_model_0,71,0.1172360248447205
ensemble_model_0,61,0.1172360248447205
ensemble_model_0,77,0.1172360248447205
ensemble_model_0,78,0.1172360248447205
ensemble_model_0,69,0.1172360248447205
ensemble_model_0,72,0.1172360248447205
ensemble_model_0,66,0.1172360248447205
ensemble_model_0,68,0.1172360248447205
ensemble_model_0,80,0.1172360248447205
ensemble_model_1,73,0.2670807453416149
ensemble_model_1,70,0.2670807453416149
ensemble_model_1,67,0.2670807453416149
ensemble_model_1,62,0.2670807453416149
ensemble_model_1,76,0.2670807453416149
ensemble_model_1,65,0.2670807453416149
ensemble_model_1,75,0.2670807453416149
ensemble_model_1,79,0.2670807453416149
ensemble_model_1,74,0.2670807453416149
ensemble_model_1,64,0.2670807453416149
ensemble_model_1,63,0.2670807453416149
ensemble_model_1,77,0.2670807453416149
ensemble_model_1,71,0.2670807453416149
ensemble_model_1,78,0.2670807453416149
ensemble_model_1,80,0.2670807453416149
ensemble_model_1,72,0.2670807453416149
ensemble_model_1,61,0.2670807453416149
ensemble_model_1,66,0.2670807453416149
ensemble_model_1,69,0.2670807453416149
ensemble_model_1,68,0.2670807453416149
ensemble_model_2,73,0.17624223602484473
ensemble_model_2,70,0.17624223602484473
ensemble_model_2,79,0.17624223602484473
ensemble_model_2,67,0.17624223602484473
ensemble_model_2,62,0.17624223602484473
ensemble_model_2,76,0.17624223602484473
ensemble_model_2,64,0.17624223602484473
ensemble_model_2,75,0.17624223602484473
ensemble_model_2,65,0.17624223602484473
ensemble_model_2,74,0.17624223602484473
ensemble_model_2,77,0.17624223602484473
ensemble_model_2,63,0.17624223602484473
ensemble_model_2,61,0.17624223602484473
ensemble_model_2,71,0.17624223602484473
ensemble_model_2,72,0.17624223602484473
ensemble_model_2,80,0.17624223602484473
ensemble_model_2,68,0.17624223602484473
ensemble_model_2,78,0.17624223602484473
ensemble_model_2,66,0.17624223602484473
ensemble_model_2,69,0.17624223602484473
ensemble_model_3,73,0.12111801242236025
ensemble_model_3,70,0.12111801242236025
ensemble_model_3,76,0.12111801242236025
ensemble_model_3,79,0.12111801242236025
ensemble_model_3,67,0.12111801242236025
ensemble_model_3,62,0.12111801242236025
ensemble_model_3,64,0.12111801242236025
ensemble_model_3,74,0.12111801242236025
ensemble_model_3,75,0.12111801242236025
ensemble_model_3,77,0.12111801242236025
ensemble_model_3,63,0.12111801242236025
ensemble_model_3,65,0.12111801242236025
ensemble_model_3,61,0.12111801242236025
ensemble_model_3,71,0.12111801242236025
ensemble_model_3,72,0.12111801242236025
ensemble_model_3,68,0.12111801242236025
ensemble_model_3,66,0.12111801242236025
ensemble_model_3,69,0.12111801242236025
ensemble_model_3,80,0.12111801242236025
ensemble_model_3,78,0.12111801242236025
ensemble_model_4,73,0.687888198757764
ensemble_model_4,70,0.687888198757764
ensemble_model_4,79,0.687888198757764
ensemble_model_4,76,0.687888198757764
ensemble_model_4,64,0.687888198757764
ensemble_model_4,62,0.687888198757764
ensemble_model_4,67,0.687888198757764
ensemble_model_4,74,0.687888198757764
ensemble_model_4,63,0.687888198757764
ensemble_model_4,77,0.687888198757764
ensemble_model_4,65,0.687888198757764
ensemble_model_4,75,0.687888198757764
ensemble_model_4,61,0.687888198757764
ensemble_model_4,71,0.687888198757764
ensemble_model_4,66,0.687888198757764
ensemble_model_4,78,0.687888198757764
ensemble_model_4,72,0.687888198757764
ensemble_model_4,69,0.687888198757764
ensemble_model_4,80,0.687888198757764
ensemble_model_4,68,0.687888198757764
ensemble_model_5,73,0.4107142857142857
ensemble_model_5,70,0.4107142857142857
ensemble_model_5,79,0.4107142857142857
ensemble_model_5,64,0.4107142857142857
ensemble_model_5,76,0.4107142857142857
ensemble_model_5,62,0.4107142857142857
ensemble_model_5,77,0.4107142857142857
ensemble_model_5,67,0.4107142857142857
ensemble_model_5,74,0.4107142857142857
ensemble_model_5,63,0.4107142857142857
ensemble_model_5,71,0.4107142857142857
ensemble_model_5,61,0.4107142857142857
ensemble_model_5,75,0.4107142857142857
ensemble_model_5,65,0.4107142857142857
ensemble_model_5,78,0.4107142857142857
ensemble_model_5,66,0.4107142857142857
ensemble_model_5,69,0.4107142857142857
ensemble_model_5,80,0.4107142857142857
ensemble_model_5,72,0.4107142857142857
ensemble_model_5,68,0.4107142857142857
ensemble_model_6,73,0.12888198757763975
ensemble_model_6,70,0.12888198757763975
ensemble_model_6,79,0.12888198757763975
ensemble_model_6,76,0.12888198757763975
ensemble_model_6,64,0.12888198757763975
ensemble_model_6,62,0.12888198757763975
ensemble_model_6,77,0.12888198757763975
ensemble_model_6,67,0.12888198757763975
ensemble_model_6,65,0.12888198757763975
ensemble_model_6,74,0.12888198757763975
ensemble_model_6,63,0.12888198757763975
ensemble_model_6,71,0.12888198757763975
ensemble_model_6,61,0.12888198757763975
ensemble_model_6,75,0.12888198757763975
ensemble_model_6,78,0.12888198757763975
ensemble_model_6,66,0.12888198757763975
ensemble_model_6,69,0.12888198757763975
ensemble_model_6,80,0.12888198757763975
ensemble_model_6,72,0.12888198757763975
ensemble_model_6,68,0.12888198757763975
ensemble_model_7,73,0.08540372670807453
ensemble_model_7,70,0.08540372670807453
ensemble_model_7,79,0.08540372670807453
ensemble_model_7,76,0.08540372670807453
ensemble_model_7,64,0.08540372670807453
ensemble_model_7,62,0.08540372670807453
ensemble_model_7,77,0.08540372670807453
ensemble_model_7,67,0.08540372670807453
ensemble_model_7,74,0.08540372670807453
ensemble_model_7,71,0.08540372670807453
ensemble_model_7,63,0.08540372670807453
ensemble_model_7,65,0.08540372670807453
ensemble_model_7,61,0.08540372670807453
ensemble_model_7,75,0.08540372670807453
ensemble_model_7,66,0.08540372670807453
ensemble_model_7,78,0.08540372670807453
ensemble_model_7,72,0.08540372670807453
ensemble_model_7,69,0.08540372670807453
ensemble_model_7,80,0.08540372670807453
ensemble_model_7,68,0.08540372670807453
ensemble_model_8,73,0.4720496894409938
ensemble_model_8,70,0.4720496894409938
ensemble_model_8,79,0.4720496894409938
ensemble_model_8,76,0.4720496894409938
ensemble_model_8,64,0.4720496894409938
ensemble_model_8,77,0.4720496894409938
ensemble_model_8,67,0.4720496894409938
ensemble_model_8,62,0.4720496894409938
ensemble_model_8,74,0.4720496894409938
ensemble_model_8,71,0.4720496894409938
ensemble_model_8,63,0.4720496894409938
ensemble_model_8,65,0.4720496894409938
ensemble_model_8,75,0.4720496894409938
ensemble_model_8,61,0.4720496894409938
ensemble_model_8,66,0.4720496894409938
ensemble_model_8,78,0.4720496894409938
ensemble_model_8,69,0.4720496894409938
ensemble_model_8,72,0.4720496894409938
ensemble_model_8,80,0.4720496894409938
ensemble_model_8,68,0.4720496894409938
ensemble_model_9,73,0.1234472049689441
ensemble_model_9,70,0.1234472049689441
ensemble_model_9,79,0.1234472049689441
ensemble_model_9,76,0.1234472049689441
ensemble_model_9,64,0.1234472049689441
ensemble_model_9,77,0.1234472049689441
ensemble_model_9,67,0.1234472049689441
ensemble_model_9,63,0.1234472049689441
ensemble_model_9,71,0.1234472049689441
ensemble_model_9,62,0.1234472049689441
ensemble_model_9,74,0.1234472049689441
ensemble_model_9,65,0.1234472049689441
ensemble_model_9,61,0.1234472049689441
ensemble_model_9,75,0.1234472049689441
ensemble_model_9,66,0.1234472049689441
ensemble_model_9,78,0.1234472049689441
ensemble_model_9,72,0.1234472049689441
ensemble_model_9,69,0.1234472049689441
ensemble_model_9,80,0.1234472049689441
ensemble_model_9,68,0.1234472049689441
ensemble_model_10,73,0.13975155279503104
ensemble_model_10,79,0.13975155279503104
ensemble_model_10,70,0.13975155279503104
ensemble_model_10,76,0.13975155279503104
ensemble_model_10,64,0.13975155279503104
ensemble_model_10,77,0.13975155279503104
ensemble_model_10,63,0.13975155279503104
ensemble_model_10,71,0.13975155279503104
ensemble_model_10,67,0.13975155279503104
ensemble_model_10,62,0.13975155279503104
ensemble_model_10,74,0.13975155279503104
ensemble_model_10,65,0.13975155279503104
ensemble_model_10,61,0.13975155279503104
ensemble_model_10,69,0.13975155279503104
ensemble_model_10,66,0.13975155279503104
ensemble_model_10,72,0.13975155279503104
ensemble_model_10,75,0.13975155279503104
ensemble_model_10,78,0.13975155279503104
ensemble_model_10,80,0.13975155279503104
ensemble_model_10,68,0.13975155279503104
ensemble_model_11,73,0.10947204968944099
ensemble_model_11,79,0.10947204968944099
ensemble_model_11,76,0.10947204968944099
ensemble_model_11,70,0.10947204968944099
ensemble_model_11,64,0.10947204968944099
ensemble_model_11,63,0.10947204968944099
ensemble_model_11,77,0.10947204968944099
ensemble_model_11,74,0.10947204968944099
ensemble_model_11,71,0.10947204968944099
ensemble_model_11,67,0.10947204968944099
ensemble_model_11,62,0.10947204968944099
ensemble_model_11,65,0.10947204968944099
ensemble_model_11,61,0.10947204968944099
ensemble_model_11,72,0.10947204968944099
ensemble_model_11,69,0.10947204968944099
ensemble_model_11,66,0.10947204968944099
ensemble_model_11,75,0.10947204968944099
ensemble_model_11,78,0.10947204968944099
ensemble_model_11,80,0.10947204968944099
ensemble_model_11,68,0.10947204968944099
ensemble_model_12,73,0.37577639751552794
ensemble_model_12,79,0.37577639751552794
ensemble_model_12,76,0.37577639751552794
ensemble_model_12,70,0.37577639751552794
ensemble_model_12,63,0.37577639751552794
ensemble_model_12,77,0.37577639751552794
ensemble_model_12,64,0.37577639751552794
ensemble_model_12,62,0.37577639751552794
ensemble_model_12,71,0.37577639751552794
ensemble_model_12,74,0.37577639751552794
ensemble_model_12,67,0.37577639751552794
ensemble_model_12,65,0.37577639751552794
ensemble_model_12,61,0.37577639751552794
ensemble_model_12,75,0.37577639751552794
ensemble_model_12,72,0.37577639751552794
ensemble_model_12,69,0.37577639751552794
ensemble_model_12,66,0.37577639751552794
ensemble_model_12,78,0.37577639751552794
ensemble_model_12,80,0.37577639751552794
ensemble_model_12,68,0.37577639751552794
ensemble_model_13,79,0.12732919254658384
ensemble_model_13,73,0.12732919254658384
ensemble_model_13,76,0.12732919254658384
ensemble_model_13,63,0.12732919254658384
ensemble_model_13,70,0.12732919254658384
ensemble_model_13,64,0.12732919254658384
ensemble_model_13,77,0.12732919254658384
ensemble_model_13,74,0.12732919254658384
ensemble_model_13,62,0.12732919254658384
ensemble_model_13,71,0.12732919254658384
ensemble_model_13,67,0.12732919254658384
ensemble_model_13,65,0.12732919254658384
ensemble_model_13,61,0.12732919254658384
ensemble_model_13,75,0.12732919254658384
ensemble_model_13,66,0.12732919254658384
ensemble_model_13,72,0.12732919254658384
ensemble_model_13,69,0.12732919254658384
ensemble_model_13,78,0.12732919254658384
ensemble_model_13,80,0.12732919254658384
ensemble_model_13,68,0.12732919254658384
ensemble_model_14,79,0.13664596273291926
ensemble_model_14,76,0.13664596273291926
ensemble_model_14,73,0.13664596273291926
ensemble_model_14,63,0.13664596273291926
ensemble_model_14,64,0.13664596273291926
ensemble_model_14,74,0.13664596273291926
ensemble_model_14,70,0.13664596273291926
ensemble_model_14,77,0.13664596273291926
ensemble_model_14,62,0.13664596273291926
ensemble_model_14,67,0.13664596273291926
ensemble_model_14,71,0.13664596273291926
ensemble_model_14,65,0.13664596273291926
ensemble_model_14,61,0.13664596273291926
ensemble_model_14,75,0.13664596273291926
ensemble_model_14,69,0.13664596273291926
ensemble_model_14,66,0.13664596273291926
ensemble_model_14,72,0.13664596273291926
ensemble_model_14,78,0.13664596273291926
ensemble_model_14,80,0.13664596273291926
ensemble_model_14,68,0.13664596273291926
ensemble_model_0,93,0.1172360248447205
ensemble_model_0,81,0.1172360248447205
ensemble_model_0,95,0.1172360248447205
ensemble_model_0,100,0.1172360248447205
ensemble_model_0,85,0.1172360248447205
ensemble_model_0,99,0.1172360248447205
ensemble_model_0,84,0.1172360248447205
ensemble_model_0,94,0.1172360248447205
ensemble_model_0,86,0.1172360248447205
ensemble_model_0,91,0.1172360248447205
ensemble_model_0,97,0.1172360248447205
ensemble_model_0,90,0.1172360248447205
ensemble_model_0,96,0.1172360248447205
ensemble_model_0,82,0.1172360248447205
ensemble_model_0,92,0.1172360248447205
ensemble_model_0,98,0.1172360248447205
ensemble_model_0,89,0.1172360248447205
ensemble_model_0,88,0.1172360248447205
ensemble_model_0,83,0.1172360248447205
ensemble_model_0,87,0.1172360248447205
ensemble_model_1,95,0.2670807453416149
ensemble_model_1,93,0.2670807453416149
ensemble_model_1,100,0.2670807453416149
ensemble_model_1,81,0.2670807453416149
ensemble_model_1,84,0.2670807453416149
ensemble_model_1,91,0.2670807453416149
ensemble_model_1,97,0.2670807453416149
ensemble_model_1,99,0.2670807453416149
ensemble_model_1,94,0.2670807453416149
ensemble_model_1,86,0.2670807453416149
ensemble_model_1,92,0.2670807453416149
ensemble_model_1,96,0.2670807453416149
ensemble_model_1,82,0.2670807453416149
ensemble_model_1,90,0.2670807453416149
ensemble_model_1,85,0.2670807453416149
ensemble_model_1,98,0.2670807453416149
ensemble_model_1,89,0.2670807453416149
