model_name,iteration,accuracy
ensemble_model_13,14,0.9988
ensemble_model_14,10,0.9984
ensemble_model_13,6,0.9988
ensemble_model_14,3,0.9984
ensemble_model_14,1,0.9984
ensemble_model_14,7,0.9984
ensemble_model_14,5,0.9984
ensemble_model_14,2,0.9984
ensemble_model_13,16,0.9988
ensemble_model_14,19,0.9984
ensemble_model_14,8,0.9984
ensemble_model_14,20,0.9984
ensemble_model_14,4,0.9984
ensemble_model_13,9,0.9988
ensemble_model_14,17,0.9984
ensemble_model_14,12,0.9984
ensemble_model_14,14,0.9984
ensemble_model_14,6,0.9984
ensemble_model_14,16,0.9984
ensemble_model_14,9,0.9984
ensemble_model_0,36,0.9983
ensemble_model_0,25,0.9983
ensemble_model_0,22,0.9983
ensemble_model_0,29,0.9983
ensemble_model_0,21,0.9983
ensemble_model_0,26,0.9983
ensemble_model_0,32,0.9983
ensemble_model_0,27,0.9983
ensemble_model_0,37,0.9983
ensemble_model_0,33,0.9983
ensemble_model_0,28,0.9983
ensemble_model_0,38,0.9983
ensemble_model_0,34,0.9983
ensemble_model_0,39,0.9983
ensemble_model_0,40,0.9983
ensemble_model_0,31,0.9983
ensemble_model_1,36,0.998
ensemble_model_0,30,0.9983
ensemble_model_0,23,0.9983
ensemble_model_0,24,0.9983
ensemble_model_0,35,0.9983
ensemble_model_1,22,0.998
ensemble_model_1,29,0.998
ensemble_model_1,25,0.998
ensemble_model_1,26,0.998
ensemble_model_1,32,0.998
ensemble_model_1,28,0.998
ensemble_model_1,21,0.998
ensemble_model_1,27,0.998
ensemble_model_1,33,0.998
