model_name,iteration,accuracy
ensemble_model_9,70,0.9983
ensemble_model_10,61,0.9979
ensemble_model_10,79,0.9979
ensemble_model_10,80,0.9979
ensemble_model_9,63,0.9983
ensemble_model_11,68,0.9982
ensemble_model_10,64,0.9979
ensemble_model_9,67,0.9983
ensemble_model_10,69,0.9979
ensemble_model_11,62,0.9982
ensemble_model_10,65,0.9979
ensemble_model_10,77,0.9979
ensemble_model_10,74,0.9979
ensemble_model_10,75,0.9979
ensemble_model_11,72,0.9982
ensemble_model_10,76,0.9979
ensemble_model_11,66,0.9982
ensemble_model_10,78,0.9979
ensemble_model_11,73,0.9982
ensemble_model_11,71,0.9982
ensemble_model_11,61,0.9982
ensemble_model_11,80,0.9982
ensemble_model_12,68,0.9981
ensemble_model_10,70,0.9979
ensemble_model_11,79,0.9982
ensemble_model_11,69,0.9982
ensemble_model_10,63,0.9979
ensemble_model_11,77,0.9982
ensemble_model_11,64,0.9982
ensemble_model_12,62,0.9981
ensemble_model_10,67,0.9979
ensemble_model_11,65,0.9982
ensemble_model_11,75,0.9982
ensemble_model_12,66,0.9981
ensemble_model_11,74,0.9982
ensemble_model_11,76,0.9982
ensemble_model_12,72,0.9981
ensemble_model_12,73,0.9981
ensemble_model_12,61,0.9981
ensemble_model_11,78,0.9982
ensemble_model_13,68,0.9988
ensemble_model_12,80,0.9981
ensemble_model_12,71,0.9981
ensemble_model_11,70,0.9982
ensemble_model_12,77,0.9981
ensemble_model_12,79,0.9981
ensemble_model_12,69,0.9981
ensemble_model_12,64,0.9981
ensemble_model_12,65,0.9981
ensemble_model_11,63,0.9982
ensemble_model_12,75,0.9981
ensemble_model_13,66,0.9988
ensemble_model_11,67,0.9982
ensemble_model_13,62,0.9988
ensemble_model_13,73,0.9988
ensemble_model_12,74,0.9981
ensemble_model_13,72,0.9988
ensemble_model_12,76,0.9981
ensemble_model_13,80,0.9988
ensemble_model_13,61,0.9988
ensemble_model_12,78,0.9981
ensemble_model_13,71,0.9988
ensemble_model_14,68,0.9984
ensemble_model_13,64,0.9988
ensemble_model_13,65,0.9988
ensemble_model_13,79,0.9988
ensemble_model_12,70,0.9981
ensemble_model_13,77,0.9988
ensemble_model_13,69,0.9988
ensemble_model_14,66,0.9984
ensemble_model_12,63,0.9981
ensemble_model_12,67,0.9981
ensemble_model_13,75,0.9988
ensemble_model_14,62,0.9984
ensemble_model_14,73,0.9984
ensemble_model_14,72,0.9984
ensemble_model_13,78,0.9988
ensemble_model_13,76,0.9988
ensemble_model_14,80,0.9984
ensemble_model_13,74,0.9988
ensemble_model_14,61,0.9984
ensemble_model_14,71,0.9984
ensemble_model_14,64,0.9984
ensemble_model_14,79,0.9984
ensemble_model_14,65,0.9984
ensemble_model_14,77,0.9984
ensemble_model_13,70,0.9988
ensemble_model_14,69,0.9984
ensemble_model_13,67,0.9988
ensemble_model_13,63,0.9988
ensemble_model_14,75,0.9984
ensemble_model_14,76,0.9984
ensemble_model_14,78,0.9984
ensemble_model_14,74,0.9984
ensemble_model_14,63,0.9984
ensemble_model_14,70,0.9984
ensemble_model_14,67,0.9984
ensemble_model_0,96,0.9983
ensemble_model_0,84,0.9983
ensemble_model_0,95,0.9983
ensemble_model_0,92,0.9983
ensemble_model_0,86,0.9983
ensemble_model_0,97,0.9983
ensemble_model_0,87,0.9983
ensemble_model_0,90,0.9983
ensemble_model_0,98,0.9983
ensemble_model_0,100,0.9983
ensemble_model_0,83,0.9983
ensemble_model_0,82,0.9983
ensemble_model_0,94,0.9983
ensemble_model_0,85,0.9983
ensemble_model_0,81,0.9983
ensemble_model_0,88,0.9983
ensemble_model_0,89,0.9983
ensemble_model_0,99,0.9983
ensemble_model_0,93,0.9983
ensemble_model_0,91,0.9983
ensemble_model_1,96,0.998
ensemble_model_1,95,0.998
ensemble_model_1,92,0.998
ensemble_model_1,97,0.998
ensemble_model_1,90,0.998
ensemble_model_1,84,0.998
ensemble_model_1,86,0.998
ensemble_model_1,87,0.998
ensemble_model_1,100,0.998
ensemble_model_1,98,0.998
ensemble_model_1,83,0.998
ensemble_model_1,99,0.998
ensemble_model_1,81,0.998
ensemble_model_1,82,0.998
ensemble_model_1,94,0.998
ensemble_model_1,91,0.998
ensemble_model_1,88,0.998
ensemble_model_1,93,0.998
ensemble_model_1,85,0.998
ensemble_model_1,89,0.998
ensemble_model_2,95,0.9984
ensemble_model_2,96,0.9984
ensemble_model_2,92,0.9984
ensemble_model_2,97,0.9984
ensemble_model_2,90,0.9984
ensemble_model_2,84,0.9984
ensemble_model_2,83,0.9984
ensemble_model_2,98,0.9984
ensemble_model_2,86,0.9984
ensemble_model_2,87,0.9984
ensemble_model_2,100,0.9984
ensemble_model_2,93,0.9984
ensemble_model_3,95,0.9983
ensemble_model_2,99,0.9984
ensemble_model_3,92,0.9983
ensemble_model_2,82,0.9984
ensemble_model_2,94,0.9984
ensemble_model_2,81,0.9984
ensemble_model_3,97,0.9983
ensemble_model_2,91,0.9984
ensemble_model_2,88,0.9984
ensemble_model_2,85,0.9984
ensemble_model_3,90,0.9983
ensemble_model_2,89,0.9984
ensemble_model_3,96,0.9983
ensemble_model_3,83,0.9983
ensemble_model_3,93,0.9983
ensemble_model_3,84,0.9983
ensemble_model_4,95,0.9982
ensemble_model_4,97,0.9982
ensemble_model_3,82,0.9983
ensemble_model_3,87,0.9983
ensemble_model_3,100,0.9983
ensemble_model_3,81,0.9983
ensemble_model_3,86,0.9983
ensemble_model_3,98,0.9983
ensemble_model_4,92,0.9982
ensemble_model_3,91,0.9983
ensemble_model_3,99,0.9983
ensemble_model_3,94,0.9983
ensemble_model_3,89,0.9983
ensemble_model_3,88,0.9983
ensemble_model_3,85,0.9983
ensemble_model_4,90,0.9982
ensemble_model_4,96,0.9982
ensemble_model_4,93,0.9982
ensemble_model_4,83,0.9982
ensemble_model_5,97,0.998
ensemble_model_4,82,0.9982
ensemble_model_4,81,0.9982
ensemble_model_5,95,0.998
ensemble_model_4,84,0.9982
ensemble_model_4,99,0.9982
ensemble_model_4,87,0.9982
ensemble_model_4,100,0.9982
ensemble_model_4,98,0.9982
ensemble_model_4,91,0.9982
ensemble_model_4,89,0.9982
ensemble_model_5,92,0.998
ensemble_model_4,86,0.9982
ensemble_model_4,94,0.9982
ensemble_model_4,88,0.9982
ensemble_model_5,90,0.998
ensemble_model_4,85,0.9982
ensemble_model_5,93,0.998
ensemble_model_5,96,0.998
ensemble_model_5,82,0.998
ensemble_model_5,81,0.998
ensemble_model_6,95,0.9984
ensemble_model_5,83,0.998
ensemble_model_6,97,0.9984
ensemble_model_5,87,0.998
ensemble_model_5,98,0.998
ensemble_model_5,89,0.998
ensemble_model_5,84,0.998
ensemble_model_5,100,0.998
ensemble_model_5,99,0.998
ensemble_model_5,91,0.998
ensemble_model_6,92,0.9984
ensemble_model_5,86,0.998
ensemble_model_6,93,0.9984
ensemble_model_5,88,0.998
ensemble_model_5,94,0.998
ensemble_model_6,90,0.9984
ensemble_model_6,82,0.9984
ensemble_model_5,85,0.998
ensemble_model_6,81,0.9984
ensemble_model_6,83,0.9984
ensemble_model_6,96,0.9984
ensemble_model_7,95,0.9986
ensemble_model_7,97,0.9986
ensemble_model_6,87,0.9984
ensemble_model_6,91,0.9984
ensemble_model_6,89,0.9984
ensemble_model_6,98,0.9984
ensemble_model_6,100,0.9984
ensemble_model_6,99,0.9984
ensemble_model_6,84,0.9984
ensemble_model_7,93,0.9986
ensemble_model_6,88,0.9984
ensemble_model_7,92,0.9986
ensemble_model_6,86,0.9984
ensemble_model_7,83,0.9986
ensemble_model_7,82,0.9986
ensemble_model_7,81,0.9986
ensemble_model_6,94,0.9984
ensemble_model_7,90,0.9986
ensemble_model_6,85,0.9984
ensemble_model_7,96,0.9986
ensemble_model_8,95,0.9984
ensemble_model_8,97,0.9984
ensemble_model_7,89,0.9986
ensemble_model_7,91,0.9986
ensemble_model_7,99,0.9986
ensemble_model_7,87,0.9986
ensemble_model_8,93,0.9984
ensemble_model_7,100,0.9986
ensemble_model_7,98,0.9986
ensemble_model_8,83,0.9984
ensemble_model_7,84,0.9986
ensemble_model_8,82,0.9984
ensemble_model_8,81,0.9984
ensemble_model_7,88,0.9986
ensemble_model_8,92,0.9984
ensemble_model_7,86,0.9986
ensemble_model_8,90,0.9984
ensemble_model_7,85,0.9986
ensemble_model_7,94,0.9986
ensemble_model_8,89,0.9984
ensemble_model_8,91,0.9984
ensemble_model_8,99,0.9984
ensemble_model_8,96,0.9984
ensemble_model_9,95,0.9983
ensemble_model_9,97,0.9983
ensemble_model_9,93,0.9983
ensemble_model_8,87,0.9984
ensemble_model_9,83,0.9983
ensemble_model_8,98,0.9984
ensemble_model_9,81,0.9983
ensemble_model_8,100,0.9984
ensemble_model_9,82,0.9983
ensemble_model_8,84,0.9984
ensemble_model_8,88,0.9984
ensemble_model_9,92,0.9983
ensemble_model_9,90,0.9983
ensemble_model_9,99,0.9983
ensemble_model_8,94,0.9984
ensemble_model_8,86,0.9984
ensemble_model_8,85,0.9984
ensemble_model_9,89,0.9983
ensemble_model_9,91,0.9983
ensemble_model_10,93,0.9979
ensemble_model_10,95,0.9979
ensemble_model_9,96,0.9983
ensemble_model_10,81,0.9979
ensemble_model_9,100,0.9983
ensemble_model_10,97,0.9979
ensemble_model_9,87,0.9983
ensemble_model_9,98,0.9983
ensemble_model_10,83,0.9979
ensemble_model_10,82,0.9979
ensemble_model_9,88,0.9983
ensemble_model_9,84,0.9983
ensemble_model_10,99,0.9979
ensemble_model_9,85,0.9983
ensemble_model_10,90,0.9979
ensemble_model_10,92,0.9979
ensemble_model_10,91,0.9979
ensemble_model_11,93,0.9982
ensemble_model_11,81,0.9982
ensemble_model_9,94,0.9983
ensemble_model_9,86,0.9983
ensemble_model_10,89,0.9979
ensemble_model_11,95,0.9982
ensemble_model_10,96,0.9979
ensemble_model_10,100,0.9979
ensemble_model_11,97,0.9982
ensemble_model_11,83,0.9982
ensemble_model_10,98,0.9979
ensemble_model_10,87,0.9979
ensemble_model_10,88,0.9979
ensemble_model_11,99,0.9982
ensemble_model_10,85,0.9979
ensemble_model_11,90,0.9982
ensemble_model_11,91,0.9982
ensemble_model_11,82,0.9982
ensemble_model_10,84,0.9979
ensemble_model_12,81,0.9981
ensemble_model_12,93,0.9981
ensemble_model_11,89,0.9982
ensemble_model_11,92,0.9982
ensemble_model_10,94,0.9979
ensemble_model_10,86,0.9979
ensemble_model_12,95,0.9981
ensemble_model_11,88,0.9982
ensemble_model_11,100,0.9982
ensemble_model_11,96,0.9982
ensemble_model_12,97,0.9981
ensemble_model_11,98,0.9982
ensemble_model_12,99,0.9981
ensemble_model_12,83,0.9981
ensemble_model_11,85,0.9982
ensemble_model_12,91,0.9981
ensemble_model_11,87,0.9982
ensemble_model_12,90,0.9981
ensemble_model_12,92,0.9981
ensemble_model_12,82,0.9981
ensemble_model_12,89,0.9981
ensemble_model_13,81,0.9988
ensemble_model_11,84,0.9982
ensemble_model_13,93,0.9988
ensemble_model_12,88,0.9981
ensemble_model_11,94,0.9982
ensemble_model_13,99,0.9988
ensemble_model_13,95,0.9988
ensemble_model_12,100,0.9981
